key,ru
admin.organizations.branding.warn,Цвет предупреждения
admin.organizations.branding.watermark,Скрыть водяной знак Authworks
admin.organizations.detail.created,Создано
admin.organizations.detail.realm,Realm
admin.organizations.detail.settingsDescription,Управляйте названием организации и её статусом жизненного цикла.
admin.organizations.detail.settingsTitle,Настройки организации
admin.organizations.detail.updated,Последнее обновление
admin.organizations.detailTitle,Сведения об организации
admin.organizations.domains.claim,Заявить домен
admin.organizations.domains.claimed,{domain} заявлен и ожидает проверки.
admin.organizations.domains.description,Подтверждённые домены позволяют людям находить эту организацию по адресу электронной почты.
admin.organizations.domains.discovery,Предпросмотр определения
admin.organizations.domains.discoveryDescription,"Проверьте, к какой организации в данный момент разрешается домен при входе."
admin.organizations.domains.discoveryFound,{domain} разрешается в {organization}.
admin.organizations.domains.discoveryMissing,{domain} не разрешается ни в одну организацию.
admin.organizations.domains.domain,Домен
admin.organizations.domains.empty,Эта организация ещё не заявила ни одного домена.
admin.organizations.domains.invalid,Введите допустимое доменное имя.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,Основной домен
admin.organizations.domains.remove,Удалить домен
admin.organizations.domains.removeConfirm,Удалить домен {domain}? Обнаружение организации для него сразу прекратится.
admin.organizations.domains.removed,Домен удалён.
admin.organizations.domains.title,Домены и определение
admin.organizations.domains.unverified,Ожидает проверки
admin.organizations.domains.verificationRecord,"Добавьте эту DNS TXT-запись, затем выполните проверку."
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,Проверить домен
admin.organizations.domains.verifyDone,Домен подтверждён.
admin.organizations.invitations.create,Пригласить человека
admin.organizations.invitations.description,"Приглашайте людей по электронной почте и отслеживайте, какие приглашения ещё не приняты."
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,Введите действительный адрес электронной почты.
admin.organizations.invitations.empty,Для этой организации не отправлено ни одного приглашения.
admin.organizations.invitations.expires,Истекает
admin.organizations.invitations.revoke,Отозвать приглашение
admin.organizations.invitations.revokeConfirm,Отозвать приглашение для {email}? Ссылка приглашения сразу перестанет работать.
admin.organizations.invitations.revoked,Приглашение отозвано.
admin.organizations.invitations.rolesInvalid,Выберите от одной до четырёх ролей.
admin.organizations.invitations.sent,Приглашение создано.
admin.organizations.invitations.statusValue.accepted,Принято
admin.organizations.invitations.statusValue.declined,Отклонено
admin.organizations.invitations.statusValue.expired,Истекли
admin.organizations.invitations.statusValue.pending,Ожидает
admin.organizations.invitations.statusValue.revoked,Отозваны
admin.organizations.invitations.title,Приглашения
admin.organizations.invitations.tokenDismiss,Я сохранил эту ссылку
admin.organizations.invitations.tokenOnce,Эта ссылка приглашения показывается один раз. Поделитесь ею с приглашённым человеком.
admin.organizations.invitations.tokenTitle,Ссылка приглашения
admin.organizations.lifecycle.activate,Повторно активировать организацию
admin.organizations.lifecycle.activateConfirm,"Реактивировать эту организацию? Участники теряют доступ, пока она неактивна."
admin.organizations.lifecycle.changed,Статус жизненного цикла организации изменён.
admin.organizations.lifecycle.deactivate,Деактивировать организацию
admin.organizations.lifecycle.deactivateConfirm,"Деактивировать эту организацию? Участники теряют доступ, пока она неактивна."
admin.organizations.lifecycle.remove,Удалить организацию
admin.organizations.lifecycle.removeConfirm,"Удалить эту организацию? Участники теряют доступ, пока она неактивна."
admin.organizations.list.create,Создать организацию
admin.organizations.list.description,"Организации объединяют людей, домены и оформление этого realm."
admin.organizations.list.empty,В этом realm ещё нет организаций.
admin.organizations.list.name,Название организации
admin.organizations.list.nameRequired,Введите название организации.
admin.organizations.list.search,Поиск организаций
admin.organizations.list.title,Организации
admin.organizations.memberships.add,Добавить участника
admin.organizations.memberships.added,Участник добавлен.
admin.organizations.memberships.description,Люди в этой организации и назначенные им фиксированные роли.
admin.organizations.memberships.empty,В этой организации пока нет участников.
admin.organizations.memberships.invalid,Введите идентификатор пользователя и выберите от одной до четырёх ролей.
admin.organizations.memberships.remove,Удалить участника
admin.organizations.memberships.removeConfirm,Удалить {userId} из этой организации? Доступ к организации будет немедленно прекращён.
admin.organizations.memberships.removed,Участник удалён.
admin.organizations.memberships.roles,Роли
admin.organizations.memberships.rolesFixed,Роли зафиксированы Authworks и не могут быть переименованы.
admin.organizations.memberships.title,Участники и роли
admin.organizations.memberships.updated,Роли участника обновлены.
admin.organizations.memberships.user,Пользователь
admin.organizations.memberships.userId,Идентификатор пользователя
admin.organizations.pageNext,Следующая страница
admin.organizations.pagePrevious,Предыдущая страница
admin.organizations.permissionDenied,У вас нет разрешения просматривать или изменять эту организацию.
admin.organizations.permissionDeniedTitle,Доступ недоступен
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.description,"Выберите, какие способы входа доступны людям и какие настроенные провайдеры отображаются."
admin.organizations.policy.domainDiscovery,Определять организацию по домену электронной почты
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.emailOtp,Одноразовый код по электронной почте
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.externalIdentity,Внешние провайдеры идентификации
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.inherited,Унаследовано от realm
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,Пароль
admin.organizations.policy.passwordRecovery,Восстановление пароля
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.registration,Самостоятельная регистрация
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.saved,Политика входа сохранена.
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.title,Политика входа
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
admin.organizations.providers.allowAccountCreation,Автоматически создавать учётные записи для новых людей
admin.organizations.providers.clientId,Идентификатор клиента
admin.organizations.providers.clientSecret,Секрет клиента
admin.organizations.providers.create,Добавить провайдера
admin.organizations.providers.created,Провайдер настроен.
admin.organizations.providers.description,"Настроенные провайдеры Google, GitHub и Microsoft для этой организации."
admin.organizations.providers.disable,Отключить провайдера
admin.organizations.providers.disableConfirm,Отключить {displayName}? Люди больше не смогут входить через этого провайдера.
admin.organizations.providers.disabled,Провайдер отключён.
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,Внешний провайдер идентификации ещё не настроен.
admin.organizations.providers.invalid,"Введите отображаемое имя, идентификатор клиента, секрет клиента и абсолютный URI перенаправления."
admin.organizations.providers.redirectUri,URI перенаправления
admin.organizations.providers.rotateSecret,Заменить секрет клиента
admin.organizations.providers.secretRotated,Секрет клиента заменён.
admin.organizations.providers.secretWriteOnly,"Сохранённый секрет клиента никогда не отображается. Введите новое значение, чтобы заменить его."
admin.organizations.providers.title,Провайдеры идентификации
admin.organizations.providers.type,Провайдер
admin.organizations.providers.updated,Провайдер обновлён.
admin.organizations.renamed,Организация переименована.
admin.organizations.status,Состояние
admin.organizations.statusValue.active,Активна
admin.organizations.statusValue.inactive,Неактивен
admin.organizations.statusValue.removed,Удалена
admin.overview.description,"Идентификатор, домены и жизненный цикл области, которой вы управляете."
admin.overview.sessionTitle,Сеанс администратора
admin.overview.title,Обзор области
admin.projects.access.description,"Роли, которыми этот администратор фактически обладает в проекте прямо сейчас."
admin.projects.access.empty,В текущем контексте организации нет действующих ролей проекта.
admin.projects.access.grantedOrganization,Предоставлено через организацию
admin.projects.access.permissionDescription,Фиксированные роли и их разрешения определяются Authworks и не могут быть изменены.
admin.projects.access.permissionTitle,Фиксированные роли и разрешения
admin.projects.access.roleKeys,Действующие роли проекта
admin.projects.access.title,Действующий доступ
admin.projects.applications.create,Добавить приложение
admin.projects.applications.description,"Приложения, которые аутентифицируются в этом проекте."
admin.projects.applications.empty,В этом проекте пока нет приложений.
admin.projects.applications.invalid,Введите название приложения и выберите тип.
admin.projects.applications.name,Название приложения
admin.projects.applications.removeConfirm,Удалить это приложение? Это действие нельзя отменить.
admin.projects.applications.title,Приложения
admin.projects.applications.type,Тип приложения
admin.projects.crossTenant,Этот ресурс принадлежит другому realm и здесь недоступен.
admin.projects.deleteConfirm,"Удалить этот проект? Приложения, роли и выдачи прав будут удалены вместе с ним."
admin.projects.deleteConfirmAccept,Удалить проект
admin.projects.deleteConfirmTitle,Удалить этот проект
admin.projects.detail.authorizationRequired,Требуется авторизация
admin.projects.detail.created,Создано
admin.projects.detail.identifier,Идентификатор проекта
admin.projects.detail.organization,Организация
admin.projects.detail.projectAccessRequired,Требуется доступ к проекту
admin.projects.detail.settingsDescription,"Управляйте названием проекта и тем, как применяется доступ."
admin.projects.detail.settingsTitle,Настройки проекта
admin.projects.detail.updated,Последнее обновление
admin.projects.detailTitle,Сведения о проекте
admin.projects.grants.create,Предоставить доступ организации
admin.projects.grants.description,"Предоставьте другой организации доступ к этому проекту и выберите, какие роли она получит."
admin.projects.grants.empty,Ни одной организации не предоставлен доступ к этому проекту.
admin.projects.grants.grantedOrganization,Организация-получатель
admin.projects.grants.invalid,Выберите организацию и хотя бы одну роль.
admin.projects.grants.revokeConfirm,Отозвать эту выдачу прав организации? Участники потеряют доступ к проекту.
admin.projects.grants.roleKeys,Предоставленные роли
admin.projects.grants.title,Предоставления организации
admin.projects.lifecycle.activate,Активировать
admin.projects.lifecycle.deactivate,Деактивировать
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,Удалить этот проект?
admin.projects.lifecycle.removeConfirmAccept,Убрать проект
admin.projects.lifecycle.removeConfirmTitle,Убрать этот проект
admin.projects.list.create,Создать проект
admin.projects.list.description,"Проекты объединяют приложения, роли и предоставления организации."
admin.projects.list.empty,В этом realm ещё нет проектов.
admin.projects.list.invalid,Введите название проекта и выберите организацию.
admin.projects.list.name,Название проекта
admin.projects.list.search,Поиск проектов
admin.projects.list.title,Проекты
admin.projects.missingId,Для этого раздела необходимо выбрать проект.
admin.projects.permissionDenied,У вас нет разрешения просматривать или изменять эти сведения о проекте.
admin.projects.roles.create,Создать роль
admin.projects.roles.deleteConfirm,"Удалить эту роль проекта? Выдачи прав, ссылающиеся на неё, потеряют эту роль."
admin.projects.roles.description,"Роли, которые этот проект может назначать организациям и их участникам."
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,В этом проекте пока не определены роли.
admin.projects.roles.group,Группа
admin.projects.roles.invalid,Введите ключ роли и отображаемое имя.
admin.projects.roles.key,Ключ роли
admin.projects.roles.title,Роли проекта
admin.projects.saved,{name} сохранён.
admin.projects.status,Состояние
admin.projects.statusValue.active,Активна
admin.projects.statusValue.inactive,Неактивен
admin.projects.statusValue.removed,Удалена
admin.realm.confirmLabel,Введите {name} для подтверждения
admin.realm.confirmMismatch,Имя области не совпадает.
admin.realm.created,Создано
admin.realm.dangerZone,Опасная зона
admin.realm.description,"Настройки идентификации и входа для области, которой вы управляете."
admin.realm.disable,Отключить область
admin.realm.disableConfirm,Отключение этой области остановит вход для всех её приложений. Продолжить?
admin.realm.disableWarning,Отключение этой области немедленно останавливает вход и выдачу токенов для всех её приложений.
admin.realm.disabled,Область отключена.
admin.realm.domainRequired,Укажите хотя бы один домен области.
admin.realm.domains,Домены
admin.realm.domainsHint,Разделяйте домены запятыми. Первый домен является основным.
admin.realm.enable,Включить область
admin.realm.enableDescription,"Эта область отключена. Включите её, чтобы восстановить вход и выдачу токенов."
admin.realm.enabled,Область включена.
admin.realm.identifier,Идентификатор области
admin.realm.invalid,Укажите имя области и хотя бы один домен.
admin.realm.lifecycleTitle,Жизненный цикл области
admin.realm.name,Имя области
admin.realm.nameRequired,Укажите имя области.
admin.realm.permissionDenied,У вас нет разрешения изменять эту область.
admin.realm.primaryDomain,Основной домен
admin.realm.save,Сохранить настройки
admin.realm.saved,Настройки области сохранены.
admin.realm.settingsDescription,"Измените имя области и домены, которые указывают на неё."
admin.realm.settingsTitle,Общие настройки
admin.realm.status,Состояние
admin.realm.statusActive,Активна
admin.realm.statusDisabled,Отключена
admin.realm.title,Настройки области
admin.realm.updated,Последнее обновление
admin.session.expired,Срок вашего сеанса администратора истёк
admin.signIn.activeTitle,Сеанс администратора активен
admin.signIn.credential,Начальные учётные данные администратора
admin.signIn.credentialInvalid,Введите полные начальные учётные данные администратора.
admin.signIn.credentialNotStored,Учётные данные обмениваются на короткий сеанс браузера и никогда не сохраняются в этом браузере.
admin.signIn.description,Обменяйте выданные оператором начальные учётные данные на короткий сеанс администратора в браузере.
admin.signIn.expiresAt,Срок действия сеанса истекает {date}.
admin.signIn.signOutConfirm,Завершить этот сеанс администратора? Для продолжения потребуется войти снова.
admin.signIn.signedOutDetail,Сеанс администратора завершён на этом устройстве.
admin.signIn.signedOutTitle,Выполнен выход
admin.signIn.subject,Субъект
admin.signIn.subjectType,Тип субъекта
admin.signIn.title,Вход администратора
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.backToDirectory,Назад к пользователям
admin.users.count,Пользователей: {count}
admin.users.create,Создать пользователя
admin.users.createDescription,Добавьте человека-пользователя в текущий realm.
admin.users.createSubmit,Создать
admin.users.created,{userName} создан.
admin.users.createdAt,Создано
admin.users.dangerZone,Опасная зона
admin.users.delete,Удалить пользователя
admin.users.deleteConfirm,Безвозвратно удалить {userName}?
admin.users.deleteWarning,Удаление этого пользователя немедленно отзывает его сеансы и доступ.
admin.users.deleted,{userName} удалён.
admin.users.description,Человеческие идентичности в текущем realm.
admin.users.detailTitle,Сведения о пользователе
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,Ни один пользователь не соответствует текущему фильтру.
admin.users.firstName,First name
admin.users.identifier,Идентификатор пользователя
admin.users.invalid,Введите действительный адрес электронной почты и имя пользователя.
admin.users.lastName,Last name
admin.users.lifecycle.active,Активна
admin.users.lifecycle.deleted,Удалён
admin.users.lifecycle.inactive,Неактивен
admin.users.lifecycle.initial,Начальный
admin.users.lifecycle.locked,Заблокирован
admin.users.lifecycle.suspended,Приостановлен
admin.users.lifecycleChanged,Статус пользователя теперь {state}.
admin.users.lifecycleConfirm,Установить для {userName} значение {state}?
admin.users.lifecycleDescription,"Определите, может ли этот пользователь входить в систему."
admin.users.lifecycleTitle,Жизненный цикл
admin.users.markUnverified,Отметить как неподтверждённый
admin.users.markVerified,Отметить как подтверждённый
admin.users.missingId,Не удалось определить этого пользователя по адресу.
admin.users.nickName,Nickname
admin.users.pictureAlt,User profile picture
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,Сохранить профиль
admin.users.profileSaved,Профиль пользователя сохранён.
admin.users.profileTitle,Профиль
admin.users.search,Поиск пользователей
admin.users.searchPlaceholder,"Фильтр по имени пользователя, электронной почте или идентификатору"
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,Статус
admin.users.title,Пользователи
admin.users.unverified,Не подтверждён
admin.users.updated,Последнее обновление
admin.users.userName,Username
admin.users.verification,Подтверждение
admin.users.verificationChanged,Статус подтверждения теперь {state}.
admin.users.verificationDescription,"Определите, считается ли адрес электронной почты этого пользователя подтверждённым."
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,Безопасные сервисы идентификации
common.back,Назад
common.cancel,Отмена
common.close,Закрыть
common.continue,Продолжить
common.decline,Decline
common.disable,Выключить
common.disabled,Отключено
common.enable,Включить
common.enabled,Включено
common.error,Что-то пошло не так.
common.language,Язык
common.loading,Загрузка
common.next,Далее
common.pagination,Постраничная навигация
common.previous,Назад
common.retry,Повторить
common.revoke,Revoke
common.save,Сохранить
common.signIn,Войти
common.signInWithProvider,Войти с помощью {provider}
common.signOut,Выйти
common.theme.dark,Тёмная
common.theme.light,Светлая
common.theme.system,Система
common.urlPlaceholder,https://
demo.account.description,"Автономная карта интерфейсов управления профилем, организацией, безопасностью и доступом к приложениям, поддерживаемым Authworks. У каждого назначения есть явный контракт состояния данных."
demo.account.eyebrow,Самообслуживание идентификации
demo.account.group.access.description,"Приложения и разрешения, предоставленные этой учетной записью."
demo.account.group.access.title,Доступ
demo.account.group.identity.description,"Данные профиля и входа, которыми пользователи управляют самостоятельно."
demo.account.group.identity.title,Личные данные
demo.account.group.organizations.description,"Членство, контекст организации и приглашения."
demo.account.group.organizations.title,Организации
demo.account.group.security.description,"Сеансы, факторы аутентификации и подключенные удостоверения."
demo.account.group.security.title,Безопасность
demo.account.scenario.consents.description,"Просматривайте и отзывайте разрешения, ранее предоставленные приложениям."
demo.account.scenario.consents.title,Согласия приложений
demo.account.scenario.delete.description,Оцените последствия и подтвердите безвозвратное удаление аккаунта.
demo.account.scenario.delete.title,Удалить аккаунт
demo.account.scenario.email.description,"Просматривайте подтвержденный адрес, используемый для входа и сообщений аккаунта."
demo.account.scenario.email.title,Адрес электронной почты
demo.account.scenario.factors.description,"Управляйте факторами приложения-аутентификатора, электронной почты и ключей доступа."
demo.account.scenario.factors.title,Многофакторная аутентификация
demo.account.scenario.identities.description,"Просматривайте и отвязывайте учетные записи Google, GitHub и Microsoft."
demo.account.scenario.identities.title,Связанные удостоверения
demo.account.scenario.invitation.description,Проверьте приглашение перед вступлением в организацию.
demo.account.scenario.invitation.title,Принять приглашение
demo.account.scenario.invitations.description,"Просматривайте приглашения, отправленные текущему аккаунту."
demo.account.scenario.invitations.title,Мои приглашения
demo.account.scenario.organizations.description,Просматривайте членства и переключайте активную организацию.
demo.account.scenario.organizations.title,Мои организации
demo.account.scenario.passkeys.description,"Регистрируйте, называйте и удаляйте беспарольные учетные данные."
demo.account.scenario.passkeys.title,Ключи доступа
demo.account.scenario.password.description,Измените текущий пароль и проверьте статус его безопасности.
demo.account.scenario.password.title,Пароль
demo.account.scenario.profile.description,"Просматривайте и обновляйте имена, имя пользователя и предпочтительный язык."
demo.account.scenario.profile.title,Профиль
demo.account.scenario.recovery_codes.description,Сгенерируйте запасные коды и отобразите их один раз.
demo.account.scenario.recovery_codes.title,Коды восстановления
demo.account.scenario.sessions.description,Просматривайте активные сеансы и отзывайте неиспользуемые устройства.
demo.account.scenario.sessions.title,Сеансы и устройства
demo.account.title,Демонстрация аккаунта
demo.admin.description,"Перемещайтесь по текущему реалму с помощью информационной архитектуры, организованной вокруг людей, организаций, приложений, учетных данных и событий аудита. Доступные демо и запланированные назначения без состояния четко разделены."
demo.admin.directoryTitle,Каталог администрирования
demo.admin.eyebrow,Администрирование реалма
demo.admin.group.authorization.description,"Приложения, проектные роли, предоставления и оцененный доступ."
demo.admin.group.authorization.title,Проекты и авторизация
demo.admin.group.machine_users.description,Нечеловеческие учетные записи и их учетные данные только для записи.
demo.admin.group.machine_users.title,Сервисные пользователи
demo.admin.group.oidc.description,"Клиенты, точные настройки перенаправления, согласие, области действия и ключи подписи."
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,Сеансы реалма и неизменяемая активность безопасности.
demo.admin.group.operations.title,Операции
demo.admin.group.organizations.description,"Настройки организации, пользователи, приглашения и подтвержденные домены."
demo.admin.group.organizations.title,Организации
demo.admin.group.realm.description,"Конфигурация удостоверений, жизненного цикла и входа для всего реалма."
demo.admin.group.realm.title,Реалм
demo.admin.group.users.description,"Учетные записи людей, учетные данные, сеансы и защищенные действия поддержки."
demo.admin.group.users.title,Пользователи
demo.admin.realmFixtureName,Идентификация клиента Northwind
demo.admin.scenario.admin_sign_in.description,Обменяйте начальные учетные данные на короткий сеанс браузера администратора.
demo.admin.scenario.admin_sign_in.title,Вход администратора
demo.admin.scenario.applications.description,Управляйте приложениями проекта и их жизненным циклом.
demo.admin.scenario.applications.title,Приложения
demo.admin.scenario.audit_events.description,Просматривайте текущий поток событий безопасности на основе тестовых данных.
demo.admin.scenario.audit_events.title,События аудита
demo.admin.scenario.branding.description,"Настройте цвета, логотипы и юридические ссылки с учетом организации."
demo.admin.scenario.branding.title,Брендинг
demo.admin.scenario.domains.description,Проверяйте домены и управляйте обнаружением организации.
demo.admin.scenario.domains.title,Домены и обнаружение
demo.admin.scenario.effective_access.description,"Просматривайте доступные только для чтения действующие роли, разрешения и проверки доступа."
demo.admin.scenario.effective_access.title,Фактический доступ
demo.admin.scenario.impersonation.description,Запустите обоснованный сеанс поддержки с ограничением по времени при наличии разрешения.
demo.admin.scenario.impersonation.title,Олицетворение
demo.admin.scenario.invitations.description,Приглашайте пользователей и отслеживайте ожидающие или просроченные приглашения.
demo.admin.scenario.invitations.title,Приглашения
demo.admin.scenario.login_policy.description,"Задайте политику входа и настройте Google, GitHub или Microsoft."
demo.admin.scenario.login_policy.title,Вход и поставщики удостоверений
demo.admin.scenario.machine_credentials.description,"Выдавайте, ротируйте и отзывайте учетные данные клиентов, токены PAT и ключи API."
demo.admin.scenario.machine_credentials.title,Учетные данные и токены
demo.admin.scenario.machine_user_detail.description,"Просматривайте области действия и жизненный цикл, ротируйте секрет клиента и управляйте учетными данными."
demo.admin.scenario.machine_user_detail.title,Детали сервисного пользователя
demo.admin.scenario.machine_users.description,Создавайте сервисные учетные записи и управляйте их жизненным циклом.
demo.admin.scenario.machine_users.title,Каталог сервисных пользователей
demo.admin.scenario.memberships.description,Назначайте фиксированные роли организации участникам.
demo.admin.scenario.memberships.title,Членства и роли
demo.admin.scenario.oidc_client_detail.description,"Редактируйте точные перенаправления и области действия, а также ротируйте или отзывайте секрет клиента."
demo.admin.scenario.oidc_client_detail.title,Настройки клиента OIDC
demo.admin.scenario.oidc_clients.description,"Управляйте клиентами, перенаправлениями, областями действия, доверием и одноразовыми секретами."
demo.admin.scenario.oidc_clients.title,Клиенты OIDC
demo.admin.scenario.oidc_consents.description,"Просматривайте и отзывайте приложения, одобренные пользователем."
demo.admin.scenario.oidc_consents.title,Согласия приложений
demo.admin.scenario.organization_detail.description,"Просматривайте настройки организации, жизненный цикл и текущее членство."
demo.admin.scenario.organization_detail.title,Детали организации
demo.admin.scenario.organizations.description,"Просматривайте, ищите и создавайте организации в текущем реалме."
demo.admin.scenario.organizations.title,Каталог организаций
demo.admin.scenario.project_detail.description,Просматривайте и редактируйте настройки и жизненный цикл проекта.
demo.admin.scenario.project_detail.title,Настройки проекта
demo.admin.scenario.projects.description,"Просматривайте, ищите и создавайте проекты в текущем реалме."
demo.admin.scenario.projects.title,Каталог проектов
demo.admin.scenario.protocol_documents.description,Просматривайте доступные только для чтения конечные точки обнаружения и JWKS.
demo.admin.scenario.protocol_documents.title,Документы протокола
demo.admin.scenario.realm_overview.description,"Просматривайте идентификацию реалма, домены, статус жизненного цикла и текущий сеанс."
demo.admin.scenario.realm_overview.title,Обзор реалма
demo.admin.scenario.realm_settings.description,"Управляйте именем текущего реалма, доменами, статусом и жизненным циклом."
demo.admin.scenario.realm_settings.title,Общие настройки
demo.admin.scenario.roles_grants.description,Настройте роли проекта и разрешения доступа организации.
demo.admin.scenario.roles_grants.title,Роли и предоставления
demo.admin.scenario.sessions.description,Просматривайте сеансы реалма с контекстом субъекта и устройства.
demo.admin.scenario.sessions.title,Сеансы
demo.admin.scenario.signing_keys.description,Просматривайте метаданные ключей и выполняйте защищенную ротацию.
demo.admin.scenario.signing_keys.title,Ключи подписи
demo.admin.scenario.user_authentication.description,"Просматривайте безопасные метаданные факторов, ключей доступа и восстановления в деталях пользователя."
demo.admin.scenario.user_authentication.title,Методы аутентификации
demo.admin.scenario.user_detail.description,"Просматривайте профиль, жизненный цикл, сеансы и безопасные метаданные аутентификации."
demo.admin.scenario.user_detail.title,Детали пользователя
demo.admin.scenario.user_sessions.description,Проверяйте и отзывайте активные сеансы браузера пользователя.
demo.admin.scenario.user_sessions.title,Сеансы пользователя
demo.admin.scenario.users.description,Просматривайте и ищите пользователей-людей в текущем реалме.
demo.admin.scenario.users.title,Каталог пользователей
demo.directory.available,Доступно
demo.directory.availableDemos,доступных демо
demo.directory.back,Назад в каталог
demo.directory.fixtureStates,Состояния данных
demo.directory.openDemo,Открыть демо
demo.directory.planned,Запланировано
demo.directory.plannedDestinations,запланированных назначений
demo.directory.previewFoundation,Базовый предпросмотр
demo.fixture.accepted,принято
demo.fixture.accountError,Не удалось загрузить детерминированные тестовые данные учётной записи.
demo.fixture.active,активно
demo.fixture.assuranceRequired,требуется подтверждение
demo.fixture.continuing,продолжение
demo.fixture.crossTenant,межтенантный
demo.fixture.declined,отклонено
demo.fixture.empty,пусто
demo.fixture.ended,завершено
demo.fixture.error,ошибка
demo.fixture.expired,истекло
demo.fixture.expiring,истекает
demo.fixture.fatal,критическая ошибка
demo.fixture.loading,загрузка
demo.fixture.nestedRejected,вложенный отказ
demo.fixture.oneTime,одноразовый
demo.fixture.passwordChangeExpired,пароль истёк
demo.fixture.permissionDenied,в доступе отказано
demo.fixture.preview,Предпросмотр данных без состояния
demo.fixture.recoveryFatal,восстановление недоступно
demo.fixture.recoveryLoading,загрузка восстановления
demo.fixture.redacted,скрыто
demo.fixture.replayed,повторно воспроизведено
demo.fixture.resetInvalid,недействительная ссылка сброса
demo.fixture.resetLoading,загрузка ссылки сброса
demo.fixture.state,Состояние данных
demo.fixture.success,успешно
demo.hub.accountDescription,"Исследуйте назначения самообслуживания для профиля, организации и безопасности."
demo.hub.accountOpen,Открыть аккаунт
demo.hub.adminDescription,Управление ресурсами идентификации и настройками организации.
