key,ja
admin.organizations.domains.discoveryMissing,{domain} はどの組織にも解決されません。
admin.organizations.domains.domain,ドメイン
admin.organizations.domains.empty,この組織はまだドメインを申請していません。
admin.organizations.domains.invalid,有効なドメイン名を入力してください。
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,主ドメイン
admin.organizations.domains.remove,ドメインを削除
admin.organizations.domains.removeConfirm,ドメイン {domain} を削除しますか？このドメインの組織の検出は即座に停止します。
admin.organizations.domains.removed,ドメインを削除しました。
admin.organizations.domains.title,ドメインと判別
admin.organizations.domains.unverified,検証待ち
admin.organizations.domains.verificationRecord,この DNS TXT レコードを追加してから検証してください。
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,ドメインを検証
admin.organizations.domains.verifyDone,ドメインを検証しました。
admin.organizations.invitations.create,ユーザーを招待
admin.organizations.invitations.description,メールで招待し、まだ保留中の招待を追跡します。
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,有効なメールアドレスを入力してください。
admin.organizations.invitations.empty,この組織に対して招待は送信されていません。
admin.organizations.invitations.expires,有効期限
admin.organizations.invitations.revoke,招待を取り消す
admin.organizations.invitations.revokeConfirm,{email} の招待を取り消しますか？招待リンクは即座に無効になります。
admin.organizations.invitations.revoked,招待を取り消しました。
admin.organizations.invitations.rolesInvalid,1 つから 4 つまでのロールを選択してください。
admin.organizations.invitations.sent,招待を作成しました。
admin.organizations.invitations.statusValue.accepted,承諾済み
admin.organizations.invitations.statusValue.declined,辞退済み
admin.organizations.invitations.statusValue.expired,期限切れ
admin.organizations.invitations.statusValue.pending,保留中
admin.organizations.invitations.statusValue.revoked,取り消し済み
admin.organizations.invitations.title,招待
admin.organizations.invitations.tokenDismiss,このリンクを保存しました
admin.organizations.invitations.tokenOnce,この招待リンクは一度だけ表示されます。招待した相手と共有してください。
admin.organizations.invitations.tokenTitle,招待リンク
admin.organizations.lifecycle.activate,組織を再有効化
admin.organizations.lifecycle.activateConfirm,この組織を再アクティブ化しますか？有効になるまでメンバーはアクセスできません。
admin.organizations.lifecycle.changed,組織のライフサイクル状態を変更しました。
admin.organizations.lifecycle.deactivate,組織を無効化
admin.organizations.lifecycle.deactivateConfirm,この組織を非アクティブ化しますか？有効になるまでメンバーはアクセスできません。
admin.organizations.lifecycle.remove,組織を削除
admin.organizations.lifecycle.removeConfirm,この組織を削除しますか？有効になるまでメンバーはアクセスできません。
admin.organizations.list.create,組織を作成
admin.organizations.list.description,組織は、このレルムの人、ドメイン、ブランディングをまとめます。
admin.organizations.list.empty,このレルムにはまだ組織がありません。
admin.organizations.list.name,組織名
admin.organizations.list.nameRequired,組織名を入力してください。
admin.organizations.list.search,組織を検索
admin.organizations.list.title,組織
admin.organizations.memberships.add,メンバーを追加
admin.organizations.memberships.added,メンバーを追加しました。
admin.organizations.memberships.description,この組織の人と、割り当てられた固定ロール。
admin.organizations.memberships.empty,この組織にはまだメンバーがいません。
admin.organizations.memberships.invalid,ユーザー ID を入力し、1 つから 4 つまでのロールを選択してください。
admin.organizations.memberships.remove,メンバーを削除
admin.organizations.memberships.removeConfirm,{userId} をこの組織から削除しますか？組織へのアクセスは直ちに終了します。
admin.organizations.memberships.removed,メンバーを削除しました。
admin.organizations.memberships.roles,ロール
admin.organizations.memberships.rolesFixed,ロールは Authworks によって固定されており、名前を変更できません。
admin.organizations.memberships.title,メンバーとロール
admin.organizations.memberships.updated,メンバーのロールを更新しました。
admin.organizations.memberships.user,ユーザー
admin.organizations.memberships.userId,ユーザー ID
admin.organizations.pageNext,次のページ
admin.organizations.pagePrevious,前のページ
admin.organizations.permissionDenied,この組織を表示または変更する権限がありません。
admin.organizations.permissionDeniedTitle,アクセスできません
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.description,利用できるサインイン方法と、表示する構成済みプロバイダーを選択します。
admin.organizations.policy.domainDiscovery,メールドメインから組織を判別する
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.emailOtp,メールワンタイムコード
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.externalIdentity,外部 ID プロバイダー
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.inherited,レルムから継承
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,パスワード
admin.organizations.policy.passwordRecovery,パスワードの復旧
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.registration,セルフサービス登録
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.saved,サインインポリシーを保存しました。
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.title,サインインポリシー
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
admin.organizations.providers.allowAccountCreation,新しい人のアカウントを自動的に作成する
admin.organizations.providers.clientId,クライアント ID
admin.organizations.providers.clientSecret,クライアントシークレット
admin.organizations.providers.create,プロバイダーを追加
admin.organizations.providers.created,プロバイダーを構成しました。
admin.organizations.providers.description,この組織に構成された Google、GitHub、Microsoft のプロバイダー。
admin.organizations.providers.disable,プロバイダーを無効化
admin.organizations.providers.disableConfirm,{displayName} を無効化しますか？ユーザーはこのプロバイダーでサインインできなくなります。
admin.organizations.providers.disabled,プロバイダーを無効化しました。
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,外部 ID プロバイダーはまだ構成されていません。
admin.organizations.providers.invalid,表示名、クライアント ID、クライアントシークレット、絶対リダイレクト URI を入力してください。
admin.organizations.providers.redirectUri,リダイレクト URI
admin.organizations.providers.rotateSecret,クライアントシークレットを置き換える
admin.organizations.providers.secretRotated,クライアントシークレットを置き換えました。
admin.organizations.providers.secretWriteOnly,保存されたクライアントシークレットは表示されません。置き換えるには新しい値を入力してください。
admin.organizations.providers.title,ID プロバイダー
admin.organizations.providers.type,プロバイダー
admin.organizations.providers.updated,プロバイダーを更新しました。
admin.organizations.renamed,組織の名前を変更しました。
admin.organizations.status,状態
admin.organizations.statusValue.active,有効
admin.organizations.statusValue.inactive,非アクティブ
admin.organizations.statusValue.removed,削除済み
admin.overview.description,管理しているレルムの識別情報、ドメイン、ライフサイクルです。
admin.overview.sessionTitle,管理者セッション
admin.overview.title,レルムの概要
admin.projects.access.description,この管理者が現在このプロジェクトで実効的に保持しているロール。
admin.projects.access.empty,現在の組織コンテキストで有効なプロジェクトロールはありません。
admin.projects.access.grantedOrganization,組織を通じて付与
admin.projects.access.permissionDescription,固定ロールとその権限は Authworks によって定義されており、編集できません。
admin.projects.access.permissionTitle,固定ロールと権限
admin.projects.access.roleKeys,実効プロジェクトロール
admin.projects.access.title,実効アクセス権
admin.projects.applications.create,アプリケーションを追加
admin.projects.applications.description,このプロジェクトに対して認証するアプリケーション。
admin.projects.applications.empty,このプロジェクトにはまだアプリケーションがありません。
admin.projects.applications.invalid,アプリケーション名を入力し、種類を選択してください。
admin.projects.applications.name,アプリケーション名
admin.projects.applications.removeConfirm,このアプリケーションを削除しますか？この操作は元に戻せません。
admin.projects.applications.title,アプリケーション
admin.projects.applications.type,アプリケーションの種類
admin.projects.crossTenant,このリソースは別のレルムに属しており、ここでは利用できません。
admin.projects.deleteConfirm,このプロジェクトを削除しますか？アプリケーション、ロール、付与も一緒に削除されます。
admin.projects.deleteConfirmAccept,プロジェクトを削除
admin.projects.deleteConfirmTitle,このプロジェクトを削除
admin.projects.detail.authorizationRequired,認可が必要です
admin.projects.detail.created,作成日時
admin.projects.detail.identifier,プロジェクト識別子
admin.projects.detail.organization,組織
admin.projects.detail.projectAccessRequired,プロジェクトへのアクセスが必要です
admin.projects.detail.settingsDescription,プロジェクト名とアクセスの適用方法を管理します。
admin.projects.detail.settingsTitle,プロジェクト設定
admin.projects.detail.updated,最終更新
admin.projects.detailTitle,プロジェクトの詳細
admin.projects.grants.create,組織にアクセス権を付与
admin.projects.grants.description,このプロジェクトへのアクセス権を別の組織に付与し、受け取るロールを選択します。
admin.projects.grants.empty,このプロジェクトへのアクセス権を付与された組織はありません。
admin.projects.grants.grantedOrganization,付与先の組織
admin.projects.grants.invalid,組織と少なくとも1つのロールを選択してください。
admin.projects.grants.revokeConfirm,この組織への付与を取り消しますか？メンバーはプロジェクトへのアクセスを失います。
admin.projects.grants.roleKeys,付与されたロール
admin.projects.grants.title,組織への付与
admin.projects.lifecycle.activate,有効化
admin.projects.lifecycle.deactivate,無効化
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,このプロジェクトを削除しますか？
admin.projects.lifecycle.removeConfirmAccept,プロジェクトを除去
admin.projects.lifecycle.removeConfirmTitle,このプロジェクトを除去
admin.projects.list.create,プロジェクトを作成
admin.projects.list.description,プロジェクトは、組織のアプリケーション、ロール、付与をまとめます。
admin.projects.list.empty,このレルムにはまだプロジェクトがありません。
admin.projects.list.invalid,プロジェクト名を入力し、組織を選択してください。
admin.projects.list.name,プロジェクト名
admin.projects.list.search,プロジェクトを検索
admin.projects.list.title,プロジェクト
admin.projects.missingId,この宛先にはプロジェクトの選択が必要です。
admin.projects.permissionDenied,このプロジェクト情報を表示または変更する権限がありません。
admin.projects.roles.create,ロールを作成
admin.projects.roles.deleteConfirm,このプロジェクトロールを削除しますか？参照している付与はロールを失います。
admin.projects.roles.description,このプロジェクトが組織とそのメンバーに割り当てられるロール。
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,このプロジェクトにはまだロールが定義されていません。
admin.projects.roles.group,グループ
admin.projects.roles.invalid,ロールキーと表示名を入力してください。
admin.projects.roles.key,ロールキー
admin.projects.roles.title,プロジェクトロール
admin.projects.saved,{name} を保存しました。
admin.projects.status,状態
admin.projects.statusValue.active,有効
admin.projects.statusValue.inactive,非アクティブ
admin.projects.statusValue.removed,削除済み
admin.realm.confirmLabel,確認のため {name} と入力してください
admin.realm.confirmMismatch,レルム名が一致しません。
admin.realm.created,作成日時
admin.realm.dangerZone,危険な操作
admin.realm.description,管理しているレルムの識別情報とサインインの設定です。
admin.realm.disable,レルムを無効化
admin.realm.disableConfirm,このレルムを無効化すると、すべてのアプリケーションのサインインが停止します。続行しますか？
admin.realm.disableWarning,このレルムを無効化すると、レルム内のすべてのアプリケーションのサインインとトークン発行が直ちに停止します。
admin.realm.disabled,レルムを無効化しました。
admin.realm.domainRequired,レルムのドメインを1つ以上入力してください。
admin.realm.domains,ドメイン
admin.realm.domainsHint,ドメインはカンマで区切ってください。最初のドメインが主ドメインです。
admin.realm.enable,レルムを有効化
admin.realm.enableDescription,このレルムは無効です。有効化するとサインインとトークン発行が再開されます。
admin.realm.enabled,レルムを有効化しました。
admin.realm.identifier,レルム識別子
admin.realm.invalid,レルム名とドメインを1つ以上入力してください。
admin.realm.lifecycleTitle,レルムのライフサイクル
admin.realm.name,レルム名
admin.realm.nameRequired,レルム名を入力してください。
admin.realm.permissionDenied,このレルムを変更する権限がありません。
admin.realm.primaryDomain,主ドメイン
admin.realm.save,設定を保存
admin.realm.saved,レルム設定を保存しました。
admin.realm.settingsDescription,レルム名と、このレルムに解決されるドメインを変更します。
admin.realm.settingsTitle,一般設定
admin.realm.status,状態
admin.realm.statusActive,有効
admin.realm.statusDisabled,無効
admin.realm.title,レルム設定
admin.realm.updated,最終更新
admin.session.expired,管理者セッションの有効期限が切れました
admin.signIn.activeTitle,管理者セッションが有効です
admin.signIn.credential,ブートストラップ管理者の資格情報
admin.signIn.credentialInvalid,ブートストラップ管理者の資格情報を完全な形で入力してください。
admin.signIn.credentialNotStored,資格情報は短時間のブラウザーセッションと交換され、このブラウザーには保存されません。
admin.signIn.description,運用担当者が発行したブートストラップ資格情報を、短時間の管理者ブラウザーセッションと交換します。
admin.signIn.expiresAt,このセッションは {date} に期限切れになります。
admin.signIn.signOutConfirm,この管理者セッションを終了しますか？続行するには再度サインインが必要です。
admin.signIn.signedOutDetail,このデバイスの管理者セッションを終了しました。
admin.signIn.signedOutTitle,サインアウトしました
admin.signIn.subject,サブジェクト
admin.signIn.subjectType,サブジェクトの種類
admin.signIn.title,管理者サインイン
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.backToDirectory,ユーザー一覧に戻る
admin.users.count,{count} 人のユーザー
admin.users.create,ユーザーを作成
admin.users.createDescription,現在のレルムに人間のユーザーを追加します。
admin.users.createSubmit,作成
admin.users.created,{userName} を作成しました。
admin.users.createdAt,作成日時
admin.users.dangerZone,危険な操作
admin.users.delete,ユーザーを削除
admin.users.deleteConfirm,{userName} を完全に削除しますか？
admin.users.deleteWarning,このユーザーを削除すると、セッションとアクセス権が直ちに取り消されます。
admin.users.deleted,{userName} を削除しました。
admin.users.description,現在のレルム内の人間の ID。
admin.users.detailTitle,ユーザー詳細
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,現在のフィルターに一致するユーザーはいません。
admin.users.firstName,First name
admin.users.identifier,ユーザー識別子
admin.users.invalid,有効なメールアドレスとユーザー名を入力してください。
admin.users.lastName,Last name
admin.users.lifecycle.active,有効
admin.users.lifecycle.deleted,削除済み
admin.users.lifecycle.inactive,非アクティブ
admin.users.lifecycle.initial,初期
admin.users.lifecycle.locked,ロック済み
admin.users.lifecycle.suspended,停止中
admin.users.lifecycleChanged,ユーザーの状態は現在 {state} です。
admin.users.lifecycleConfirm,{userName} を {state} に設定しますか？
admin.users.lifecycleDescription,このユーザーがサインインできるかどうかを変更します。
admin.users.lifecycleTitle,ライフサイクル
admin.users.markUnverified,未検証としてマーク
admin.users.markVerified,検証済みとしてマーク
admin.users.missingId,アドレスからこのユーザーを解決できませんでした。
admin.users.nickName,Nickname
admin.users.pictureAlt,User profile picture
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,プロフィールを保存
admin.users.profileSaved,ユーザープロフィールを保存しました。
admin.users.profileTitle,プロフィール
admin.users.search,ユーザーを検索
admin.users.searchPlaceholder,ユーザー名、メール、識別子で絞り込む
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,状態
admin.users.title,ユーザー
admin.users.unverified,未検証
admin.users.updated,最終更新
admin.users.userName,Username
admin.users.verification,検証
admin.users.verificationChanged,検証状態は現在 {state} です。
admin.users.verificationDescription,このユーザーのメールアドレスを検証済みとして扱うかどうかを制御します。
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,安全なアイデンティティサービス
common.back,戻る
common.cancel,キャンセル
common.close,閉じる
common.continue,続行
common.decline,Decline
common.disable,オフにする
common.disabled,無効
common.enable,オンにする
common.enabled,有効
common.error,問題が発生しました。
common.language,言語
common.loading,読み込み中
common.next,次へ
common.pagination,ページ送り
common.previous,戻る
common.retry,もう一度お試しください
common.revoke,Revoke
common.save,保存
common.signIn,サインイン
common.signInWithProvider,{provider}でサインイン
common.signOut,サインアウト
common.theme.dark,ダーク
common.theme.light,ライト
common.theme.system,システム
common.urlPlaceholder,https://
demo.account.description,Authworksがサポートするプロファイル、組織、セキュリティ、およびアプリケーションアクセス管理体験のネットワーク不要なマップ。各遷移先には明示的なフィクスチャ状態契約があります。
demo.account.eyebrow,セルフサービスID
demo.account.group.access.description,このアカウントによって付与されたアプリケーションと権限。
demo.account.group.access.title,アクセス
demo.account.group.identity.description,ユーザー自身が管理するプロファイルとサインインの詳細。
demo.account.group.identity.title,個人情報
demo.account.group.organizations.description,メンバーシップ、組織コンテキスト、および招待。
demo.account.group.organizations.title,組織
demo.account.group.security.description,セッション、認証要素、および接続されたID。
demo.account.group.security.title,セキュリティ
demo.account.scenario.consents.description,以前にアプリケーションに付与された権限を確認および取り消します。
demo.account.scenario.consents.title,アプリケーションの同意
demo.account.scenario.delete.description,影響を確認し、アカウントの完全な削除を確認します。
demo.account.scenario.delete.title,アカウントを削除
demo.account.scenario.email.description,サインインおよびアカウント通信に使用される確認済みアドレスを確認します。
demo.account.scenario.email.title,メールアドレス
demo.account.scenario.factors.description,オーセンティケーター、メール、パスキーの要素を管理します。
demo.account.scenario.factors.title,多要素認証
demo.account.scenario.identities.description,Google、GitHub、Microsoftアカウントを確認およびリンク解除します。
demo.account.scenario.identities.title,リンクされたID
demo.account.scenario.invitation.description,組織に参加する前に招待を確認します。
demo.account.scenario.invitation.title,招待を承諾
demo.account.scenario.invitations.description,サインイン中のアカウント宛ての招待を確認します。
demo.account.scenario.invitations.title,自分の招待
demo.account.scenario.organizations.description,メンバーシップを表示し、アクティブな組織を切り替えます。
demo.account.scenario.organizations.title,自分の組織
demo.account.scenario.passkeys.description,パスワードレス認証情報を登録、命名、および削除します。
demo.account.scenario.passkeys.title,パスキー
demo.account.scenario.password.description,現在のパスワードを変更し、そのセキュリティステータスを確認します。
demo.account.scenario.password.title,パスワード
demo.account.scenario.profile.description,名前、ユーザー名、希望言語を確認および更新します。
demo.account.scenario.profile.title,プロフィール
demo.account.scenario.recovery_codes.description,代替コードを生成し、1回だけ表示します。
demo.account.scenario.recovery_codes.title,リカバリーコード
demo.account.scenario.sessions.description,アクティブなセッションを確認し、使用しなくなったデバイスを取り消します。
demo.account.scenario.sessions.title,セッションとデバイス
demo.account.title,アカウントデモ
demo.admin.description,ユーザー、組織、アプリケーション、認証情報、および監査アクティビティに基づいて構築された情報アーキテクチャを使用して、現在のレルムをナビゲートします。利用可能なデモと予定されているステートレスな遷移先は明確に分離されています。
demo.admin.directoryTitle,管理ディレクトリ
demo.admin.eyebrow,レルム管理
demo.admin.group.authorization.description,アプリケーション、プロジェクトロール、付与、および評価されたアクセス。
demo.admin.group.authorization.title,プロジェクトと認可
demo.admin.group.machine_users.description,非人間IDおよびその書き込み専用認証情報。
demo.admin.group.machine_users.title,マシンユーザー
demo.admin.group.oidc.description,クライアント、正確なリダイレクト設定、同意、スコープ、および署名鍵。
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,レルムセッションおよび不変のセキュリティアクティビティ。
demo.admin.group.operations.title,オペレーション
demo.admin.group.organizations.description,組織の設定、ユーザー、招待、および確認済みドメイン。
demo.admin.group.organizations.title,組織
demo.admin.group.realm.description,レルム全体のID、ライフサイクル、およびサインイン設定。
demo.admin.group.realm.title,レルム
demo.admin.group.users.description,人間のID、認証情報、セッション、および保護されたサポートアクション。
demo.admin.group.users.title,ユーザー
demo.admin.realmFixtureName,Northwind 顧客ID
demo.admin.scenario.admin_sign_in.description,ブートストラップ認証情報を短期の管理者ブラウザセッションと交換します。
demo.admin.scenario.admin_sign_in.title,管理者サインイン
demo.admin.scenario.applications.description,プロジェクトアプリケーションとそのライフサイクルを管理します。
demo.admin.scenario.applications.title,アプリケーション
demo.admin.scenario.audit_events.description,現在のフィクスチャに基づくセキュリティイベントストリームを閲覧します。
demo.admin.scenario.audit_events.title,監査イベント
demo.admin.scenario.branding.description,組織に応じた色、ロゴ、および法的リンクを設定します。
demo.admin.scenario.branding.title,ブランディング
demo.admin.scenario.domains.description,ドメインを検証し、組織の検出を制御します。
demo.admin.scenario.domains.title,ドメインと検出
demo.admin.scenario.effective_access.description,読み取り専用の有効なロール、権限、およびアクセスチェックを確認します。
demo.admin.scenario.effective_access.title,有効なアクセス
demo.admin.scenario.impersonation.description,許可されている場合に、理由付きの期間限定サポートセッションを開始します。
demo.admin.scenario.impersonation.title,なりすまし
demo.admin.scenario.invitations.description,ユーザーを招待し、保留中または期限切れの招待を追跡します。
demo.admin.scenario.invitations.title,招待
demo.admin.scenario.login_policy.description,ログインポリシーを設定し、Google、GitHub、またはMicrosoftを設定します。
demo.admin.scenario.login_policy.title,ログインとIDプロバイダー
demo.admin.scenario.machine_credentials.description,クライアント認証情報、PAT、およびAPIキーを発行、ローテーション、および取り消します。
demo.admin.scenario.machine_credentials.title,認証情報とトークン
demo.admin.scenario.machine_user_detail.description,スコープとライフサイクルを確認し、クライアントシークレットをローテーションして認証情報を管理します。
demo.admin.scenario.machine_user_detail.title,マシンユーザーの詳細
demo.admin.scenario.machine_users.description,サービスIDとそのライフサイクルを作成および管理します。
demo.admin.scenario.machine_users.title,マシンユーザーディレクトリ
demo.admin.scenario.memberships.description,メンバーに固定の組織ロールを割り当てます。
demo.admin.scenario.memberships.title,メンバーシップとロール
demo.admin.scenario.oidc_client_detail.description,正確なリダイレクトとスコープを編集し、クライアントシークレットをローテーションまたは取り消します。
demo.admin.scenario.oidc_client_detail.title,OIDCクライアント設定
demo.admin.scenario.oidc_clients.description,クライアント、リダイレクト、スコープ、信頼、およびワンタイムシークレットを管理します。
demo.admin.scenario.oidc_clients.title,OIDCクライアント
demo.admin.scenario.oidc_consents.description,ユーザーが承認したアプリケーションを確認および取り消します。
demo.admin.scenario.oidc_consents.title,アプリケーションの同意
demo.admin.scenario.organization_detail.description,組織の設定、ライフサイクル、および現在のメンバーシップを確認します。
demo.admin.scenario.organization_detail.title,組織の詳細
demo.admin.scenario.organizations.description,現在のレルム内の組織を閲覧、検索、および作成します。
demo.admin.scenario.organizations.title,組織ディレクトリ
demo.admin.scenario.project_detail.description,プロジェクトの設定とライフサイクルを確認および編集します。
demo.admin.scenario.project_detail.title,プロジェクト設定
demo.admin.scenario.projects.description,現在のレルム内のプロジェクトを閲覧、検索、および作成します。
demo.admin.scenario.projects.title,プロジェクトディレクトリ
demo.admin.scenario.protocol_documents.description,読み取り専用のディスカバリーおよびJWKSエンドポイントを確認します。
demo.admin.scenario.protocol_documents.title,プロトコル文書
demo.admin.scenario.realm_overview.description,レルムのID、ドメイン、ライフサイクルステータス、および現在のセッションを確認します。
demo.admin.scenario.realm_overview.title,レルムの概要
demo.admin.scenario.realm_settings.description,現在のレルム名、ドメイン、ステータス、およびライフサイクルを管理します。
demo.admin.scenario.realm_settings.title,一般設定
demo.admin.scenario.roles_grants.description,プロジェクトロールと組織アクセス付与を設定します。
demo.admin.scenario.roles_grants.title,ロールと付与
demo.admin.scenario.sessions.description,サブジェクトとデバイスのコンテキストを含むレルムセッションを確認します。
demo.admin.scenario.sessions.title,セッション
demo.admin.scenario.signing_keys.description,鍵のメタデータを確認し、保護されたローテーションを実行します。
demo.admin.scenario.signing_keys.title,署名鍵
demo.admin.scenario.user_authentication.description,ユーザー詳細で安全な要素、パスキー、およびリカバリーのメタデータを確認します。
demo.admin.scenario.user_authentication.title,認証方法
demo.admin.scenario.user_detail.description,プロファイル、ライフサイクル、セッション、および安全な認証メタデータを確認します。
demo.admin.scenario.user_detail.title,ユーザーの詳細
demo.admin.scenario.user_sessions.description,ユーザーのアクティブなブラウザセッションを検査および取り消します。
demo.admin.scenario.user_sessions.title,ユーザーセッション
demo.admin.scenario.users.description,現在のレルム内の人間のユーザーを閲覧および検索します。
demo.admin.scenario.users.title,ユーザーディレクトリ
demo.directory.available,利用可能
demo.directory.availableDemos,利用可能なデモ
demo.directory.back,ディレクトリに戻る
demo.directory.fixtureStates,フィクスチャ状態
demo.directory.openDemo,デモを開く
demo.directory.planned,予定
demo.directory.plannedDestinations,予定された遷移先
demo.directory.previewFoundation,プレビュー基盤
demo.fixture.accepted,承諾済み
demo.fixture.accountError,アカウントの決定論的なテストデータを読み込めませんでした。
demo.fixture.active,アクティブ
demo.fixture.assuranceRequired,保証が必要
demo.fixture.continuing,続行中
demo.fixture.crossTenant,テナント間
demo.fixture.declined,辞退済み
demo.fixture.empty,空
demo.fixture.ended,終了
demo.fixture.error,エラー
demo.fixture.expired,期限切れ
demo.fixture.expiring,期限切れ間近
demo.fixture.fatal,致命的なエラー
demo.fixture.loading,読み込み中
demo.fixture.nestedRejected,ネスト拒否
demo.fixture.oneTime,ワンタイム
demo.fixture.passwordChangeExpired,パスワードの有効期限切れ
demo.fixture.permissionDenied,権限拒否
demo.fixture.preview,ステートレスフィクスチャプレビュー
demo.fixture.recoveryFatal,リカバリーを利用できません
demo.fixture.recoveryLoading,リカバリーを読み込み中
demo.fixture.redacted,墨消し済み
demo.fixture.replayed,再実行済み
demo.fixture.resetInvalid,リセットリンクが無効です
demo.fixture.resetLoading,リセットリンクを読み込み中
demo.fixture.state,フィクスチャ状態
demo.fixture.success,成功
demo.hub.accountDescription,セルフサービスのプロファイル、組織、およびセキュリティの遷移先を探索します。
demo.hub.accountOpen,アカウントを開く
demo.hub.adminDescription,IDリソースと組織設定を管理します。
demo.hub.adminOpen,管理を開く
demo.hub.description,ログイン、アカウント、管理、およびトランザクションメールのデモを探索します。
demo.hub.loginDescription,ユーザー向けの認証エクスペリエンスを体験してください。
demo.hub.loginOpen,ログインを開く
demo.login.description,確定的なサインイン、リカバリ、およびインタラクションフィクスチャを探索します。既存のフローはインタラクティブのままであり、予定された遷移先はステートレスシナリオ契約を公開します。
demo.login.eyebrow,ホスト型認証
demo.login.group.chooser.description,検出されたログインポリシーおよびローカルに記憶されたアカウントから派生したエントリポイント。
demo.login.group.chooser.title,サインインの開始
demo.login.group.chrome.description,ホストされたすべての対話画面で使用されるクロスフローフォールバック。
demo.login.group.chrome.title,共有状態
demo.login.group.interaction.description,ホストされたOIDCリクエストの対話結果とサインアウト。
demo.login.group.interaction.title,対話とログアウト
demo.login.group.mfa.description,第2要素チャレンジ、オーセンティケーター登録、およびリカバリーコード。
