key,fr
admin.organizations.lifecycle.remove,Supprimer l'organisation
admin.organizations.lifecycle.removeConfirm,Supprimer cette organisation ? Les membres perdent l'accès tant qu'elle n'est pas active.
admin.organizations.list.create,Créer une organisation
admin.organizations.list.description,"Les organisations regroupent les personnes, les domaines et la personnalisation de ce realm."
admin.organizations.list.empty,Aucune organisation n'existe encore dans ce realm.
admin.organizations.list.name,Nom de l'organisation
admin.organizations.list.nameRequired,Saisissez un nom d'organisation.
admin.organizations.list.search,Rechercher des organisations
admin.organizations.list.title,Organisations
admin.organizations.memberships.add,Ajouter un membre
admin.organizations.memberships.added,Le membre a été ajouté.
admin.organizations.memberships.description,Les personnes de cette organisation et les rôles fixes qui leur ont été attribués.
admin.organizations.memberships.empty,Cette organisation n'a pas encore de membres.
admin.organizations.memberships.invalid,Saisissez un identifiant d'utilisateur et choisissez entre un et quatre rôles.
admin.organizations.memberships.remove,Supprimer le membre
admin.organizations.memberships.removeConfirm,Retirer {userId} de cette organisation ? Son accès à l'organisation prend fin immédiatement.
admin.organizations.memberships.removed,Le membre a été supprimé.
admin.organizations.memberships.roles,Rôles
admin.organizations.memberships.rolesFixed,Les rôles sont fixés par Authworks et ne peuvent pas être renommés.
admin.organizations.memberships.title,Membres et rôles
admin.organizations.memberships.updated,Les rôles du membre ont été mis à jour.
admin.organizations.memberships.user,Utilisateur
admin.organizations.memberships.userId,ID utilisateur
admin.organizations.pageNext,Page suivante
admin.organizations.pagePrevious,Page précédente
admin.organizations.permissionDenied,Vous n'avez pas la permission de voir ou de modifier cette organisation.
admin.organizations.permissionDeniedTitle,Accès indisponible
admin.organizations.policy.description,Choisissez les méthodes de connexion autorisées et les fournisseurs configurés qui apparaissent.
admin.organizations.policy.domainDiscovery,Détecter l'organisation à partir d'un domaine de messagerie
admin.organizations.policy.emailOtp,Code à usage unique par e-mail
admin.organizations.policy.externalIdentity,Fournisseurs d'identité externes
admin.organizations.policy.inherited,Hérité du realm
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,Mot de passe
admin.organizations.policy.passwordRecovery,Récupération du mot de passe
admin.organizations.policy.registration,Inscription en libre-service
admin.organizations.policy.saved,La politique de connexion a été enregistrée.
admin.organizations.policy.title,Politique de connexion
admin.organizations.providers.allowAccountCreation,Créer automatiquement des comptes pour les nouvelles personnes
admin.organizations.providers.clientId,ID client
admin.organizations.providers.clientSecret,Secret client
admin.organizations.providers.create,Ajouter un fournisseur
admin.organizations.providers.created,Le fournisseur a été configuré.
admin.organizations.providers.description,"Fournisseurs Google, GitHub et Microsoft configurés pour cette organisation."
admin.organizations.providers.disable,Désactiver le fournisseur
admin.organizations.providers.disableConfirm,Désactiver {displayName} ? Les personnes ne peuvent plus se connecter avec ce fournisseur.
admin.organizations.providers.disabled,Le fournisseur a été désactivé.
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,Aucun fournisseur d'identité externe n'est encore configuré.
admin.organizations.providers.invalid,"Saisissez un nom affiché, un identifiant client, un secret client et une URI de redirection absolue."
admin.organizations.providers.redirectUri,URI de redirection
admin.organizations.providers.rotateSecret,Remplacer le secret client
admin.organizations.providers.secretRotated,Le secret client a été remplacé.
admin.organizations.providers.secretWriteOnly,Le secret client stocké n'est jamais affiché. Saisissez une nouvelle valeur pour le remplacer.
admin.organizations.providers.title,Fournisseurs d'identité
admin.organizations.providers.type,Fournisseur
admin.organizations.providers.updated,Le fournisseur a été mis à jour.
admin.organizations.renamed,L'organisation a été renommée.
admin.organizations.status,Statut
admin.organizations.statusValue.active,Actif
admin.organizations.statusValue.inactive,Inactif
admin.organizations.statusValue.removed,Supprimée
admin.overview.description,"Identité, domaines et cycle de vie du domaine de sécurité que vous administrez."
admin.overview.sessionTitle,Session administrateur
admin.overview.title,Aperçu du domaine de sécurité
admin.projects.access.description,Les rôles que cet administrateur détient effectivement sur le projet en ce moment.
admin.projects.access.empty,Aucun rôle de projet n'est effectif dans le contexte organisationnel actuel.
admin.projects.access.grantedOrganization,Accordé via l'organisation
admin.projects.access.permissionDescription,Les rôles fixes et leurs permissions sont définis par Authworks et ne peuvent pas être modifiés.
admin.projects.access.permissionTitle,Rôles et permissions fixes
admin.projects.access.roleKeys,Rôles de projet effectifs
admin.projects.access.title,Accès effectif
admin.projects.applications.create,Ajouter une application
admin.projects.applications.description,Applications qui s'authentifient auprès de ce projet.
admin.projects.applications.empty,Ce projet n'a pas encore d'applications.
admin.projects.applications.invalid,Saisissez un nom d'application et choisissez un type.
admin.projects.applications.name,Nom de l'application
admin.projects.applications.removeConfirm,Supprimer cette application ? Cette action est irréversible.
admin.projects.applications.title,Applications
admin.projects.applications.type,Type d'application
admin.projects.crossTenant,Cette ressource appartient à un autre realm et n'est pas disponible ici.
admin.projects.deleteConfirm,"Supprimer ce projet ? Les applications, rôles et attributions sont supprimés avec lui."
admin.projects.detail.authorizationRequired,Autorisation requise
admin.projects.detail.created,Créé
admin.projects.detail.organization,Organisation
admin.projects.detail.projectAccessRequired,Accès au projet requis
admin.projects.detail.settingsDescription,Contrôlez le nom du projet et la manière dont l'accès est appliqué.
admin.projects.detail.settingsTitle,Paramètres du projet
admin.projects.detail.updated,Dernière mise à jour
admin.projects.detailTitle,Détail du projet
admin.projects.grants.create,Accorder l'accès à une organisation
admin.projects.grants.description,Accordez à une autre organisation l'accès à ce projet et choisissez les rôles qu'elle reçoit.
admin.projects.grants.empty,Aucune organisation n'a reçu l'accès à ce projet.
admin.projects.grants.grantedOrganization,Organisation bénéficiaire
admin.projects.grants.revokeConfirm,Révoquer cette attribution d'organisation ? Les membres perdent l'accès au projet.
admin.projects.grants.roleKeys,Rôles accordés
admin.projects.grants.title,Attributions d'organisation
admin.projects.lifecycle.activate,Activer
admin.projects.lifecycle.deactivate,Désactiver
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,Supprimer ce projet ?
admin.projects.list.create,Créer un projet
admin.projects.list.description,"Les projets regroupent les applications, les rôles et les attributions d'une organisation."
admin.projects.list.empty,Aucun projet n'existe encore dans ce realm.
admin.projects.list.invalid,Saisissez un nom de projet et choisissez une organisation.
admin.projects.list.name,Nom du projet
admin.projects.list.search,Rechercher des projets
admin.projects.list.title,Projets
admin.projects.missingId,Un projet doit être sélectionné pour cette destination.
admin.projects.pageNext,Page suivante
admin.projects.pagePrevious,Page précédente
admin.projects.permissionDenied,Vous n'avez pas la permission de voir ou de modifier ces informations de projet.
admin.projects.roles.create,Créer un rôle
admin.projects.roles.deleteConfirm,Supprimer ce rôle de projet ? Les attributions qui le référencent perdent le rôle.
admin.projects.roles.description,Les rôles que ce projet peut attribuer aux organisations et à leurs membres.
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,Ce projet ne définit pas encore de rôles.
admin.projects.roles.group,Groupe
admin.projects.roles.key,Clé du rôle
admin.projects.roles.title,Rôles du projet
admin.projects.saved,{name} a été enregistré.
admin.projects.status,Statut
admin.realm.confirmLabel,Saisissez {name} pour confirmer
admin.realm.confirmMismatch,Le nom du domaine de sécurité ne correspond pas.
admin.realm.created,Créé
admin.realm.dangerZone,Zone sensible
admin.realm.description,Configuration d'identité et de connexion du domaine de sécurité que vous administrez.
admin.realm.disable,Désactiver le domaine de sécurité
admin.realm.disableConfirm,Désactiver ce domaine de sécurité arrête la connexion pour toutes ses applications. Continuer ?
admin.realm.disableWarning,Désactiver ce domaine de sécurité arrête immédiatement la connexion et la délivrance de jetons pour toutes ses applications.
admin.realm.disabled,Le domaine de sécurité a été désactivé.
admin.realm.domainRequired,Saisissez au moins un domaine.
admin.realm.domains,Domaines
admin.realm.domainsHint,Séparez les domaines par des virgules. Le premier domaine est le domaine principal.
admin.realm.enable,Activer le domaine de sécurité
admin.realm.enableDescription,Ce domaine de sécurité est désactivé. Activez-le pour rétablir la connexion et la délivrance de jetons.
admin.realm.enabled,Le domaine de sécurité a été activé.
admin.realm.identifier,Identifiant du domaine de sécurité
admin.realm.invalid,Saisissez un nom et au moins un domaine.
admin.realm.lifecycleTitle,Cycle de vie du domaine de sécurité
admin.realm.name,Nom du domaine de sécurité
admin.realm.nameRequired,Saisissez un nom de domaine de sécurité.
admin.realm.permissionDenied,Vous n'avez pas l'autorisation de modifier ce domaine de sécurité.
admin.realm.primaryDomain,Domaine principal
admin.realm.save,Enregistrer les paramètres
admin.realm.saved,Les paramètres ont été enregistrés.
admin.realm.settingsDescription,Modifiez le nom et les domaines qui pointent vers ce domaine de sécurité.
admin.realm.settingsTitle,Paramètres généraux
admin.realm.status,Statut
admin.realm.statusActive,Actif
admin.realm.statusDisabled,Désactivé
admin.realm.title,Paramètres du domaine de sécurité
admin.realm.updated,Dernière mise à jour
admin.session.expired,Votre session administrateur a expiré
admin.signIn.activeTitle,Session administrateur active
admin.signIn.credential,Identifiant administrateur d'amorçage
admin.signIn.credentialInvalid,Saisissez l'identifiant administrateur d'amorçage complet.
admin.signIn.credentialNotStored,L'identifiant est échangé contre une courte session de navigateur et n'est jamais stocké dans ce navigateur.
admin.signIn.description,Échangez l'identifiant d'amorçage fourni par l'opérateur contre une courte session administrateur.
admin.signIn.expiresAt,Cette session expire le {date}.
admin.signIn.signOutConfirm,Mettre fin à cette session administrateur ? Vous devrez vous reconnecter pour continuer.
admin.signIn.signedOutDetail,La session administrateur a été terminée sur cet appareil.
admin.signIn.signedOutTitle,Déconnecté
admin.signIn.subject,Sujet
admin.signIn.subjectType,Type de sujet
admin.signIn.title,Connexion administrateur
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.count,{count} utilisateurs
admin.users.create,Créer un utilisateur
admin.users.createDescription,Ajoutez un utilisateur humain au realm actuel.
admin.users.createSubmit,Créer
admin.users.created,{userName} a été créé.
admin.users.createdAt,Créé
admin.users.dangerZone,Zone sensible
admin.users.delete,Supprimer l'utilisateur
admin.users.deleteConfirm,Supprimer définitivement {userName} ?
admin.users.deleteWarning,La suppression de cet utilisateur révoque immédiatement ses sessions et ses accès.
admin.users.deleted,{userName} a été supprimé.
admin.users.description,Identités humaines dans le realm actuel.
admin.users.detailTitle,Détail de l'utilisateur
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,Aucun utilisateur ne correspond au filtre actuel.
admin.users.firstName,First name
admin.users.invalid,Saisissez une adresse e-mail et un nom d'utilisateur valides.
admin.users.lastName,Last name
admin.users.lifecycle.active,Actif
admin.users.lifecycle.deleted,Supprimé
admin.users.lifecycle.inactive,Inactif
admin.users.lifecycle.initial,Initial
admin.users.lifecycle.locked,Verrouillé
admin.users.lifecycle.suspended,Suspendu
admin.users.lifecycleChanged,Le statut de l'utilisateur est maintenant {state}.
admin.users.lifecycleConfirm,Définir {userName} sur {state} ?
admin.users.lifecycleDescription,Définissez si cet utilisateur peut se connecter.
admin.users.lifecycleTitle,Cycle de vie
admin.users.markUnverified,Marquer comme non vérifié
admin.users.markVerified,Marquer comme vérifié
admin.users.missingId,Cet utilisateur n'a pas pu être résolu à partir de l'adresse.
admin.users.nickName,Nickname
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,Enregistrer le profil
admin.users.profileSaved,Le profil de l'utilisateur a été enregistré.
admin.users.profileTitle,Profil
admin.users.search,Rechercher des utilisateurs
admin.users.searchPlaceholder,"Filtrer par nom d'utilisateur, e-mail ou identifiant"
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,Statut
admin.users.title,Utilisateurs
admin.users.unverified,Non vérifié
admin.users.updated,Dernière mise à jour
admin.users.userName,Username
admin.users.verification,Vérification
admin.users.verificationChanged,Le statut de vérification est maintenant {state}.
admin.users.verificationDescription,Contrôlez si l'adresse e-mail de cet utilisateur est considérée comme vérifiée.
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,Services d'identité sécurisés
common.back,Retour
common.cancel,Annuler
common.close,Fermer
common.continue,Continuer
common.decline,Decline
common.disable,Désactiver
common.disabled,Désactivé
common.enable,Activer
common.enabled,Activé
common.error,Une erreur s’est produite.
common.language,Langue
common.loading,Chargement
common.retry,Réessayer
common.revoke,Revoke
common.save,Enregistrer
common.signIn,Se connecter
common.signInWithProvider,Se connecter avec {provider}
common.signOut,Se déconnecter
common.theme.dark,Sombre
common.theme.light,Clair
common.theme.system,Système
common.urlPlaceholder,https://
demo.account.description,"Explorez les expériences de gestion de profil, d'organisation, de sécurité et d'accès aux applications prises en charge par Authworks sans réseau. Chaque destination a un contrat explicite d'état de fixture."
demo.account.eyebrow,Identité en libre-service
demo.account.group.access.description,Applications et autorisations accordées par ce compte.
demo.account.group.access.title,Accès
demo.account.group.identity.description,Le profil et les détails de connexion que les utilisateurs gèrent eux-mêmes.
demo.account.group.identity.title,Informations personnelles
demo.account.group.organizations.description,"Adhésion, contexte de l'organisation et invitations."
demo.account.group.organizations.title,Organisations
demo.account.group.security.description,"Sessions, facteurs d'authentification et identités connectées."
demo.account.group.security.title,Sécurité
demo.account.scenario.consents.description,Vérifier et révoquer les autorisations précédemment accordées aux applications.
demo.account.scenario.consents.title,Consentements d'application
demo.account.scenario.delete.description,Vérifier l'impact et confirmer la suppression définitive du compte.
demo.account.scenario.delete.title,Supprimer le compte
demo.account.scenario.email.description,Vérifier l'adresse confirmée utilisée pour la connexion et les communications du compte.
demo.account.scenario.email.title,Adresse e-mail
demo.account.scenario.factors.description,"Gérer l'application d'authentification, les e-mails et les clés d'accès."
demo.account.scenario.factors.title,Authentification multi-facteurs
demo.account.scenario.identities.description,"Vérifier et dissocier les comptes Google, GitHub et Microsoft."
demo.account.scenario.identities.title,Identités associées
demo.account.scenario.invitation.description,Inspecter une invitation avant de rejoindre une organisation.
demo.account.scenario.invitation.title,Accepter l'invitation
demo.account.scenario.invitations.description,Examiner les invitations adressées au compte connecté.
demo.account.scenario.invitations.title,Mes invitations
demo.account.scenario.organizations.description,Voir les adhésions et changer d'organisation active.
demo.account.scenario.organizations.title,Mes organisations
demo.account.scenario.passkeys.description,"Enregistrer, nommer et supprimer des identifiants sans mot de passe."
demo.account.scenario.passkeys.title,Clés d'accès
demo.account.scenario.password.description,Modifier le mot de passe actuel et vérifier son niveau de sécurité.
demo.account.scenario.password.title,Mot de passe
demo.account.scenario.profile.description,"Vérifier et mettre à jour les noms, le nom d'utilisateur et la langue préférée."
demo.account.scenario.profile.title,Profil
demo.account.scenario.recovery_codes.description,Générer des codes de remplacement et les afficher une seule fois.
demo.account.scenario.recovery_codes.title,Codes de récupération
demo.account.scenario.sessions.description,Vérifier les sessions actives et révoquer les appareils inutilisés.
demo.account.scenario.sessions.title,Sessions et appareils
demo.account.title,Démo de compte
demo.admin.description,"Naviguez dans le domaine actuel à l'aide d'une architecture d'information articulée autour des personnes, des organisations, des applications, des identifiants et des journaux d'audit. Les démos disponibles et les destinations sans état prévues sont clairement séparées."
demo.admin.directoryTitle,Répertoire d'administration
demo.admin.eyebrow,Administration du domaine
demo.admin.group.authorization.description,"Applications, rôles de projet, autorisations accordées et accès évalué."
demo.admin.group.authorization.title,Projets et autorisation
demo.admin.group.machine_users.description,Identités non humaines et leurs identifiants en écriture seule.
demo.admin.group.machine_users.title,Utilisateurs machines
demo.admin.group.oidc.description,"Clients, paramètres de redirection exacts, consentement, étendues et clés de signature."
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,Sessions de domaine et activité de sécurité immuable.
demo.admin.group.operations.title,Opérations
demo.admin.group.organizations.description,"Paramètres de l'organisation, personnes, invitations et domaines vérifiés."
demo.admin.group.organizations.title,Organisations
demo.admin.group.realm.description,"Configuration de l'identité, du cycle de vie et de la connexion à l'échelle du domaine."
demo.admin.group.realm.title,Domaine
demo.admin.group.users.description,"Identités humaines, identifiants, sessions et actions de support protégées."
demo.admin.group.users.title,Utilisateurs
demo.admin.realmFixtureName,Identité client Northwind
demo.admin.scenario.admin_sign_in.description,Échanger un identifiant bootstrap contre une courte session de navigateur administrateur.
demo.admin.scenario.admin_sign_in.title,Connexion administrateur
demo.admin.scenario.applications.description,Gérer les applications du projet et leur cycle de vie.
demo.admin.scenario.applications.title,Applications
demo.admin.scenario.audit_events.description,Parcourir le flux d'événements de sécurité actuel alimenté par les fixtures.
demo.admin.scenario.audit_events.title,Événements d'audit
demo.admin.scenario.branding.description,"Configurer les couleurs, logos et liens légaux adaptés à l'organisation."
demo.admin.scenario.branding.title,Image de marque
demo.admin.scenario.domains.description,Vérifier les domaines et contrôler la découverte de l'organisation.
demo.admin.scenario.domains.title,Domaines et découverte
demo.admin.scenario.effective_access.description,"Inspecter les rôles effectifs, autorisations et vérifications d'accès en lecture seule."
demo.admin.scenario.effective_access.title,Accès effectif
demo.admin.scenario.impersonation.description,Démarrer une session d'assistance motivée et limitée dans le temps si autorisé.
demo.admin.scenario.impersonation.title,Usurpation d'identité
demo.admin.scenario.invitations.description,Inviter des personnes et suivre les invitations en attente ou expirées.
demo.admin.scenario.invitations.title,Invitations
demo.admin.scenario.login_policy.description,"Définir la politique de connexion et configurer Google, GitHub ou Microsoft."
demo.admin.scenario.login_policy.title,Connexion et fournisseurs d'identité
demo.admin.scenario.machine_credentials.description,"Émettre, faire pivoter et révoquer des identifiants client, des PAT et des clés API."
demo.admin.scenario.machine_credentials.title,Identifiants et jetons
demo.admin.scenario.machine_user_detail.description,"Examiner les étendues et le cycle de vie, faire pivoter le secret client et gérer les identifiants."
demo.admin.scenario.machine_user_detail.title,Détails de l'utilisateur machine
demo.admin.scenario.machine_users.description,Créer et gérer les identités de service et leur cycle de vie.
demo.admin.scenario.machine_users.title,Répertoire des utilisateurs machines
demo.admin.scenario.memberships.description,Attribuer des rôles d'organisation fixes aux membres.
demo.admin.scenario.memberships.title,Adhésions et rôles
demo.admin.scenario.oidc_client_detail.description,"Modifier les redirections exactes et étendues, puis faire pivoter ou révoquer le secret client."
demo.admin.scenario.oidc_client_detail.title,Paramètres du client OIDC
demo.admin.scenario.oidc_clients.description,"Gérer les clients, redirections, étendues, confiance et secrets à usage unique."
demo.admin.scenario.oidc_clients.title,Clients OIDC
demo.admin.scenario.oidc_consents.description,Vérifier et révoquer les applications approuvées par une personne.
demo.admin.scenario.oidc_consents.title,Consentements d'application
demo.admin.scenario.organization_detail.description,"Vérifier les paramètres de l'organisation, le cycle de vie et les adhésions actuelles."
demo.admin.scenario.organization_detail.title,Détails de l'organisation
demo.admin.scenario.organizations.description,"Parcourir, rechercher et créer des organisations dans le domaine actuel."
demo.admin.scenario.organizations.title,Répertoire des organisations
demo.admin.scenario.project_detail.description,Vérifier et modifier les paramètres et le cycle de vie d'un projet.
demo.admin.scenario.project_detail.title,Paramètres du projet
demo.admin.scenario.projects.description,"Parcourir, rechercher et créer des projets dans le domaine actuel."
demo.admin.scenario.projects.title,Répertoire des projets
demo.admin.scenario.protocol_documents.description,Inspecter les points de terminaison de découverte et JWKS en lecture seule.
demo.admin.scenario.protocol_documents.title,Documents de protocole
demo.admin.scenario.realm_overview.description,"Vérifier l'identité du domaine, les domaines, l'état du cycle de vie et la session actuelle."
demo.admin.scenario.realm_overview.title,Vue d'ensemble du domaine
demo.admin.scenario.realm_settings.description,"Gérer le nom du domaine actuel, les domaines, l'état et le cycle de vie."
demo.admin.scenario.realm_settings.title,Paramètres généraux
demo.admin.scenario.roles_grants.description,Configurer les rôles de projet et les autorisations d'accès de l'organisation.
demo.admin.scenario.roles_grants.title,Rôles et autorisations
demo.admin.scenario.sessions.description,Examiner les sessions de domaine avec le contexte du sujet et de l'appareil.
demo.admin.scenario.sessions.title,Sessions
demo.admin.scenario.signing_keys.description,Examiner les métadonnées de clé et effectuer une rotation sécurisée.
demo.admin.scenario.signing_keys.title,Clés de signature
demo.admin.scenario.user_authentication.description,"Examiner les métadonnées sécurisées des facteurs, clés d'accès et récupération dans les détails de l'utilisateur."
demo.admin.scenario.user_authentication.title,Méthodes d'authentification
demo.admin.scenario.user_detail.description,"Examiner le profil, le cycle de vie, les sessions et les métadonnées d'authentification sécurisées."
demo.admin.scenario.user_detail.title,Détails de l'utilisateur
demo.admin.scenario.user_sessions.description,Inspecter et révoquer les sessions de navigateur actives d'un utilisateur.
demo.admin.scenario.user_sessions.title,Sessions utilisateur
demo.admin.scenario.users.description,Parcourir et rechercher des utilisateurs humains dans le domaine actuel.
demo.admin.scenario.users.title,Répertoire des utilisateurs
demo.directory.available,Disponible
demo.directory.availableDemos,démos disponibles
demo.directory.back,Retour au répertoire
demo.directory.fixtureStates,États de fixture
demo.directory.openDemo,Ouvrir la démo
demo.directory.planned,Prévu
demo.directory.plannedDestinations,destinations prévues
demo.directory.previewFoundation,Aperçu de la base
demo.fixture.accepted,accepté
demo.fixture.accountError,Les données de test déterministes du compte n'ont pas pu être chargées.
demo.fixture.active,actif
demo.fixture.assuranceRequired,assurance requise
demo.fixture.crossTenant,inter-locataires
demo.fixture.declined,décliné
demo.fixture.empty,vide
demo.fixture.ended,terminé
demo.fixture.error,erreur
demo.fixture.expired,expiré
demo.fixture.expiring,expire bientôt
demo.fixture.loading,chargement
demo.fixture.nestedRejected,rejet imbriqué
demo.fixture.oneTime,à usage unique
demo.fixture.permissionDenied,permission refusée
demo.fixture.preview,Aperçu de fixture sans état
demo.fixture.redacted,masqué
demo.fixture.replayed,rejoué
demo.fixture.state,État de la fixture
demo.fixture.success,succès
demo.hub.accountDescription,"Explorez les destinations en libre-service pour le profil, l'organisation et la sécurité."
demo.hub.accountOpen,Ouvrir le compte
demo.hub.adminDescription,Gérer les ressources d'identité et les paramètres de l'organisation.
demo.hub.adminOpen,Ouvrir l'administration
demo.hub.description,"Explorez les démos de connexion, de compte, d'administration et d'e-mails transactionnels."
demo.hub.loginDescription,Découvrez l'expérience d'authentification pour vos utilisateurs.
demo.hub.loginOpen,Ouvrir la connexion
demo.login.description,"Explorez des fixtures déterministes de connexion, de récupération et d'interaction. Les flux existants restent interactifs tandis que les destinations prévues exposent leurs contrats de scénarios sans état."
demo.login.eyebrow,Authentification hébergée
demo.login.group.chooser.description,Points d'entrée dérivés de la politique de connexion découverte et des comptes mémorisés localement.
demo.login.group.chooser.title,Démarrer la connexion
demo.login.group.chrome.description,Solutions de repli inter-flux utilisées par chaque écran d'interaction hébergé.
demo.login.group.chrome.title,États partagés
demo.login.group.interaction.description,Résultats d'interaction et déconnexion pour les requêtes OIDC hébergées.
demo.login.group.interaction.title,Interaction et déconnexion
demo.login.group.mfa.description,"Défis de deuxième facteur, inscription de l'authentificateur et codes de récupération."
demo.login.group.mfa.title,Authentification multi-facteurs
demo.login.group.password_email.description,Authentification par mot de passe et code e-mail avec fixtures locales déterministes.
demo.login.group.password_email.title,Mot de passe et code e-mail
demo.login.group.passwordless.description,"Clés d'accès et fournisseurs d'identité externes configurés."
demo.login.group.passwordless.title,Sans mot de passe et externe
demo.login.group.recovery.description,Demander et effectuer la récupération de mot de passe sans divulgation du compte.
demo.login.group.recovery.title,Récupération
demo.login.group.registration.description,Inscription et confirmation par e-mail émise par le serveur.
demo.login.group.registration.title,Inscription et vérification
demo.login.scenario.chooser.description,Choisir une méthode d'authentification principale autorisée.
demo.login.scenario.chooser.title,Choix de la méthode
demo.login.scenario.chooser_recent_accounts.description,Continuer avec un compte mémorisé sur cet appareil.
demo.login.scenario.chooser_recent_accounts.title,Comptes récents
demo.login.scenario.email_otp.description,Demander un code à usage unique envoyé par e-mail.
demo.login.scenario.email_otp.title,Demander un code e-mail
demo.login.scenario.email_otp_code.description,Saisir le code de vérification d'e-mail à six chiffres.
demo.login.scenario.email_otp_code.title,Vérifier le code e-mail
demo.login.scenario.idp.description,Continuer via un fournisseur d'identité externe configuré.
demo.login.scenario.idp.title,Identité externe
demo.login.scenario.idp_failure.description,Récupérer d'un échec de démarrage du fournisseur externe.
demo.login.scenario.idp_failure.title,Échec du fournisseur
demo.login.scenario.loading.description,Afficher la progression pendant la résolution de la découverte du domaine.
demo.login.scenario.loading.title,Chargement
demo.login.scenario.logout.description,Confirmer la déconnexion pour la session de navigateur actuelle.
demo.login.scenario.logout.title,Déconnexion
demo.login.scenario.logout_done.description,Confirmer une déconnexion terminée et un chemin de retour validé.
demo.login.scenario.logout_done.title,Déconnecté
demo.login.scenario.mfa.description,Choisir un deuxième facteur disponible.
demo.login.scenario.mfa.title,Choisir un facteur
demo.login.scenario.mfa_email_otp.description,Vérifier un deuxième facteur par e-mail.
demo.login.scenario.mfa_email_otp.title,Code e-mail
demo.login.scenario.mfa_passkey.description,Vérifier une clé d'accès comme deuxième facteur.
demo.login.scenario.mfa_passkey.title,Facteur clé d'accès
demo.login.scenario.mfa_recovery_code.description,Utiliser un code de récupération unique lorsque les autres facteurs sont indisponibles.
demo.login.scenario.mfa_recovery_code.title,Code de récupération
demo.login.scenario.mfa_totp.description,Vérifier un code d'authentification basé sur le temps.
demo.login.scenario.mfa_totp.title,Code d'authentification
demo.login.scenario.mfa_totp_enroll.description,Connecter et confirmer un nouvel authentificateur.
demo.login.scenario.mfa_totp_enroll.title,Inscrire l'authentificateur
demo.login.scenario.passkey.description,S'authentifier avec une clé d'accès liée à l'appareil.
demo.login.scenario.passkey.title,Clé d'accès
demo.login.scenario.passkey_unsupported.description,Expliquer l'incompatibilité du navigateur ou de l'appareil.
demo.login.scenario.passkey_unsupported.title,Clé d'accès indisponible
demo.login.scenario.password.description,Se connecter avec une adresse e-mail ou un nom d'utilisateur et un mot de passe.
demo.login.scenario.password.title,Mot de passe
demo.login.scenario.password_change_required.description,Définir un nouveau mot de passe avant de continuer.
demo.login.scenario.password_change_required.title,Changement de mot de passe requis
demo.login.scenario.password_error.description,Afficher une réponse sécurisée d'identifiants non valides.
demo.login.scenario.password_error.title,Identifiants non valides
demo.login.scenario.password_forgot.description,Demander des instructions de récupération de mot de passe.
demo.login.scenario.password_forgot.title,Demander la récupération
demo.login.scenario.password_forgot_sent.description,Afficher la confirmation par e-mail sans divulgation.
demo.login.scenario.password_forgot_sent.title,Récupération demandée
demo.login.scenario.password_reset.description,Choisir un nouveau mot de passe à partir d'un lien de récupération.
demo.login.scenario.password_reset.title,Réinitialiser le mot de passe
demo.login.scenario.password_reset_complete.description,Retourner à la connexion après une réinitialisation réussie.
demo.login.scenario.password_reset_complete.title,Réinitialisation terminée
demo.login.scenario.register.description,Créer un compte humain selon la politique de connexion active.
demo.login.scenario.register.title,Inscription
demo.login.scenario.register_done.description,Afficher l'avis de vérification sans divulgation.
demo.login.scenario.register_done.title,Confirmation envoyée
demo.login.scenario.signed_in.description,Afficher la confirmation d'interaction reprise.
demo.login.scenario.signed_in.title,Interaction terminée
demo.login.scenario.unsupported.description,Expliquer une interaction non prise en charge ou expirée.
demo.login.scenario.unsupported.title,Demande indisponible
demo.login.scenario.verify_email.description,Confirmer une adresse à partir d'un lien émis par le serveur.
demo.login.scenario.verify_email.title,Vérification d'e-mail
demo.login.title,Démo de connexion
demo.nav.account,Compte
demo.nav.admin,Administration
demo.nav.compact,Compact
