key,de
admin.oidc.documents.readOnly,Diese Dokumente werden aus der Realm-Konfiguration und den Signaturschlüsseln erzeugt. Sie können hier nicht bearbeitet werden.
admin.oidc.documents.showRaw,Rohdokument anzeigen
admin.oidc.documents.title,Protokolldokumente
admin.oidc.documents.tokenEndpoint,Token-Endpunkt
admin.oidc.documents.userinfoEndpoint,Userinfo-Endpunkt
admin.oidc.keys.algorithm,Algorithmus
admin.oidc.keys.create,Schlüssel hinzufügen
admin.oidc.keys.created,Ein neuer Signaturschlüssel wurde veröffentlicht.
admin.oidc.keys.description,"Die Schlüssel, die Token für diesen Realm signieren. Bei der Rotation wird ein neuer Schlüssel veröffentlicht und der aktuelle außer Dienst gestellt."
admin.oidc.keys.empty,Für diesen Realm existiert noch kein Signaturschlüssel.
admin.oidc.keys.keyId,Schlüssel-ID
admin.oidc.keys.privateNotice,Es werden nur öffentliche Schlüsselmetadaten angezeigt. Privates Schlüsselmaterial wird nie an den Browser gesendet.
admin.oidc.keys.retire,Außer Dienst stellen
admin.oidc.keys.retireConfirm,Diesen Signaturschlüssel zurückziehen? Mit ihm signierte Tokens können nach dem Entfernen aus dem JWKS nicht mehr verifiziert werden.
admin.oidc.keys.retired,Der Signaturschlüssel wurde außer Dienst gestellt.
admin.oidc.keys.retiredAt,Außer Dienst gestellt
admin.oidc.keys.rotate,Schlüssel rotieren
admin.oidc.keys.rotateConfirm,Den Signaturschlüssel rotieren? Ein neuer Schlüssel wird veröffentlicht und der aktuelle zurückgezogen.
admin.oidc.keys.rotated,Der Signaturschlüssel wurde rotiert.
admin.oidc.keys.statusValue.active,Aktiv
admin.oidc.keys.statusValue.retired,Außer Dienst
admin.oidc.keys.title,Signaturschlüssel
admin.oidc.lifecycle.activate,Aktivieren
admin.oidc.lifecycle.deactivate,Deaktivieren
admin.oidc.lifecycle.remove,Client entfernen
admin.oidc.permissionDenied,"Sie haben keine Berechtigung, die OpenID-Connect-Einstellungen in diesem Realm anzusehen oder zu ändern."
admin.oidc.permissionDeniedTitle,Zugriff nicht verfügbar
admin.oidc.secret.acknowledge,Ich habe das Secret gespeichert
admin.oidc.secret.copied,In die Zwischenablage kopiert
admin.oidc.secret.copy,Secret kopieren
admin.oidc.secret.copyFailed,Die Zwischenablage ist nicht verfügbar. Markieren und kopieren Sie den Wert manuell.
admin.oidc.secret.createdTitle,Neues Client-Secret
admin.oidc.secret.description,"Das gespeicherte Client-Secret wird nie wieder angezeigt. Rotieren Sie es, um ein neues auszustellen, oder widerrufen Sie es, damit sich der Client nicht mehr authentifizieren kann."
admin.oidc.secret.once,Nur dieses eine Mal wird das Secret für {client} angezeigt. Speichern Sie es jetzt; es kann nicht wiederhergestellt werden.
admin.oidc.secret.publicClient,"Ein öffentlicher Client authentifiziert sich ohne Secret, daher gibt es nichts zu rotieren."
admin.oidc.secret.redacted,Gespeichert und verborgen
admin.oidc.secret.revoke,Secret widerrufen
admin.oidc.secret.revokeConfirm,"Dieses Client-Secret widerrufen? Der Client kann sich erst wieder authentifizieren, wenn ein neues ausgestellt wurde."
admin.oidc.secret.revoked,Das Client-Secret wurde widerrufen.
admin.oidc.secret.rotate,Secret rotieren
admin.oidc.secret.rotateConfirm,Dieses Client-Secret rotieren? Das aktuelle Secret funktioniert sofort nicht mehr.
admin.oidc.secret.rotated,Das Client-Secret wurde rotiert.
admin.oidc.secret.rotatedTitle,Rotiertes Client-Secret
admin.oidc.secret.title,Client-Secret
admin.oidc.status,Status
admin.oidc.updated,Zuletzt aktualisiert
admin.organizations.assuranceRequired,"Melden Sie sich erneut mit einer stärkeren Authentifizierungsmethode an, um diese Organisationseinstellung zu ändern."
admin.organizations.assuranceRequiredTitle,Stärkere Anmeldung erforderlich
admin.organizations.branding.background,Hintergrundfarbe
admin.organizations.branding.dark,Dunkles Design
admin.organizations.branding.description,"Farben, Logos und rechtliche Links, die auf den Anmelde- und Kontoseiten angezeigt werden."
admin.organizations.branding.font,Textfarbe
admin.organizations.branding.iconUrl,Icon-URL
admin.organizations.branding.light,Helles Design
admin.organizations.branding.logoUrl,Logo-URL
admin.organizations.branding.preview,Vorschau
admin.organizations.branding.primary,Primärfarbe
admin.organizations.branding.privacyUrl,URL der Datenschutzerklärung
admin.organizations.branding.saved,Das Branding wurde gespeichert.
admin.organizations.branding.termsUrl,URL der Nutzungsbedingungen
admin.organizations.branding.themeMode,Standarddesign
admin.organizations.branding.title,Branding
admin.organizations.branding.warn,Warnfarbe
admin.organizations.branding.watermark,Authworks-Wasserzeichen ausblenden
admin.organizations.detail.created,Erstellt
admin.organizations.detail.realm,Realm
admin.organizations.detail.settingsDescription,Steuern Sie den Organisationsnamen und ihren Lebenszyklusstatus.
admin.organizations.detail.settingsTitle,Organisationseinstellungen
admin.organizations.detail.updated,Zuletzt aktualisiert
admin.organizations.detailTitle,Organisationsdetails
admin.organizations.domains.claim,Domain beanspruchen
admin.organizations.domains.claimed,{domain} wurde beansprucht und wartet auf Verifizierung.
admin.organizations.domains.description,"Verifizierte Domains ermöglichen es Personen, diese Organisation anhand ihrer E-Mail-Adresse zu finden."
admin.organizations.domains.discovery,Erkennungsvorschau
admin.organizations.domains.discoveryDescription,"Prüfen Sie, zu welcher Organisation eine Domain bei der Anmeldung derzeit aufgelöst wird."
admin.organizations.domains.discoveryFound,{domain} wird zu {organization} aufgelöst.
admin.organizations.domains.discoveryMissing,{domain} wird zu keiner Organisation aufgelöst.
admin.organizations.domains.domain,Domain
admin.organizations.domains.empty,Diese Organisation hat noch keine Domain beansprucht.
admin.organizations.domains.invalid,Geben Sie einen gültigen Domainnamen ein.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,Primäre Domain
admin.organizations.domains.remove,Domain entfernen
admin.organizations.domains.removeConfirm,Die Domain {domain} entfernen? Die Organisationserkennung dafür stoppt sofort.
admin.organizations.domains.removed,Die Domain wurde entfernt.
admin.organizations.domains.title,Domains und Erkennung
admin.organizations.domains.unverified,Verifizierung ausstehend
admin.organizations.domains.verificationRecord,Fügen Sie diesen DNS-TXT-Eintrag hinzu und verifizieren Sie dann.
admin.organizations.domains.verified,Verifiziert
admin.organizations.domains.verify,Domain verifizieren
admin.organizations.domains.verifyDone,Die Domain wurde verifiziert.
admin.organizations.invitations.create,Person einladen
admin.organizations.invitations.description,"Laden Sie Personen per E-Mail ein und verfolgen Sie, welche Einladungen noch ausstehen."
admin.organizations.invitations.email,E-Mail-Adresse
admin.organizations.invitations.emailInvalid,Geben Sie eine gültige E-Mail-Adresse ein.
admin.organizations.invitations.empty,Für diese Organisation wurden keine Einladungen versendet.
admin.organizations.invitations.expires,Läuft ab
admin.organizations.invitations.revoke,Einladung widerrufen
admin.organizations.invitations.revokeConfirm,Die Einladung für {email} widerrufen? Der Einladungslink funktioniert sofort nicht mehr.
admin.organizations.invitations.revoked,Die Einladung wurde widerrufen.
admin.organizations.invitations.rolesInvalid,Wählen Sie zwischen einer und vier Rollen.
admin.organizations.invitations.sent,Die Einladung wurde erstellt.
admin.organizations.invitations.statusValue.accepted,Angenommen
admin.organizations.invitations.statusValue.declined,Abgelehnt
admin.organizations.invitations.statusValue.expired,Abgelaufen
admin.organizations.invitations.statusValue.pending,Ausstehend
admin.organizations.invitations.statusValue.revoked,Widerrufen
admin.organizations.invitations.title,Einladungen
admin.organizations.invitations.tokenDismiss,Ich habe diesen Link gespeichert
admin.organizations.invitations.tokenOnce,Dieser Einladungslink wird nur einmal angezeigt. Teilen Sie ihn mit der eingeladenen Person.
admin.organizations.invitations.tokenTitle,Einladungslink
admin.organizations.lifecycle.activate,Organisation reaktivieren
admin.organizations.lifecycle.activateConfirm,"Diese Organisation reaktivieren? Mitglieder verlieren den Zugriff, solange sie nicht aktiv ist."
admin.organizations.lifecycle.changed,Der Lebenszyklusstatus der Organisation wurde geändert.
admin.organizations.lifecycle.deactivate,Organisation deaktivieren
admin.organizations.lifecycle.deactivateConfirm,"Diese Organisation deaktivieren? Mitglieder verlieren den Zugriff, solange sie nicht aktiv ist."
admin.organizations.lifecycle.remove,Organisation entfernen
admin.organizations.lifecycle.removeConfirm,"Diese Organisation entfernen? Mitglieder verlieren den Zugriff, solange sie nicht aktiv ist."
admin.organizations.list.create,Organisation erstellen
admin.organizations.list.description,"Organisationen bündeln die Personen, Domains und das Branding dieses Realms."
admin.organizations.list.empty,In diesem Realm existieren noch keine Organisationen.
admin.organizations.list.name,Organisationsname
admin.organizations.list.nameRequired,Geben Sie einen Organisationsnamen ein.
admin.organizations.list.search,Organisationen durchsuchen
admin.organizations.list.title,Organisationen
admin.organizations.memberships.add,Mitglied hinzufügen
admin.organizations.memberships.added,Das Mitglied wurde hinzugefügt.
admin.organizations.memberships.description,"Personen in dieser Organisation und die festen Rollen, die ihnen zugewiesen wurden."
admin.organizations.memberships.empty,Diese Organisation hat noch keine Mitglieder.
admin.organizations.memberships.invalid,Geben Sie eine Benutzer-ID ein und wählen Sie zwischen einer und vier Rollen.
admin.organizations.memberships.remove,Mitglied entfernen
admin.organizations.memberships.removeConfirm,{userId} aus dieser Organisation entfernen? Der Organisationszugriff endet sofort.
admin.organizations.memberships.removed,Das Mitglied wurde entfernt.
admin.organizations.memberships.roles,Rollen
admin.organizations.memberships.rolesFixed,Rollen sind von Authworks festgelegt und können nicht umbenannt werden.
admin.organizations.memberships.title,Mitglieder und Rollen
admin.organizations.memberships.updated,Die Mitgliedsrollen wurden aktualisiert.
admin.organizations.memberships.user,Benutzer
admin.organizations.memberships.userId,Benutzer-ID
admin.organizations.pageNext,Nächste Seite
admin.organizations.pagePrevious,Vorherige Seite
admin.organizations.permissionDenied,"Sie haben keine Berechtigung, diese Organisation anzuzeigen oder zu ändern."
admin.organizations.permissionDeniedTitle,Zugriff nicht verfügbar
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.description,"Wählen Sie, welche Anmeldemethoden Personen verwenden dürfen und welche konfigurierten Anbieter angezeigt werden."
admin.organizations.policy.domainDiscovery,Organisation über eine E-Mail-Domain erkennen
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.emailOtp,Einmalcode per E-Mail
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.externalIdentity,Externe Identitätsanbieter
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.inherited,Vom Realm geerbt
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,Passwort
admin.organizations.policy.passwordRecovery,Passwortwiederherstellung
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.registration,Selbstregistrierung
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.saved,Die Anmelderichtlinie wurde gespeichert.
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.title,Anmelderichtlinie
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
admin.organizations.providers.allowAccountCreation,Konten für neue Personen automatisch anlegen
admin.organizations.providers.clientId,Client-ID
admin.organizations.providers.clientSecret,Client-Secret
admin.organizations.providers.create,Anbieter hinzufügen
admin.organizations.providers.created,Der Anbieter wurde konfiguriert.
admin.organizations.providers.description,"Konfigurierte Google-, GitHub- und Microsoft-Anbieter für diese Organisation."
admin.organizations.providers.disable,Anbieter deaktivieren
admin.organizations.providers.disableConfirm,{displayName} deaktivieren? Personen können sich nicht mehr mit diesem Anbieter anmelden.
admin.organizations.providers.disabled,Der Anbieter wurde deaktiviert.
admin.organizations.providers.displayName,Anzeigename
admin.organizations.providers.empty,Es ist noch kein externer Identitätsanbieter konfiguriert.
admin.organizations.providers.invalid,"Geben Sie einen Anzeigenamen, eine Client-ID, ein Client-Secret und eine absolute Redirect-URI ein."
admin.organizations.providers.redirectUri,Weiterleitungs-URI
admin.organizations.providers.rotateSecret,Client-Secret ersetzen
admin.organizations.providers.secretRotated,Das Client-Secret wurde ersetzt.
admin.organizations.providers.secretWriteOnly,"Das gespeicherte Client-Secret wird nie angezeigt. Geben Sie einen neuen Wert ein, um es zu ersetzen."
admin.organizations.providers.title,Identitätsanbieter
admin.organizations.providers.type,Anbieter
admin.organizations.providers.updated,Der Anbieter wurde aktualisiert.
admin.organizations.renamed,Die Organisation wurde umbenannt.
admin.organizations.status,Status
admin.organizations.statusValue.active,Aktiv
admin.organizations.statusValue.inactive,Inaktiv
admin.organizations.statusValue.removed,Entfernt
admin.overview.description,"Identität, Domains und Lebenszyklus des Bereichs, den Sie verwalten."
admin.overview.sessionTitle,Administratorsitzung
admin.overview.title,Bereichsübersicht
admin.projects.access.description,"Rollen, die dieser Administrator derzeit effektiv im Projekt besitzt."
admin.projects.access.empty,Im aktuellen Organisationskontext sind keine Projektrollen wirksam.
admin.projects.access.grantedOrganization,Gewährt über Organisation
admin.projects.access.permissionDescription,Feste Rollen und ihre Berechtigungen werden von Authworks definiert und können nicht bearbeitet werden.
admin.projects.access.permissionTitle,Feste Rollen und Berechtigungen
admin.projects.access.roleKeys,Effektive Projektrollen
admin.projects.access.title,Effektiver Zugriff
admin.projects.applications.create,Anwendung hinzufügen
admin.projects.applications.description,"Anwendungen, die sich gegenüber diesem Projekt authentifizieren."
admin.projects.applications.empty,Dieses Projekt hat noch keine Anwendungen.
admin.projects.applications.invalid,Geben Sie einen Anwendungsnamen ein und wählen Sie einen Typ.
admin.projects.applications.name,Anwendungsname
admin.projects.applications.removeConfirm,Diese Anwendung entfernen? Dies kann nicht rückgängig gemacht werden.
admin.projects.applications.title,Anwendungen
admin.projects.applications.type,Anwendungstyp
admin.projects.crossTenant,Diese Ressource gehört zu einem anderen Realm und ist hier nicht verfügbar.
admin.projects.deleteConfirm,"Dieses Projekt löschen? Anwendungen, Rollen und Grants werden mitgelöscht."
admin.projects.deleteConfirmAccept,Projekt löschen
admin.projects.deleteConfirmTitle,Dieses Projekt löschen
admin.projects.detail.authorizationRequired,Autorisierung erforderlich
admin.projects.detail.created,Erstellt
admin.projects.detail.identifier,Projektkennung
admin.projects.detail.organization,Organisation
admin.projects.detail.projectAccessRequired,Projektzugriff erforderlich
admin.projects.detail.settingsDescription,Steuern Sie den Projektnamen und wie der Zugriff durchgesetzt wird.
admin.projects.detail.settingsTitle,Projekteinstellungen
admin.projects.detail.updated,Zuletzt aktualisiert
admin.projects.detailTitle,Projektdetails
admin.projects.grants.create,Organisationszugriff gewähren
admin.projects.grants.description,"Gewähren Sie einer anderen Organisation Zugriff auf dieses Projekt und wählen Sie, welche Rollen sie erhält."
admin.projects.grants.empty,Keiner Organisation wurde Zugriff auf dieses Projekt gewährt.
admin.projects.grants.grantedOrganization,Berechtigte Organisation
admin.projects.grants.invalid,Wählen Sie eine Organisation und mindestens eine Rolle.
admin.projects.grants.revokeConfirm,Dieses Organisations-Grant widerrufen? Mitglieder verlieren den Projektzugriff.
admin.projects.grants.roleKeys,Gewährte Rollen
admin.projects.grants.title,Organisationszuweisungen
admin.projects.lifecycle.activate,Aktivieren
admin.projects.lifecycle.deactivate,Deaktivieren
admin.projects.lifecycle.remove,Entfernen
admin.projects.lifecycle.removeConfirm,Dieses Projekt entfernen?
admin.projects.lifecycle.removeConfirmAccept,Projekt entfernen
admin.projects.lifecycle.removeConfirmTitle,Dieses Projekt entfernen
admin.projects.list.create,Projekt erstellen
admin.projects.list.description,"Projekte bündeln die Anwendungen, Rollen und Zuweisungen einer Organisation."
admin.projects.list.empty,In diesem Realm existieren noch keine Projekte.
admin.projects.list.invalid,Geben Sie einen Projektnamen ein und wählen Sie eine Organisation.
admin.projects.list.name,Projektname
admin.projects.list.search,Projekte durchsuchen
admin.projects.list.title,Projekte
admin.projects.missingId,Für dieses Ziel muss ein Projekt ausgewählt sein.
admin.projects.permissionDenied,"Sie haben keine Berechtigung, diese Projektinformationen anzuzeigen oder zu ändern."
admin.projects.roles.create,Rolle erstellen
admin.projects.roles.deleteConfirm,"Diese Projektrolle löschen? Grants, die sie referenzieren, verlieren die Rolle."
admin.projects.roles.description,"Rollen, die dieses Projekt Organisationen und ihren Mitgliedern zuweisen kann."
admin.projects.roles.displayName,Anzeigename
admin.projects.roles.empty,Dieses Projekt definiert noch keine Rollen.
admin.projects.roles.group,Gruppe
admin.projects.roles.invalid,Geben Sie einen Rollenschlüssel und einen Anzeigenamen ein.
admin.projects.roles.key,Rollenschlüssel
admin.projects.roles.title,Projektrollen
admin.projects.saved,{name} wurde gespeichert.
admin.projects.status,Status
admin.projects.statusValue.active,Aktiv
admin.projects.statusValue.inactive,Inaktiv
admin.projects.statusValue.removed,Entfernt
admin.realm.confirmLabel,Geben Sie {name} zur Bestätigung ein
admin.realm.confirmMismatch,Der Bereichsname stimmt nicht überein.
admin.realm.created,Erstellt
admin.realm.dangerZone,Gefahrenbereich
admin.realm.description,"Identitäts- und Anmeldekonfiguration für den Bereich, den Sie verwalten."
admin.realm.disable,Bereich deaktivieren
admin.realm.disableConfirm,Durch das Deaktivieren dieses Bereichs wird die Anmeldung für alle Anwendungen darin gestoppt. Fortfahren?
admin.realm.disableWarning,Durch das Deaktivieren dieses Bereichs werden Anmeldung und Tokenausgabe für alle Anwendungen darin sofort gestoppt.
admin.realm.disabled,Der Bereich wurde deaktiviert.
admin.realm.domainRequired,Geben Sie mindestens eine Bereichsdomain ein.
admin.realm.domains,Domains
admin.realm.domainsHint,Trennen Sie Domains durch Kommas. Die erste Domain ist die primäre Domain.
admin.realm.enable,Bereich aktivieren
admin.realm.enableDescription,"Dieser Bereich ist deaktiviert. Aktivieren Sie ihn, um Anmeldung und Tokenausgabe wiederherzustellen."
admin.realm.enabled,Der Bereich wurde aktiviert.
admin.realm.identifier,Bereichskennung
admin.realm.invalid,Geben Sie einen Bereichsnamen und mindestens eine Domain ein.
admin.realm.lifecycleTitle,Bereichslebenszyklus
admin.realm.name,Bereichsname
admin.realm.nameRequired,Geben Sie einen Bereichsnamen ein.
admin.realm.permissionDenied,"Sie haben keine Berechtigung, diesen Bereich zu ändern."
admin.realm.primaryDomain,Primäre Domain
admin.realm.save,Einstellungen speichern
admin.realm.saved,Die Bereichseinstellungen wurden gespeichert.
admin.realm.settingsDescription,"Ändern Sie den Bereichsnamen und die Domains, die auf diesen Bereich verweisen."
admin.realm.settingsTitle,Allgemeine Einstellungen
admin.realm.status,Status
admin.realm.statusActive,Aktiv
admin.realm.statusDisabled,Deaktiviert
admin.realm.title,Bereichseinstellungen
admin.realm.updated,Zuletzt aktualisiert
admin.session.expired,Ihre Administratorsitzung ist abgelaufen
admin.signIn.activeTitle,Administratorsitzung aktiv
admin.signIn.credential,Bootstrap-Administratoranmeldedaten
admin.signIn.credentialInvalid,Geben Sie die vollständigen Bootstrap-Administratoranmeldedaten ein.
admin.signIn.credentialNotStored,Die Anmeldedaten werden gegen eine kurze Browsersitzung eingetauscht und niemals in diesem Browser gespeichert.
admin.signIn.description,Tauschen Sie die vom Betreiber ausgestellten Bootstrap-Anmeldedaten gegen eine kurze Administrator-Browsersitzung.
admin.signIn.expiresAt,Diese Sitzung läuft am {date} ab.
admin.signIn.signOutConfirm,"Diese Administratorsitzung beenden? Sie müssen sich erneut anmelden, um fortzufahren."
admin.signIn.signedOutDetail,Die Administratorsitzung wurde auf diesem Gerät beendet.
admin.signIn.signedOutTitle,Abgemeldet
admin.signIn.subject,Subjekt
admin.signIn.subjectType,Subjekttyp
admin.signIn.title,Administratoranmeldung
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.backToDirectory,Zurück zu Benutzern
admin.users.count,{count} Benutzer
admin.users.create,Benutzer erstellen
admin.users.createDescription,Fügen Sie dem aktuellen Realm einen menschlichen Benutzer hinzu.
admin.users.createSubmit,Erstellen
admin.users.created,{userName} wurde erstellt.
admin.users.createdAt,Erstellt
admin.users.dangerZone,Gefahrenbereich
admin.users.delete,Benutzer löschen
admin.users.deleteConfirm,{userName} endgültig löschen?
admin.users.deleteWarning,Das Löschen dieses Benutzers widerruft sofort seine Sitzungen und Zugriffe.
admin.users.deleted,{userName} wurde gelöscht.
admin.users.description,Menschliche Identitäten im aktuellen Realm.
admin.users.detailTitle,Benutzerdetails
admin.users.displayName,Anzeigename
admin.users.displayNameRequired,Geben Sie einen Anzeigenamen ein.
admin.users.email,E-Mail-Adresse
admin.users.empty,Keine Benutzer entsprechen dem aktuellen Filter.
admin.users.firstName,Vorname
admin.users.identifier,Benutzerkennung
admin.users.invalid,Geben Sie eine gültige E-Mail-Adresse und einen Benutzernamen ein.
admin.users.lastName,Nachname
admin.users.lifecycle.active,Aktiv
admin.users.lifecycle.deleted,Gelöscht
admin.users.lifecycle.inactive,Inaktiv
admin.users.lifecycle.initial,Initial
admin.users.lifecycle.locked,Gesperrt
admin.users.lifecycle.suspended,Ausgesetzt
admin.users.lifecycleChanged,Der Benutzerstatus ist jetzt {state}.
admin.users.lifecycleConfirm,{userName} auf {state} setzen?
admin.users.lifecycleDescription,"Legen Sie fest, ob sich dieser Benutzer anmelden kann."
admin.users.lifecycleTitle,Lebenszyklus
admin.users.markUnverified,Als nicht verifiziert markieren
admin.users.markVerified,Als verifiziert markieren
admin.users.missingId,Dieser Benutzer konnte aus der Adresse nicht aufgelöst werden.
admin.users.nickName,Spitzname
admin.users.pictureAlt,User profile picture
admin.users.preferredLanguage,Bevorzugte Sprache
admin.users.profileSave,Profil speichern
admin.users.profileSaved,Das Benutzerprofil wurde gespeichert.
admin.users.profileTitle,Profil
admin.users.search,Benutzer durchsuchen
admin.users.searchPlaceholder,"Nach Benutzername, E-Mail oder Kennung filtern"
admin.users.sessions.created,Erstellt
admin.users.sessions.description,Prüfen Sie die aktiven Sitzungen dieses Benutzers und widerrufen Sie den Zugriff von einem Gerät.
admin.users.sessions.empty,Dieser Benutzer hat keine aktiven Sitzungen.
admin.users.sessions.expires,Läuft ab
admin.users.sessions.ipAddress,IP-Adresse
admin.users.sessions.lastUsed,Zuletzt verwendet
admin.users.sessions.method,Anmeldemethode
admin.users.sessions.revokeConfirm,Diese Sitzung sofort widerrufen? Das Gerät wird sofort abgemeldet.
admin.users.sessions.revoked,Die Sitzung wurde widerrufen.
admin.users.sessions.title,Sitzungen und Geräte
admin.users.state,Status
admin.users.title,Benutzer
admin.users.unverified,Nicht verifiziert
admin.users.updated,Zuletzt aktualisiert
admin.users.userName,Benutzername
admin.users.verification,Verifizierung
admin.users.verificationChanged,Der Verifizierungsstatus ist jetzt {state}.
admin.users.verificationDescription,"Legen Sie fest, ob die E-Mail-Adresse dieses Benutzers als verifiziert gilt."
admin.users.verificationTitle,Email verification
admin.users.verified,Verifiziert
app.name,Authworks
app.tagline,Sichere Identitätsdienste
common.back,Zurück
common.cancel,Abbrechen
common.close,Schließen
common.continue,Fortfahren
common.decline,Ablehnen
common.disable,Ausschalten
common.disabled,Deaktiviert
common.enable,Einschalten
common.enabled,Aktiviert
common.error,Etwas ist schiefgelaufen.
common.language,Sprache
common.loading,Wird geladen
common.next,Weiter
common.pagination,Seitennavigation
common.previous,Zurück
common.retry,Erneut versuchen
common.revoke,Widerrufen
common.save,Speichern
common.signIn,Anmelden
common.signInWithProvider,Mit {provider} anmelden
common.signOut,Abmelden
common.theme.dark,Dunkel
common.theme.light,Hell
common.theme.system,System
common.urlPlaceholder,https://
demo.account.description,"Erkunden Sie die von Authworks unterstützten Funktionen für Profil-, Organisations-, Sicherheits- und Anwendungszugriffsverwaltung ohne Netzwerk. Jedes Ziel verfügt über einen expliziten Fixture-Zustandsvertrag."
demo.account.eyebrow,Self-Service-Identität
demo.account.group.access.description,Von diesem Konto erteilte Anwendungen und Berechtigungen.
demo.account.group.access.title,Zugriff
demo.account.group.identity.description,"Die Profil- und Anmeldedaten, die Benutzer für sich selbst verwalten."
demo.account.group.identity.title,Persönliche Angaben
demo.account.group.organizations.description,"Mitgliedschaft, Organisationskontext und Einladungen."
demo.account.group.organizations.title,Organisationen
demo.account.group.security.description,"Sitzungen, Authentifizierungsfaktoren und verknüpfte Identitäten."
demo.account.group.security.title,Sicherheit
demo.account.scenario.consents.description,Zuvor für Anwendungen erteilte Berechtigungen prüfen und widerrufen.
demo.account.scenario.consents.title,Anwendungseinwilligungen
demo.account.scenario.delete.description,Auswirkungen prüfen und dauerhafte Kontolöschung bestätigen.
demo.account.scenario.delete.title,Konto löschen
demo.account.scenario.email.description,Die bestätigte Adresse für Anmeldung und Kontokommunikation prüfen.
demo.account.scenario.email.title,E-Mail-Adresse
demo.account.scenario.factors.description,"Authenticator-, E-Mail- und Passkey-Faktoren verwalten."
demo.account.scenario.factors.title,Multi-Faktor-Authentifizierung
demo.account.scenario.identities.description,"Google-, GitHub- und Microsoft-Konten prüfen und Verknüpfung aufheben."
demo.account.scenario.identities.title,Verknüpfte Identitäten
demo.account.scenario.invitation.description,Einladung vor dem Beitritt zu einer Organisation prüfen.
demo.account.scenario.invitation.title,Einladung annehmen
demo.account.scenario.invitations.description,Einladungen an das angemeldete Konto prüfen.
demo.account.scenario.invitations.title,Meine Einladungen
demo.account.scenario.organizations.description,Mitgliedschaften anzeigen und aktive Organisation wechseln.
demo.account.scenario.organizations.title,Meine Organisationen
demo.account.scenario.passkeys.description,"Passwortlose Anmeldedaten registrieren, benennen und entfernen."
demo.account.scenario.passkeys.title,Passkeys
demo.account.scenario.password.description,Aktuelles Passwort ändern und Sicherheitsstatus prüfen.
demo.account.scenario.password.title,Passwort
