key,it
admin.organizations.branding.warn,Colore di avviso
admin.organizations.branding.watermark,Nascondi la filigrana Authworks
admin.organizations.detail.created,Creato
admin.organizations.detail.realm,Realm
admin.organizations.detail.settingsDescription,Controlla il nome dell'organizzazione e il suo stato del ciclo di vita.
admin.organizations.detail.settingsTitle,Impostazioni dell'organizzazione
admin.organizations.detail.updated,Ultimo aggiornamento
admin.organizations.detailTitle,Dettagli dell'organizzazione
admin.organizations.domains.claim,Rivendica dominio
admin.organizations.domains.claimed,{domain} è stato rivendicato ed è in attesa di verifica.
admin.organizations.domains.description,I domini verificati permettono alle persone di trovare questa organizzazione dal loro indirizzo email.
admin.organizations.domains.discovery,Anteprima di rilevamento
admin.organizations.domains.discoveryDescription,Verifica a quale organizzazione un dominio viene attualmente risolto durante l'accesso.
admin.organizations.domains.discoveryFound,{domain} viene risolto in {organization}.
admin.organizations.domains.discoveryMissing,{domain} non viene risolto in un'organizzazione.
admin.organizations.domains.domain,Dominio
admin.organizations.domains.empty,Questa organizzazione non ha ancora rivendicato un dominio.
admin.organizations.domains.invalid,Inserisci un nome di dominio valido.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,Dominio principale
admin.organizations.domains.remove,Rimuovi dominio
admin.organizations.domains.removeConfirm,Rimuovere il dominio {domain}? Il rilevamento dell'organizzazione per esso si interrompe immediatamente.
admin.organizations.domains.removed,Il dominio è stato rimosso.
admin.organizations.domains.title,Domini e rilevamento
admin.organizations.domains.unverified,In attesa di verifica
admin.organizations.domains.verificationRecord,"Aggiungi questo record DNS TXT, quindi verifica."
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,Verifica dominio
admin.organizations.domains.verifyDone,Il dominio è stato verificato.
admin.organizations.invitations.create,Invita persona
admin.organizations.invitations.description,Invita le persone via email e monitora quali inviti sono ancora in sospeso.
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,Inserisci un indirizzo e-mail valido.
admin.organizations.invitations.empty,Non è stato inviato alcun invito per questa organizzazione.
admin.organizations.invitations.expires,Scade
admin.organizations.invitations.revoke,Revoca invito
admin.organizations.invitations.revokeConfirm,Revocare l'invito per {email}? Il link di invito smette immediatamente di funzionare.
admin.organizations.invitations.revoked,L'invito è stato revocato.
admin.organizations.invitations.rolesInvalid,Scegli da uno a quattro ruoli.
admin.organizations.invitations.sent,L'invito è stato creato.
admin.organizations.invitations.statusValue.accepted,Accettata
admin.organizations.invitations.statusValue.declined,Rifiutata
admin.organizations.invitations.statusValue.expired,Scaduta
admin.organizations.invitations.statusValue.pending,In sospeso
admin.organizations.invitations.statusValue.revoked,Revocata
admin.organizations.invitations.title,Inviti
admin.organizations.invitations.tokenDismiss,Ho salvato questo link
admin.organizations.invitations.tokenOnce,Questo link di invito viene mostrato una sola volta. Condividilo con la persona che hai invitato.
admin.organizations.invitations.tokenTitle,Link di invito
admin.organizations.lifecycle.activate,Riattiva organizzazione
admin.organizations.lifecycle.activateConfirm,Riattivare questa organizzazione? I membri perdono l'accesso finché non è attiva.
admin.organizations.lifecycle.changed,Lo stato del ciclo di vita dell'organizzazione è stato modificato.
admin.organizations.lifecycle.deactivate,Disattiva organizzazione
admin.organizations.lifecycle.deactivateConfirm,Disattivare questa organizzazione? I membri perdono l'accesso finché non è attiva.
admin.organizations.lifecycle.remove,Rimuovi organizzazione
admin.organizations.lifecycle.removeConfirm,Rimuovere questa organizzazione? I membri perdono l'accesso finché non è attiva.
admin.organizations.list.create,Crea organizzazione
admin.organizations.list.description,"Le organizzazioni raggruppano le persone, i domini e la personalizzazione di questo realm."
admin.organizations.list.empty,In questo realm non esiste ancora alcuna organizzazione.
admin.organizations.list.name,Nome dell'organizzazione
admin.organizations.list.nameRequired,Inserisci un nome per l'organizzazione.
admin.organizations.list.search,Cerca organizzazioni
admin.organizations.list.title,Organizzazioni
admin.organizations.memberships.add,Aggiungi membro
admin.organizations.memberships.added,Il membro è stato aggiunto.
admin.organizations.memberships.description,Le persone in questa organizzazione e i ruoli fissi loro assegnati.
admin.organizations.memberships.empty,Questa organizzazione non ha ancora membri.
admin.organizations.memberships.invalid,Inserisci un ID utente e scegli da uno a quattro ruoli.
admin.organizations.memberships.remove,Rimuovi membro
admin.organizations.memberships.removeConfirm,Rimuovere {userId} da questa organizzazione? Il suo accesso all'organizzazione termina immediatamente.
admin.organizations.memberships.removed,Il membro è stato rimosso.
admin.organizations.memberships.roles,Ruoli
admin.organizations.memberships.rolesFixed,I ruoli sono fissati da Authworks e non possono essere rinominati.
admin.organizations.memberships.title,Membri e ruoli
admin.organizations.memberships.updated,I ruoli del membro sono stati aggiornati.
admin.organizations.memberships.user,Utente
admin.organizations.memberships.userId,ID utente
admin.organizations.pageNext,Pagina successiva
admin.organizations.pagePrevious,Pagina precedente
admin.organizations.permissionDenied,Non hai il permesso di visualizzare o modificare questa organizzazione.
admin.organizations.permissionDeniedTitle,Accesso non disponibile
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.description,Scegli quali metodi di accesso le persone possono usare e quali provider configurati appaiono.
admin.organizations.policy.domainDiscovery,Individua l'organizzazione da un dominio email
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.emailOtp,Codice monouso via email
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.externalIdentity,Provider di identità esterni
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.inherited,Ereditato dal realm
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,Password
admin.organizations.policy.passwordRecovery,Recupero della password
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.registration,Registrazione self-service
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.saved,Il criterio di accesso è stato salvato.
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.title,Criterio di accesso
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
admin.organizations.providers.allowAccountCreation,Crea automaticamente account per le nuove persone
admin.organizations.providers.clientId,ID client
admin.organizations.providers.clientSecret,Segreto client
admin.organizations.providers.create,Aggiungi provider
admin.organizations.providers.created,Il provider è stato configurato.
admin.organizations.providers.description,"Provider Google, GitHub e Microsoft configurati per questa organizzazione."
admin.organizations.providers.disable,Disabilita provider
admin.organizations.providers.disableConfirm,Disattivare {displayName}? Le persone non possono più accedere con questo provider.
admin.organizations.providers.disabled,Il provider è stato disabilitato.
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,Nessun provider di identità esterno è ancora configurato.
admin.organizations.providers.invalid,"Inserisci un nome visualizzato, un ID client, un secret client e un URI di reindirizzamento assoluto."
admin.organizations.providers.redirectUri,URI di reindirizzamento
admin.organizations.providers.rotateSecret,Sostituisci segreto client
admin.organizations.providers.secretRotated,Il segreto client è stato sostituito.
admin.organizations.providers.secretWriteOnly,Il segreto client memorizzato non viene mai mostrato. Inserisci un nuovo valore per sostituirlo.
admin.organizations.providers.title,Provider di identità
admin.organizations.providers.type,Provider
admin.organizations.providers.updated,Il provider è stato aggiornato.
admin.organizations.renamed,L'organizzazione è stata rinominata.
admin.organizations.status,Stato
admin.organizations.statusValue.active,Attivo
admin.organizations.statusValue.inactive,Inattivo
admin.organizations.statusValue.removed,Rimossa
admin.overview.description,"Identità, domini e ciclo di vita del reame che stai amministrando."
admin.overview.sessionTitle,Sessione amministratore
admin.overview.title,Panoramica del reame
admin.projects.access.description,I ruoli che questo amministratore detiene effettivamente sul progetto in questo momento.
admin.projects.access.empty,Nessun ruolo di progetto è effettivo nel contesto organizzativo corrente.
admin.projects.access.grantedOrganization,Concesso tramite organizzazione
admin.projects.access.permissionDescription,I ruoli fissi e i loro permessi sono definiti da Authworks e non possono essere modificati.
admin.projects.access.permissionTitle,Ruoli e permessi fissi
admin.projects.access.roleKeys,Ruoli di progetto effettivi
admin.projects.access.title,Accesso effettivo
admin.projects.applications.create,Aggiungi applicazione
admin.projects.applications.description,Applicazioni che si autenticano con questo progetto.
admin.projects.applications.empty,Questo progetto non ha ancora applicazioni.
admin.projects.applications.invalid,Inserisci un nome per l'applicazione e scegli un tipo.
admin.projects.applications.name,Nome dell'applicazione
admin.projects.applications.removeConfirm,Rimuovere questa applicazione? L'operazione non può essere annullata.
admin.projects.applications.title,Applicazioni
admin.projects.applications.type,Tipo di applicazione
admin.projects.crossTenant,Questa risorsa appartiene a un altro realm e non è disponibile qui.
admin.projects.deleteConfirm,"Eliminare questo progetto? Applicazioni, ruoli e concessioni vengono eliminati con esso."
admin.projects.deleteConfirmAccept,Elimina progetto
admin.projects.deleteConfirmTitle,Elimina questo progetto
admin.projects.detail.authorizationRequired,Autorizzazione richiesta
admin.projects.detail.created,Creato
admin.projects.detail.identifier,Identificatore del progetto
admin.projects.detail.organization,Organizzazione
admin.projects.detail.projectAccessRequired,Accesso al progetto richiesto
admin.projects.detail.settingsDescription,Controlla il nome del progetto e come viene applicato l'accesso.
admin.projects.detail.settingsTitle,Impostazioni del progetto
admin.projects.detail.updated,Ultimo aggiornamento
admin.projects.detailTitle,Dettagli del progetto
admin.projects.grants.create,Concedi accesso all'organizzazione
admin.projects.grants.description,Concedi a un'altra organizzazione l'accesso a questo progetto e scegli quali ruoli riceve.
admin.projects.grants.empty,A nessuna organizzazione è stato concesso l'accesso a questo progetto.
admin.projects.grants.grantedOrganization,Organizzazione beneficiaria
admin.projects.grants.invalid,Scegli un'organizzazione e almeno un ruolo.
admin.projects.grants.revokeConfirm,Revocare questa concessione all'organizzazione? I membri perderanno l'accesso al progetto.
admin.projects.grants.roleKeys,Ruoli concessi
admin.projects.grants.title,Concessioni all'organizzazione
admin.projects.lifecycle.activate,Attiva
admin.projects.lifecycle.deactivate,Disattiva
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,Rimuovere questo progetto?
admin.projects.lifecycle.removeConfirmAccept,Rimuovi progetto
admin.projects.lifecycle.removeConfirmTitle,Rimuovi questo progetto
admin.projects.list.create,Crea progetto
admin.projects.list.description,"I progetti raggruppano le applicazioni, i ruoli e le concessioni di un'organizzazione."
admin.projects.list.empty,In questo realm non esiste ancora alcun progetto.
admin.projects.list.invalid,Inserisci un nome per il progetto e scegli un'organizzazione.
admin.projects.list.name,Nome del progetto
admin.projects.list.search,Cerca progetti
admin.projects.list.title,Progetti
admin.projects.missingId,Per questa destinazione deve essere selezionato un progetto.
admin.projects.permissionDenied,Non hai il permesso di visualizzare o modificare queste informazioni del progetto.
admin.projects.roles.create,Crea ruolo
admin.projects.roles.deleteConfirm,Eliminare questo ruolo di progetto? Le concessioni che lo referenziano perdono il ruolo.
admin.projects.roles.description,I ruoli che questo progetto può assegnare alle organizzazioni e ai loro membri.
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,Questo progetto non definisce ancora ruoli.
admin.projects.roles.group,Gruppo
admin.projects.roles.invalid,Inserisci una chiave del ruolo e un nome visualizzato.
admin.projects.roles.key,Chiave del ruolo
admin.projects.roles.title,Ruoli del progetto
admin.projects.saved,{name} è stato salvato.
admin.projects.status,Stato
admin.projects.statusValue.active,Attivo
admin.projects.statusValue.inactive,Inattivo
admin.projects.statusValue.removed,Rimossa
admin.realm.confirmLabel,Digita {name} per confermare
admin.realm.confirmMismatch,Il nome del reame non corrisponde.
admin.realm.created,Creato
admin.realm.dangerZone,Zona a rischio
admin.realm.description,Configurazione di identità e accesso del reame che stai amministrando.
admin.realm.disable,Disattiva reame
admin.realm.disableConfirm,Disattivare questo reame interrompe l'accesso per tutte le sue applicazioni. Continuare?
admin.realm.disableWarning,Disattivare questo reame interrompe subito l'accesso e l'emissione di token per tutte le sue applicazioni.
admin.realm.disabled,Il reame è stato disattivato.
admin.realm.domainRequired,Inserisci almeno un dominio del reame.
admin.realm.domains,Domini
admin.realm.domainsHint,Separa i domini con virgole. Il primo dominio è quello principale.
admin.realm.enable,Attiva reame
admin.realm.enableDescription,Questo reame è disattivato. Attivalo per ripristinare accesso ed emissione di token.
admin.realm.enabled,Il reame è stato attivato.
admin.realm.identifier,Identificatore del reame
admin.realm.invalid,Inserisci un nome per il reame e almeno un dominio.
admin.realm.lifecycleTitle,Ciclo di vita del reame
admin.realm.name,Nome del reame
admin.realm.nameRequired,Inserisci un nome per il reame.
admin.realm.permissionDenied,Non hai il permesso di modificare questo reame.
admin.realm.primaryDomain,Dominio principale
admin.realm.save,Salva impostazioni
admin.realm.saved,Le impostazioni del reame sono state salvate.
admin.realm.settingsDescription,Modifica il nome del reame e i domini che puntano a questo reame.
admin.realm.settingsTitle,Impostazioni generali
admin.realm.status,Stato
admin.realm.statusActive,Attivo
admin.realm.statusDisabled,Disattivato
admin.realm.title,Impostazioni del reame
admin.realm.updated,Ultimo aggiornamento
admin.session.expired,La tua sessione amministratore è scaduta
admin.signIn.activeTitle,Sessione amministratore attiva
admin.signIn.credential,Credenziale amministratore iniziale
admin.signIn.credentialInvalid,Inserisci la credenziale amministratore iniziale completa.
admin.signIn.credentialNotStored,La credenziale viene scambiata con una breve sessione del browser e non viene mai memorizzata in questo browser.
admin.signIn.description,Scambia la credenziale iniziale emessa dall'operatore con una breve sessione amministratore nel browser.
admin.signIn.expiresAt,Questa sessione scade il {date}.
admin.signIn.signOutConfirm,Terminare questa sessione di amministratore? Dovrai accedere di nuovo per continuare.
admin.signIn.signedOutDetail,La sessione amministratore è stata terminata su questo dispositivo.
admin.signIn.signedOutTitle,Disconnesso
admin.signIn.subject,Soggetto
admin.signIn.subjectType,Tipo di soggetto
admin.signIn.title,Accesso amministratore
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.backToDirectory,Torna agli utenti
admin.users.count,{count} utenti
admin.users.create,Crea utente
admin.users.createDescription,Aggiungi un utente umano al realm corrente.
admin.users.createSubmit,Crea
admin.users.created,{userName} è stato creato.
admin.users.createdAt,Creato
admin.users.dangerZone,Zona a rischio
admin.users.delete,Elimina utente
admin.users.deleteConfirm,Eliminare definitivamente {userName}?
admin.users.deleteWarning,L'eliminazione di questo utente revoca immediatamente le sue sessioni e i suoi accessi.
admin.users.deleted,{userName} è stato eliminato.
admin.users.description,Identità umane nel realm corrente.
admin.users.detailTitle,Dettagli utente
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,Nessun utente corrisponde al filtro corrente.
admin.users.firstName,First name
admin.users.identifier,Identificatore utente
admin.users.invalid,Inserisci un indirizzo email e un nome utente validi.
admin.users.lastName,Last name
admin.users.lifecycle.active,Attivo
admin.users.lifecycle.deleted,Eliminato
admin.users.lifecycle.inactive,Inattivo
admin.users.lifecycle.initial,Iniziale
admin.users.lifecycle.locked,Bloccato
admin.users.lifecycle.suspended,Sospeso
admin.users.lifecycleChanged,Lo stato dell'utente è ora {state}.
admin.users.lifecycleConfirm,Impostare {userName} su {state}?
admin.users.lifecycleDescription,Modifica se questo utente può accedere.
admin.users.lifecycleTitle,Ciclo di vita
admin.users.markUnverified,Segna come non verificato
admin.users.markVerified,Segna come verificato
admin.users.missingId,Non è stato possibile risolvere questo utente dall'indirizzo.
admin.users.nickName,Nickname
admin.users.pictureAlt,User profile picture
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,Salva profilo
admin.users.profileSaved,Il profilo utente è stato salvato.
admin.users.profileTitle,Profilo
admin.users.search,Cerca utenti
admin.users.searchPlaceholder,"Filtra per nome utente, email o identificatore"
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,Stato
admin.users.title,Utenti
admin.users.unverified,Non verificato
admin.users.updated,Ultimo aggiornamento
admin.users.userName,Username
admin.users.verification,Verifica
admin.users.verificationChanged,Lo stato di verifica è ora {state}.
admin.users.verificationDescription,Controlla se l'indirizzo email di questo utente è considerato verificato.
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,Servizi di identità sicuri
common.back,Indietro
common.cancel,Annulla
common.close,Chiudi
common.continue,Continua
common.decline,Decline
common.disable,Disattiva
common.disabled,Disattivato
common.enable,Attiva
common.enabled,Attivato
common.error,Qualcosa è andato storto.
common.language,Lingua
common.loading,Caricamento
common.next,Avanti
common.pagination,Paginazione
common.previous,Indietro
common.retry,Riprova
common.revoke,Revoke
common.save,Salva
common.signIn,Accedi
common.signInWithProvider,Accedi con {provider}
common.signOut,Esci
common.theme.dark,Scuro
common.theme.light,Chiaro
common.theme.system,Sistema
common.urlPlaceholder,https://
demo.account.description,"Una mappa senza rete delle esperienze di gestione del profilo, dell'organizzazione, della sicurezza e dell'accesso alle applicazioni supportate da Authworks. Ogni destinazione ha un contratto esplicito di stato fixture."
demo.account.eyebrow,Identità self-service
demo.account.group.access.description,Applicazioni e permessi concessi da questo account.
demo.account.group.access.title,Accesso
demo.account.group.identity.description,I dettagli del profilo e di accesso che gli utenti gestiscono autonomamente.
demo.account.group.identity.title,Informazioni personali
demo.account.group.organizations.description,"Appartenenza, contesto dell'organizzazione e inviti."
demo.account.group.organizations.title,Organizzazioni
demo.account.group.security.description,"Sessioni, fattori di autenticazione e identità collegate."
demo.account.group.security.title,Sicurezza
demo.account.scenario.consents.description,Controlla e revoca i permessi precedentemente concessi alle applicazioni.
demo.account.scenario.consents.title,Consensi applicazione
demo.account.scenario.delete.description,Valuta l'impatto e conferma l'eliminazione permanente dell'account.
demo.account.scenario.delete.title,Elimina account
demo.account.scenario.email.description,Controlla l'indirizzo verificato utilizzato per l'accesso e le comunicazioni dell'account.
demo.account.scenario.email.title,Indirizzo e-mail
demo.account.scenario.factors.description,"Gestisci fattori di autenticazione, e-mail e passkey."
demo.account.scenario.factors.title,Autenticazione a più fattori
demo.account.scenario.identities.description,"Controlla e scollega gli account Google, GitHub e Microsoft."
demo.account.scenario.identities.title,Identità collegate
demo.account.scenario.invitation.description,Esamina un invito prima di unirti a un'organizzazione.
demo.account.scenario.invitation.title,Accetta invito
demo.account.scenario.invitations.description,Controlla gli inviti indirizzati all'account connesso.
demo.account.scenario.invitations.title,I miei inviti
demo.account.scenario.organizations.description,Visualizza le appartenenze e cambia l'organizzazione attiva.
demo.account.scenario.organizations.title,Le mie organizzazioni
demo.account.scenario.passkeys.description,"Registra, rinomina e rimuovi credenziali senza password."
demo.account.scenario.passkeys.title,Passkey
demo.account.scenario.password.description,Modifica la password corrente e controlla il suo stato di sicurezza.
demo.account.scenario.password.title,Password
demo.account.scenario.profile.description,"Controlla e aggiorna nomi, nome utente e lingua preferita."
demo.account.scenario.profile.title,Profilo
demo.account.scenario.recovery_codes.description,Genera codici sostitutivi e visualizzali una sola volta.
demo.account.scenario.recovery_codes.title,Codici di recupero
demo.account.scenario.sessions.description,Controlla le sessioni attive e revoca i dispositivi non più in uso.
demo.account.scenario.sessions.title,Sessioni e dispositivi
demo.account.title,Demo account
demo.admin.description,"Naviga nel realm corrente utilizzando un'architettura delle informazioni basata su persone, organizzazioni, applicazioni, credenziali e attività di audit. Le demo disponibili e le destinazioni senza stato pianificate sono chiaramente separate."
demo.admin.directoryTitle,Directory di amministrazione
demo.admin.eyebrow,Amministrazione del realm
demo.admin.group.authorization.description,"Applicazioni, ruoli di progetto, concessioni e accesso valutato."
demo.admin.group.authorization.title,Progetti e autorizzazione
demo.admin.group.machine_users.description,Identità non umane e le loro credenziali di sola scrittura.
demo.admin.group.machine_users.title,Utenti macchina
demo.admin.group.oidc.description,"Client, impostazioni esatte di reindirizzamento, consenso, ambiti e chiavi di firma."
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,Sessioni del realm e attività di sicurezza immutabile.
demo.admin.group.operations.title,Operazioni
demo.admin.group.organizations.description,"Impostazioni dell'organizzazione, persone, inviti e domini verificati."
demo.admin.group.organizations.title,Organizzazioni
demo.admin.group.realm.description,"Configurazione a livello di realm di identità, ciclo di vita e accesso."
demo.admin.group.realm.title,Realm
demo.admin.group.users.description,"Identità umane, credenziali, sessioni e azioni di supporto protette."
demo.admin.group.users.title,Utenti
demo.admin.realmFixtureName,Identità cliente Northwind
demo.admin.scenario.admin_sign_in.description,Scambia una credenziale di bootstrap con una breve sessione browser amministratore.
demo.admin.scenario.admin_sign_in.title,Accesso amministratore
demo.admin.scenario.applications.description,Gestisci le applicazioni di progetto e il loro ciclo di vita.
demo.admin.scenario.applications.title,Applicazioni
demo.admin.scenario.audit_events.description,Sfoglia l'attuale flusso di eventi di sicurezza basato su fixture.
demo.admin.scenario.audit_events.title,Eventi di audit
demo.admin.scenario.branding.description,"Configura colori, loghi e link legali per l'organizzazione."
demo.admin.scenario.branding.title,Personalizzazione grafica
demo.admin.scenario.domains.description,Verifica i domini e controlla il rilevamento dell'organizzazione.
demo.admin.scenario.domains.title,Domini e rilevamento
demo.admin.scenario.effective_access.description,"Esamina ruoli effettivi, permessi e controlli di accesso in sola lettura."
demo.admin.scenario.effective_access.title,Accesso effettivo
demo.admin.scenario.impersonation.description,Avvia una sessione di supporto motivata e a tempo limitato quando consentito.
demo.admin.scenario.impersonation.title,Impersonificazione
demo.admin.scenario.invitations.description,Invita persone e monitora gli inviti in sospeso o scaduti.
demo.admin.scenario.invitations.title,Inviti
demo.admin.scenario.login_policy.description,"Imposta la criteri di accesso e configura Google, GitHub o Microsoft."
demo.admin.scenario.login_policy.title,Accesso e provider di identità
demo.admin.scenario.machine_credentials.description,"Emetti, ruota e revoca credenziali client, PAT e chiavi API."
demo.admin.scenario.machine_credentials.title,Credenziali e token
demo.admin.scenario.machine_user_detail.description,"Controlla ambiti e ciclo di vita, ruota il segreto client e gestisci le credenziali."
demo.admin.scenario.machine_user_detail.title,Dettagli utente macchina
demo.admin.scenario.machine_users.description,Crea e gestisci le identità di servizio e il loro ciclo de vita.
demo.admin.scenario.machine_users.title,Directory degli utenti macchina
demo.admin.scenario.memberships.description,Assegna ruoli di organizzazione fissi ai membri.
demo.admin.scenario.memberships.title,Appartenenze e ruoli
demo.admin.scenario.oidc_client_detail.description,"Modifica reindirizzamenti esatti e ambiti, e ruota o revoca il segreto client."
demo.admin.scenario.oidc_client_detail.title,Impostazioni client OIDC
demo.admin.scenario.oidc_clients.description,"Gestisci client, reindirizzamenti, ambiti, attendibilità e segreti monouso."
demo.admin.scenario.oidc_clients.title,Client OIDC
demo.admin.scenario.oidc_consents.description,Controlla e revoca le applicazioni approvate da una persona.
demo.admin.scenario.oidc_consents.title,Consensi applicazione
demo.admin.scenario.organization_detail.description,"Controlla le impostazioni dell'organizzazione, il ciclo di vita e le appartenenze correnti."
demo.admin.scenario.organization_detail.title,Dettagli organizzazione
demo.admin.scenario.organizations.description,"Sfoglia, cerca e crea organizzazioni nel realm corrente."
demo.admin.scenario.organizations.title,Directory delle organizzazioni
demo.admin.scenario.project_detail.description,Controlla e modifica le impostazioni e il ciclo di vita di un progetto.
demo.admin.scenario.project_detail.title,Impostazioni progetto
demo.admin.scenario.projects.description,"Sfoglia, cerca e crea progetti nel realm corrente."
demo.admin.scenario.projects.title,Directory dei progetti
demo.admin.scenario.protocol_documents.description,Esamina gli endpoint di individuazione e JWKS in sola lettura.
demo.admin.scenario.protocol_documents.title,Documenti di protocollo
demo.admin.scenario.realm_overview.description,"Controlla l'identità del realm, i domini, lo stato del ciclo di vita e la sessione corrente."
demo.admin.scenario.realm_overview.title,Panoramica del realm
demo.admin.scenario.realm_settings.description,"Gestisci nome del realm corrente, domini, stato e ciclo di vita."
demo.admin.scenario.realm_settings.title,Impostazioni generali
demo.admin.scenario.roles_grants.description,Configura i ruoli di progetto e le concessioni di accesso dell'organizzazione.
demo.admin.scenario.roles_grants.title,Ruoli e concessioni
demo.admin.scenario.sessions.description,Controlla le sessioni del realm con il contesto del soggetto e del dispositivo.
demo.admin.scenario.sessions.title,Sessioni
demo.admin.scenario.signing_keys.description,Controlla i metadati della chiave ed esegui una rotazione protetta.
demo.admin.scenario.signing_keys.title,Chiavi di firma
demo.admin.scenario.user_authentication.description,"Controlla i metadati sicuri di fattori, passkey e recupero nei dettagli utente."
demo.admin.scenario.user_authentication.title,Metodi di autenticazione
demo.admin.scenario.user_detail.description,"Controlla profilo, ciclo di vita, sessioni e metadati di autenticazione sicuri."
demo.admin.scenario.user_detail.title,Dettagli utente
demo.admin.scenario.user_sessions.description,Ispeziona e revoca le sessioni browser attive di un utente.
demo.admin.scenario.user_sessions.title,Sessioni utente
demo.admin.scenario.users.description,Sfoglia e cerca utenti umani nel realm corrente.
demo.admin.scenario.users.title,Directory degli utenti
demo.directory.available,Disponibile
demo.directory.availableDemos,demo disponibili
demo.directory.back,Torna alla directory
demo.directory.fixtureStates,Stati fixture
demo.directory.openDemo,Apri demo
demo.directory.planned,Pianificato
demo.directory.plannedDestinations,destinazioni pianificate
demo.directory.previewFoundation,Anteprima base
demo.fixture.accepted,accettato
demo.fixture.accountError,Non è stato possibile caricare i dati di prova deterministici dell'account.
demo.fixture.active,attivo
demo.fixture.assuranceRequired,garanzia richiesta
demo.fixture.continuing,continuazione
demo.fixture.crossTenant,cross-tenant
demo.fixture.declined,rifiutato
demo.fixture.empty,vuoto
demo.fixture.ended,terminato
