key,nl
admin.organizations.policy.domainDiscovery,De organisatie herkennen aan een e-maildomein
admin.organizations.policy.emailOtp,Eenmalige code per e-mail
admin.organizations.policy.externalIdentity,Externe identiteitsproviders
admin.organizations.policy.inherited,Overgenomen van het realm
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,Wachtwoord
admin.organizations.policy.passwordRecovery,Wachtwoordherstel
admin.organizations.policy.registration,Zelfregistratie
admin.organizations.policy.saved,Het inlogbeleid is opgeslagen.
admin.organizations.policy.title,Inlogbeleid
admin.organizations.providers.allowAccountCreation,Automatisch accounts aanmaken voor nieuwe personen
admin.organizations.providers.clientId,Client-ID
admin.organizations.providers.clientSecret,Clientgeheim
admin.organizations.providers.create,Provider toevoegen
admin.organizations.providers.created,De provider is geconfigureerd.
admin.organizations.providers.description,"Geconfigureerde Google-, GitHub- en Microsoft-providers voor deze organisatie."
admin.organizations.providers.disable,Provider uitschakelen
admin.organizations.providers.disableConfirm,{displayName} uitschakelen? Mensen kunnen zich niet langer met deze provider aanmelden.
admin.organizations.providers.disabled,De provider is uitgeschakeld.
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,Er is nog geen externe identiteitsprovider geconfigureerd.
admin.organizations.providers.invalid,"Voer een weergavenaam, client-ID, clientgeheim en een absolute redirect-URI in."
admin.organizations.providers.redirectUri,Redirect-URI
admin.organizations.providers.rotateSecret,Clientgeheim vervangen
admin.organizations.providers.secretRotated,Het clientgeheim is vervangen.
admin.organizations.providers.secretWriteOnly,Het opgeslagen clientgeheim wordt nooit getoond. Voer een nieuwe waarde in om het te vervangen.
admin.organizations.providers.title,Identiteitsproviders
admin.organizations.providers.type,Provider
admin.organizations.providers.updated,De provider is bijgewerkt.
admin.organizations.renamed,De organisatie is hernoemd.
admin.organizations.status,Status
admin.organizations.statusValue.active,Actief
admin.organizations.statusValue.inactive,Inactief
admin.organizations.statusValue.removed,Verwijderd
admin.overview.description,"Identiteit, domeinen en levenscyclus van het realm dat u beheert."
admin.overview.sessionTitle,Beheerderssessie
admin.overview.title,Realm-overzicht
admin.projects.access.description,De rollen die deze beheerder op dit moment effectief in het project heeft.
admin.projects.access.empty,Er zijn geen projectrollen effectief in de huidige organisatiecontext.
admin.projects.access.grantedOrganization,Toegekend via organisatie
admin.projects.access.permissionDescription,Vaste rollen en hun rechten worden door Authworks bepaald en kunnen niet worden bewerkt.
admin.projects.access.permissionTitle,Vaste rollen en rechten
admin.projects.access.roleKeys,Effectieve projectrollen
admin.projects.access.title,Effectieve toegang
admin.projects.applications.create,Applicatie toevoegen
admin.projects.applications.description,Applicaties die zich authenticeren bij dit project.
admin.projects.applications.empty,Dit project heeft nog geen applicaties.
admin.projects.applications.invalid,Voer een toepassingsnaam in en kies een type.
admin.projects.applications.name,Applicatienaam
admin.projects.applications.removeConfirm,Deze toepassing verwijderen? Dit kan niet ongedaan worden gemaakt.
admin.projects.applications.title,Applicaties
admin.projects.applications.type,Applicatietype
admin.projects.crossTenant,Deze resource hoort bij een ander realm en is hier niet beschikbaar.
admin.projects.deleteConfirm,"Dit project verwijderen? Toepassingen, rollen en grants worden ermee verwijderd."
admin.projects.detail.authorizationRequired,Autorisatie vereist
admin.projects.detail.created,Aangemaakt
admin.projects.detail.organization,Organisatie
admin.projects.detail.projectAccessRequired,Projecttoegang vereist
admin.projects.detail.settingsDescription,Beheer de projectnaam en hoe toegang wordt afgedwongen.
admin.projects.detail.settingsTitle,Projectinstellingen
admin.projects.detail.updated,Laatst bijgewerkt
admin.projects.detailTitle,Projectdetails
admin.projects.grants.create,Organisatietoegang verlenen
admin.projects.grants.description,Geef een andere organisatie toegang tot dit project en kies welke rollen zij krijgt.
admin.projects.grants.empty,Geen enkele organisatie heeft toegang gekregen tot dit project.
admin.projects.grants.grantedOrganization,Begunstigde organisatie
admin.projects.grants.revokeConfirm,Deze organisatiegrant intrekken? Leden verlieren de projecttoegang.
admin.projects.grants.roleKeys,Toegekende rollen
admin.projects.grants.title,Organisatietoekenningen
admin.projects.lifecycle.activate,Activeren
admin.projects.lifecycle.deactivate,Deactiveren
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,Dit project verwijderen?
admin.projects.list.create,Project aanmaken
admin.projects.list.description,"Projecten groeperen de applicaties, rollen en toekenningen van een organisatie."
admin.projects.list.empty,Er bestaan nog geen projecten in dit realm.
admin.projects.list.invalid,Voer een projectnaam in en kies een organisatie.
admin.projects.list.name,Projectnaam
admin.projects.list.search,Projecten zoeken
admin.projects.list.title,Projecten
admin.projects.missingId,Er moet een project zijn geselecteerd voor deze bestemming.
admin.projects.pageNext,Volgende pagina
admin.projects.pagePrevious,Vorige pagina
admin.projects.permissionDenied,U hebt geen toestemming om deze projectinformatie te bekijken of te wijzigen.
admin.projects.roles.create,Rol aanmaken
admin.projects.roles.deleteConfirm,Deze projectrol verwijderen? Grants die ernaar verwijzen verliezen de rol.
admin.projects.roles.description,De rollen die dit project aan organisaties en hun leden kan toewijzen.
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,Dit project definieert nog geen rollen.
admin.projects.roles.group,Groep
admin.projects.roles.key,Rolsleutel
admin.projects.roles.title,Projectrollen
admin.projects.saved,{name} is opgeslagen.
admin.projects.status,Status
admin.realm.confirmLabel,Voer {name} in ter bevestiging
admin.realm.confirmMismatch,De realm-naam komt niet overeen.
admin.realm.created,Aangemaakt
admin.realm.dangerZone,Gevarenzone
admin.realm.description,Identiteits- en aanmeldconfiguratie van het realm dat u beheert.
admin.realm.disable,Realm uitschakelen
admin.realm.disableConfirm,Het uitschakelen van dit realm stopt aanmelden voor al zijn toepassingen. Doorgaan?
admin.realm.disableWarning,Het uitschakelen van dit realm stopt direct het aanmelden en het uitgeven van tokens voor alle toepassingen erin.
admin.realm.disabled,Het realm is uitgeschakeld.
admin.realm.domainRequired,Voer ten minste één realm-domein in.
admin.realm.domains,Domeinen
admin.realm.domainsHint,Scheid domeinen met komma's. Het eerste domein is het primaire domein.
admin.realm.enable,Realm inschakelen
admin.realm.enableDescription,Dit realm is uitgeschakeld. Schakel het in om aanmelden en tokenuitgifte te herstellen.
admin.realm.enabled,Het realm is ingeschakeld.
admin.realm.identifier,Realm-identificatie
admin.realm.invalid,Voer een realm-naam en ten minste één domein in.
admin.realm.lifecycleTitle,Realm-levenscyclus
admin.realm.name,Realm-naam
admin.realm.nameRequired,Voer een realm-naam in.
admin.realm.permissionDenied,U hebt geen toestemming om dit realm te wijzigen.
admin.realm.primaryDomain,Primair domein
admin.realm.save,Instellingen opslaan
admin.realm.saved,De realm-instellingen zijn opgeslagen.
admin.realm.settingsDescription,Wijzig de realm-naam en de domeinen die naar dit realm verwijzen.
admin.realm.settingsTitle,Algemene instellingen
admin.realm.status,Status
admin.realm.statusActive,Actief
admin.realm.statusDisabled,Uitgeschakeld
admin.realm.title,Realm-instellingen
admin.realm.updated,Laatst bijgewerkt
admin.session.expired,Uw beheerderssessie is verlopen
admin.signIn.activeTitle,Beheerderssessie actief
admin.signIn.credential,Bootstrap-beheerdersreferentie
admin.signIn.credentialInvalid,Voer de volledige bootstrap-beheerdersreferentie in.
admin.signIn.credentialNotStored,De referentie wordt ingewisseld voor een korte browsersessie en wordt nooit in deze browser opgeslagen.
admin.signIn.description,Wissel de door de operator uitgegeven bootstrap-referentie in voor een korte beheerderssessie in de browser.
admin.signIn.expiresAt,Deze sessie verloopt op {date}.
admin.signIn.signOutConfirm,Deze beheerderssessie beëindigen? U moet opnieuw inloggen om verder te gaan.
admin.signIn.signedOutDetail,De beheerderssessie is op dit apparaat beëindigd.
admin.signIn.signedOutTitle,Afgemeld
admin.signIn.subject,Onderwerp
admin.signIn.subjectType,Onderwerptype
admin.signIn.title,Beheerdersaanmelding
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.count,{count} gebruikers
admin.users.create,Gebruiker aanmaken
admin.users.createDescription,Voeg een menselijke gebruiker toe aan het huidige realm.
admin.users.createSubmit,Aanmaken
admin.users.created,{userName} is aangemaakt.
admin.users.createdAt,Aangemaakt
admin.users.dangerZone,Gevarenzone
admin.users.delete,Gebruiker verwijderen
admin.users.deleteConfirm,{userName} definitief verwijderen?
admin.users.deleteWarning,Het verwijderen van deze gebruiker trekt onmiddellijk hun sessies en toegang in.
admin.users.deleted,{userName} is verwijderd.
admin.users.description,Menselijke identiteiten in het huidige realm.
admin.users.detailTitle,Gebruikersdetail
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,Geen gebruikers komen overeen met het huidige filter.
admin.users.firstName,First name
admin.users.invalid,Voer een geldig e-mailadres en gebruikersnaam in.
admin.users.lastName,Last name
admin.users.lifecycle.active,Actief
admin.users.lifecycle.deleted,Verwijderd
admin.users.lifecycle.inactive,Inactief
admin.users.lifecycle.initial,Initieel
admin.users.lifecycle.locked,Vergrendeld
admin.users.lifecycle.suspended,Opgeschort
admin.users.lifecycleChanged,De gebruikersstatus is nu {state}.
admin.users.lifecycleConfirm,{userName} op {state} zetten?
admin.users.lifecycleDescription,Bepaal of deze gebruiker kan inloggen.
admin.users.lifecycleTitle,Levenscyclus
admin.users.markUnverified,Markeren als niet geverifieerd
admin.users.markVerified,Markeren als geverifieerd
admin.users.missingId,Deze gebruiker kon niet uit het adres worden herleid.
admin.users.nickName,Nickname
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,Profiel opslaan
admin.users.profileSaved,Het gebruikersprofiel is opgeslagen.
admin.users.profileTitle,Profiel
admin.users.search,Gebruikers zoeken
admin.users.searchPlaceholder,"Filter op gebruikersnaam, e-mail of identificatie"
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,Status
admin.users.title,Gebruikers
admin.users.unverified,Niet geverifieerd
admin.users.updated,Laatst bijgewerkt
admin.users.userName,Username
admin.users.verification,Verificatie
admin.users.verificationChanged,De verificatiestatus is nu {state}.
admin.users.verificationDescription,Bepaal of het e-mailadres van deze gebruiker als geverifieerd geldt.
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,Veilige identiteitsdiensten
common.back,Terug
common.cancel,Annuleren
common.close,Sluiten
common.continue,Doorgaan
common.decline,Decline
common.disable,Uitschakelen
common.disabled,Uitgeschakeld
common.enable,Inschakelen
common.enabled,Ingeschakeld
common.error,Er is iets misgegaan.
common.language,Taal
common.loading,Laden
common.retry,Opnieuw proberen
common.revoke,Revoke
common.save,Opslaan
common.signIn,Inloggen
common.signInWithProvider,Inloggen met {provider}
common.signOut,Uitloggen
common.theme.dark,Donker
common.theme.light,Licht
common.theme.system,Systeem
common.urlPlaceholder,https://
demo.account.description,"Een netwerkvrije kaart van de ervaringen met profiel-, organisatie-, beveiligings- en applicatietoegangsbeheer die Authworks ondersteunt. Elke bestemming heeft een expliciet fixture-statuscontract."
demo.account.eyebrow,Selfservice-identiteit
demo.account.group.access.description,Applicaties en machtigingen verleend door dit account.
demo.account.group.access.title,Toegang
demo.account.group.identity.description,De profiel- en inloggegevens die gebruikers voor zichzelf beheren.
demo.account.group.identity.title,Persoonlijke gegevens
demo.account.group.organizations.description,"Lidmaatschap, organisatiecontext en uitnodigingen."
demo.account.group.organizations.title,Organisaties
demo.account.group.security.description,"Sessies, authenticatiefactoren en gekoppelde identiteiten."
demo.account.group.security.title,Beveiliging
demo.account.scenario.consents.description,Controleer en trek eerder verleende machtigingen aan applicaties in.
demo.account.scenario.consents.title,Applicatietoestemmingen
demo.account.scenario.delete.description,Controleer de gevolgen en bevestig permanente verwijdering van het account.
demo.account.scenario.delete.title,Account verwijderen
demo.account.scenario.email.description,Controleer het geverifieerde adres dat wordt gebruikt voor inloggen en accountcommunicatie.
demo.account.scenario.email.title,E-mailadres
demo.account.scenario.factors.description,"Beheer authenticator-, e-mail- en passkey-factoren."
demo.account.scenario.factors.title,Meervoudige authenticatie
demo.account.scenario.identities.description,"Controleer en ontkoppel Google-, GitHub- en Microsoft-accounts."
demo.account.scenario.identities.title,Gekoppelde identiteiten
demo.account.scenario.invitation.description,Inspecteer een uitnodiging voordat u lid wordt van een organisatie.
demo.account.scenario.invitation.title,Uitnodiging accepteren
demo.account.scenario.invitations.description,Controleer uitnodigingen die zijn gericht aan het ingelogde account.
demo.account.scenario.invitations.title,Mijn uitnodigingen
demo.account.scenario.organizations.description,Bekijk lidmaatschappen en wissel van actieve organisatie.
demo.account.scenario.organizations.title,Mijn organisaties
demo.account.scenario.passkeys.description,"Registreer, benoem en verwijder wachtwoordloze inloggegevens."
demo.account.scenario.passkeys.title,Passkeys
demo.account.scenario.password.description,Wijzig het huidige wachtwoord en controleer de beveiligingsstatus.
demo.account.scenario.password.title,Wachtwoord
demo.account.scenario.profile.description,"Controleer en update namen, gebruikersnaam en voorkeurstaal."
demo.account.scenario.profile.title,Profiel
demo.account.scenario.recovery_codes.description,Genereer vervangende codes en toon ze eenmalig.
demo.account.scenario.recovery_codes.title,Herstelcodes
demo.account.scenario.sessions.description,Controleer actieve sessies en trek niet meer gebruikte apparaten in.
demo.account.scenario.sessions.title,Sessies en apparaten
demo.account.title,Accountdemo
demo.admin.description,"Navigeer door de huidige realm met behulp van een informatiearchitectuur rond mensen, organisaties, applicaties, inloggegevens en auditactiviteiten. Beschikbare demo's en geplande statusloze bestemmingen zijn duidelijk gescheiden."
demo.admin.directoryTitle,Beheerdersoverzicht
demo.admin.eyebrow,Realm-beheer
demo.admin.group.authorization.description,"Applicaties, projectrollen, toekenningen en geëvalueerde toegang."
demo.admin.group.authorization.title,Projecten en autorisatie
demo.admin.group.machine_users.description,Niet-menselijke identiteiten en hun alleen-schrijven inloggegevens.
demo.admin.group.machine_users.title,Machinegebruikers
demo.admin.group.oidc.description,"Clients, exacte omleidingsinstellingen, toestemming, scopes en ondertekeningssleutels."
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,Realm-sessies en onveranderlijke beveiligingsactiviteit.
demo.admin.group.operations.title,Bewerkingen
demo.admin.group.organizations.description,"Organisatie-instellingen, personen, uitnodigingen en geverifieerde domeinen."
demo.admin.group.organizations.title,Organisaties
demo.admin.group.realm.description,"Realm-brede configuratie van identiteit, levenscyclus en inloggen."
demo.admin.group.realm.title,Realm
demo.admin.group.users.description,"Menselijke identiteiten, inloggegevens, sessies en beveiligde ondersteuningsacties."
demo.admin.group.users.title,Gebruikers
demo.admin.realmFixtureName,Northwind-klantidentiteit
demo.admin.scenario.admin_sign_in.description,Wissel een bootstrap-inloggegeven in voor een korte beheerdersbrowsersessie.
demo.admin.scenario.admin_sign_in.title,Beheerdersaanmelding
demo.admin.scenario.applications.description,Beheer projectapplicaties en hun levenscyclus.
demo.admin.scenario.applications.title,Applicaties
demo.admin.scenario.audit_events.description,"Blader door de huidige, door fixtures ondersteunde beveiligingsgebeurtenissenstroom."
demo.admin.scenario.audit_events.title,Auditgebeurtenissen
demo.admin.scenario.branding.description,"Configureer organisatiebewuste kleuren, logo's en juridische links."
demo.admin.scenario.branding.title,Huisstijl
demo.admin.scenario.domains.description,Verifieer domeinen en beheer organisatiedetectie.
demo.admin.scenario.domains.title,Domeinen en detectie
demo.admin.scenario.effective_access.description,"Inspecteer alleen-lezen effectieve rollen, machtigingen en toegangscontroles."
demo.admin.scenario.effective_access.title,Effectieve toegang
demo.admin.scenario.impersonation.description,"Start een gemotiveerde, tijdsgebonden ondersteuningssessie indien toegestaan."
demo.admin.scenario.impersonation.title,Identiteitsaanname
demo.admin.scenario.invitations.description,Nodig mensen uit en volg openstaande of verlopen uitnodigingen.
demo.admin.scenario.invitations.title,Uitnodigingen
demo.admin.scenario.login_policy.description,"Stel het inlogbeleid in en configureer Google, GitHub of Microsoft."
demo.admin.scenario.login_policy.title,Inloggen en identiteitsproviders
demo.admin.scenario.machine_credentials.description,"Verstrek, roteer en trek client-inloggegevens, PAT's en API-sleutels in."
demo.admin.scenario.machine_credentials.title,Inloggegevens en tokens
demo.admin.scenario.machine_user_detail.description,"Controleer scopes en levenscyclus, roteer het clientgeheim en beheer inloggegevens."
demo.admin.scenario.machine_user_detail.title,Machinegebruikersdetails
demo.admin.scenario.machine_users.description,Maak en beheer service-identiteiten en hun levenscyclus.
demo.admin.scenario.machine_users.title,Machinegebruikersoverzicht
demo.admin.scenario.memberships.description,Wijs vaste organisatierollen toe aan leden.
demo.admin.scenario.memberships.title,Lidmaatschappen en rollen
demo.admin.scenario.oidc_client_detail.description,"Bewerk exacte omleidingen en scopes, en roteer of trek het clientgeheim in."
demo.admin.scenario.oidc_client_detail.title,OIDC-clientinstellingen
demo.admin.scenario.oidc_clients.description,"Beheer clients, omleidingen, scopes, vertrouwen en eenmalige geheimen."
demo.admin.scenario.oidc_clients.title,OIDC-clients
demo.admin.scenario.oidc_consents.description,Controleer en trek de applicaties in die een persoon heeft goedgekeurd.
demo.admin.scenario.oidc_consents.title,Applicatietoestemmingen
demo.admin.scenario.organization_detail.description,"Controleer organisatie-instellingen, levenscyclus en huidige lidmaatschappen."
demo.admin.scenario.organization_detail.title,Organisatiedetails
demo.admin.scenario.organizations.description,"Blader, zoek en maak organisaties in de huidige realm."
demo.admin.scenario.organizations.title,Organisatieoverzicht
demo.admin.scenario.project_detail.description,Controleer en bewerk de instellingen en levenscyclus van een project.
demo.admin.scenario.project_detail.title,Projectinstellingen
demo.admin.scenario.projects.description,"Blader, zoek en maak projecten in de huidige realm."
demo.admin.scenario.projects.title,Projectoverzicht
demo.admin.scenario.protocol_documents.description,Inspecteer alleen-lezen detectie- en JWKS-eindpunten.
demo.admin.scenario.protocol_documents.title,Protocoldocumenten
demo.admin.scenario.realm_overview.description,"Controleer realm-identiteit, domeinen, levenscyclusstatus en de huidige sessie."
demo.admin.scenario.realm_overview.title,Realm-overzicht
demo.admin.scenario.realm_settings.description,"Beheer de huidige realmnaam, domeinen, status en levenscyclus."
demo.admin.scenario.realm_settings.title,Algemene instellingen
demo.admin.scenario.roles_grants.description,Configureer projectrollen en organisatietoegangstoekenningen.
demo.admin.scenario.roles_grants.title,Rollen en toekenningen
demo.admin.scenario.sessions.description,Controleer realm-sessies met subject- en apparaatcontext.
demo.admin.scenario.sessions.title,Sessies
demo.admin.scenario.signing_keys.description,Controleer sleutelmetadata en voer beveiligde rotatie uit.
demo.admin.scenario.signing_keys.title,Ondertekeningssleutels
demo.admin.scenario.user_authentication.description,"Controleer veilige factor-, passkey- en herstelmetadata in gebruikersdetails."
demo.admin.scenario.user_authentication.title,Authenticatiemethoden
demo.admin.scenario.user_detail.description,"Controleer profiel, levenscyclus, sessies en veilige authenticatiemetadata."
demo.admin.scenario.user_detail.title,Gebruikersdetails
demo.admin.scenario.user_sessions.description,Inspecteer en trek actieve browsersessies van een gebruiker in.
demo.admin.scenario.user_sessions.title,Gebruikerssessies
demo.admin.scenario.users.description,Blader en zoek menselijke gebruikers in de huidige realm.
demo.admin.scenario.users.title,Gebruikersoverzicht
demo.directory.available,Beschikbaar
demo.directory.availableDemos,beschikbare demo's
demo.directory.back,Terug naar overzicht
demo.directory.fixtureStates,Fixture-statussen
demo.directory.openDemo,Demo openen
demo.directory.planned,Gepland
demo.directory.plannedDestinations,geplande bestemmingen
demo.directory.previewFoundation,Basisvoorbeeld
demo.fixture.accepted,geaccepteerd
demo.fixture.accountError,De deterministische testgegevens van het account konden niet worden geladen.
demo.fixture.active,actief
demo.fixture.assuranceRequired,zekerheid vereist
demo.fixture.crossTenant,cross-tenant
demo.fixture.declined,afgewezen
demo.fixture.empty,leeg
demo.fixture.ended,beëindigd
demo.fixture.error,fout
demo.fixture.expired,verlopen
demo.fixture.expiring,verloopt binnenkort
demo.fixture.loading,laden
demo.fixture.nestedRejected,genest afgewezen
demo.fixture.oneTime,eenmalig
demo.fixture.permissionDenied,toegang geweigerd
demo.fixture.preview,Statusloos fixture-voorbeeld
demo.fixture.redacted,bewerkt
demo.fixture.replayed,opnieuw afgespeeld
demo.fixture.state,Fixture-status
demo.fixture.success,geslaagd
demo.hub.accountDescription,"Verken selfservice profiel-, organisatie- en beveiligingsbestemmingen."
demo.hub.accountOpen,Account openen
demo.hub.adminDescription,Beheer identiteitsbronnen en organisatie-instellingen.
demo.hub.adminOpen,Beheer openen
demo.hub.description,"Verken de demo's voor inloggen, account, beheer en transactionele e-mails."
demo.hub.loginDescription,Ervaar de authenticatie-ervaring voor uw gebruikers.
demo.hub.loginOpen,Inloggen openen
demo.login.description,"Verken deterministische inlog-, herstel- en interactiefixtures. Bestaande stromen blijven interactief terwijl geplande bestemmingen hun statusloze scenariocontracten tonen."
demo.login.eyebrow,Gehoste authenticatie
demo.login.group.chooser.description,Toegangspunten afgeleid van het ontdekte inlogbeleid en lokaal onthouden accounts.
demo.login.group.chooser.title,Inloggen starten
demo.login.group.chrome.description,Stroomoverschrijdende terugvalopties voor elk gehost interactiescherm.
demo.login.group.chrome.title,Gedeelde statussen
demo.login.group.interaction.description,Interactieresultaten en afmelden voor gehoste OIDC-verzoeken.
demo.login.group.interaction.title,Interactie en uitloggen
demo.login.group.mfa.description,"Tweede-factoruitdagingen, authenticatorregistratie en herstelcodes."
demo.login.group.mfa.title,Meervoudige authenticatie
demo.login.group.password_email.description,Wachtwoord- en e-mailcode-authenticatie met deterministische lokale fixtures.
demo.login.group.password_email.title,Wachtwoord en e-mailcode
demo.login.group.passwordless.description,"Passkeys en geconfigureerde externe identiteitsproviders."
demo.login.group.passwordless.title,Wachtwoordloos en extern
demo.login.group.recovery.description,Vraag wachtwoordherstel aan en voltooi dit zonder openbaarmaking van het account.
demo.login.group.recovery.title,Herstel
demo.login.group.registration.description,Registratie en door de server uitgegeven e-mailbevestiging.
demo.login.group.registration.title,Registratie en verificatie
demo.login.scenario.chooser.description,Kies een toegestane primaire authenticatiemethode.
demo.login.scenario.chooser.title,Methodekiezer
demo.login.scenario.chooser_recent_accounts.description,Ga verder met een account dat op dit apparaat is onthouden.
demo.login.scenario.chooser_recent_accounts.title,Recente accounts
demo.login.scenario.email_otp.description,Vraag een eenmalige code aan die per e-mail wordt verzonden.
demo.login.scenario.email_otp.title,E-mailcode aanvragen
demo.login.scenario.email_otp_code.description,Voer de zescijferige e-mailverificatiecode in.
demo.login.scenario.email_otp_code.title,E-mailcode verifiëren
demo.login.scenario.idp.description,Ga verder via een geconfigureerde externe identiteitsprovider.
demo.login.scenario.idp.title,Externe identiteit
demo.login.scenario.idp_failure.description,Herstel van een startfout van de externe provider.
demo.login.scenario.idp_failure.title,Providerfout
demo.login.scenario.loading.description,Toon voortgang terwijl realm-detectie wordt opgelost.
demo.login.scenario.loading.title,Laden
demo.login.scenario.logout.description,Bevestig uitloggen voor de huidige browsersessie.
demo.login.scenario.logout.title,Uitloggen
demo.login.scenario.logout_done.description,Bevestig een voltooide afmelding en gevalideerd terugkeerpad.
demo.login.scenario.logout_done.title,Uitgelogd
demo.login.scenario.mfa.description,Kies een beschikbare tweede factor.
demo.login.scenario.mfa.title,Kies een factor
demo.login.scenario.mfa_email_otp.description,Verifieer een e-mail als tweede factor.
demo.login.scenario.mfa_email_otp.title,E-mailcode
demo.login.scenario.mfa_passkey.description,Verifieer een passkey als tweede factor.
demo.login.scenario.mfa_passkey.title,Passkey-factor
demo.login.scenario.mfa_recovery_code.description,Gebruik een enkele herstelcode wanneer andere factoren niet beschikbaar zijn.
demo.login.scenario.mfa_recovery_code.title,Herstelcode
demo.login.scenario.mfa_totp.description,Verifieer een op tijd gebaseerde authenticatorcode.
demo.login.scenario.mfa_totp.title,Authenticatorcode
demo.login.scenario.mfa_totp_enroll.description,Koppel en bevestig een nieuwe authenticator.
demo.login.scenario.mfa_totp_enroll.title,Authenticator registreren
demo.login.scenario.passkey.description,Authenticeer met een apparaatgehechte passkey.
demo.login.scenario.passkey.title,Passkey
demo.login.scenario.passkey_unsupported.description,Leg incompatibiliteit van browser of apparaat uit.
demo.login.scenario.passkey_unsupported.title,Passkey niet beschikbaar
demo.login.scenario.password.description,Log in met een e-mailadres of gebruikersnaam en wachtwoord.
demo.login.scenario.password.title,Wachtwoord
demo.login.scenario.password_change_required.description,Stel een nieuw wachtwoord in voordat u verdergaat.
demo.login.scenario.password_change_required.title,Wachtwoordwijziging vereist
demo.login.scenario.password_error.description,Toon een veilige reactie voor ongeldige inloggegevens.
demo.login.scenario.password_error.title,Ongeldige inloggegevens
demo.login.scenario.password_forgot.description,Vraag instructies voor wachtwoordherstel aan.
demo.login.scenario.password_forgot.title,Herstel aanvragen
demo.login.scenario.password_forgot_sent.description,Toon de niet-openbaarmakende e-mailbevestiging.
demo.login.scenario.password_forgot_sent.title,Herstel aangevraagd
demo.login.scenario.password_reset.description,Kies een nieuw wachtwoord via een herstellink.
demo.login.scenario.password_reset.title,Wachtwoord opnieuw instellen
demo.login.scenario.password_reset_complete.description,Keer terug naar inloggen na een geslaagde reset.
demo.login.scenario.password_reset_complete.title,Opnieuw instellen voltooid
demo.login.scenario.register.description,Maak een menselijk account aan onder het actieve inlogbeleid.
demo.login.scenario.register.title,Registratie
demo.login.scenario.register_done.description,Toon de niet-openbaarmakende verificatiemelding.
demo.login.scenario.register_done.title,Bevestiging verzonden
demo.login.scenario.signed_in.description,Toon de bevestiging van de hervatte interactie.
demo.login.scenario.signed_in.title,Interactie voltooid
demo.login.scenario.unsupported.description,Leg een niet-ondersteunde of verlopen interactie uit.
demo.login.scenario.unsupported.title,Niet-beschikbaar verzoek
demo.login.scenario.verify_email.description,Bevestig een adres via een door de server uitgegeven link.
demo.login.scenario.verify_email.title,E-mailverificatie
demo.login.title,Inlogdemo
demo.nav.account,Account
demo.nav.admin,Beheer
demo.nav.compact,Compact
demo.nav.emails,E-mails
demo.nav.hub,Home
demo.nav.label,Demo
demo.nav.login,Inloggen
demo.placeholder.emptyDescription,Deze bestemming is klaar voor een opzettelijke lege status.
demo.placeholder.emptyTitle,Geen fixture-records
demo.placeholder.errorDescription,Een deterministische fout kan hier worden weergegeven zonder netwerkverzoek.
demo.placeholder.errorTitle,Fixture-fout
demo.placeholder.loading,Fixture laden
demo.placeholder.notFoundDescription,Kies een ondersteunde bestemming uit het overzicht.
demo.placeholder.notFoundTitle,Demobestemming niet gevonden
demo.placeholder.readyDescription,"De route, ondersteunde statussen en de demo-adaptergrens zijn gedefinieerd. De functiepagina is in deze stap opzettelijk niet geïmplementeerd."
demo.placeholder.readyTitle,Fixture-contract gereed
email.directory.description,Bekijk deterministische HTML- en tekstberichten voor elk transactioneel e-mailsjabloon.
email.directory.eyebrow,Transactionele berichten
email.directory.open,Voorbeeld openen
email.directory.title,E-mailvoorbeelden
email.hub.description,Controleer geïsoleerde HTML- en platte-tekst transactionele berichtfixtures.
email.hub.open,E-mailvoorbeelden openen
email.preview.back,Alle e-mailvoorbeelden
email.preview.html,HTML-voorbeeld
email.preview.impersonationEnded,Impersonatie beëindigd
email.preview.impersonationStarted,Impersonatie gestart
email.preview.invitation,Uitnodiging voor organisatie
