key,ar
admin.oidc.keys.create,إضافة مفتاح
admin.oidc.keys.created,تم نشر مفتاح توقيع جديد.
admin.oidc.keys.description,المفاتيح التي توقّع رموز هذا النطاق. يؤدي التدوير إلى نشر مفتاح جديد وإحالة المفتاح الحالي إلى التقاعد.
admin.oidc.keys.empty,لا توجد بعد مفاتيح توقيع لهذا النطاق.
admin.oidc.keys.keyId,معرّف المفتاح
admin.oidc.keys.privateNotice,تُعرض بيانات تعريف المفتاح العام فقط. ولا تُرسل مادة المفتاح الخاص إلى المتصفح أبدًا.
admin.oidc.keys.retire,إحالة إلى التقاعد
admin.oidc.keys.retireConfirm,هل تريد إيقاف مفتاح التوقيع هذا؟ لن يمكن التحقق من الرموز الموقعة به بعد مغادرته لمجموعة مفاتيح JWKS.
admin.oidc.keys.retired,تمت إحالة مفتاح التوقيع إلى التقاعد.
admin.oidc.keys.retiredAt,تاريخ التقاعد
admin.oidc.keys.rotate,تدوير المفتاح
admin.oidc.keys.rotateConfirm,هل تريد تدوير مفتاح التوقيع؟ سيتم نشر مفتاح جديد وسينتهي استخدام المفتاح الحالي.
admin.oidc.keys.rotated,تم تدوير مفتاح التوقيع.
admin.oidc.keys.statusValue.active,نشط
admin.oidc.keys.statusValue.retired,متقاعد
admin.oidc.keys.title,مفاتيح التوقيع
admin.oidc.lifecycle.activate,تفعيل
admin.oidc.lifecycle.deactivate,إلغاء التفعيل
admin.oidc.lifecycle.remove,إزالة العميل
admin.oidc.permissionDenied,ليس لديك إذن لعرض إعدادات OpenID Connect في هذا النطاق أو تغييرها.
admin.oidc.permissionDeniedTitle,الوصول غير متاح
admin.oidc.secret.acknowledge,لقد حفظت السر
admin.oidc.secret.copied,تم النسخ إلى الحافظة
admin.oidc.secret.copy,نسخ السر
admin.oidc.secret.copyFailed,الحافظة غير متاحة. حدّد القيمة وانسخها يدويًا.
admin.oidc.secret.createdTitle,سر عميل جديد
admin.oidc.secret.description,لا يُعرض سر العميل المحفوظ مرة أخرى أبدًا. دوّره لإصدار بديل، أو ألغِه لمنع العميل من المصادقة.
admin.oidc.secret.once,هذه هي المرة الوحيدة التي يُعرض فيها سر {client}. احفظه الآن؛ لا يمكن استرجاعه.
admin.oidc.secret.publicClient,يصادق العميل العام دون سر، لذا لا يوجد ما يمكن تدويره.
admin.oidc.secret.redacted,محفوظ ومخفي
admin.oidc.secret.revoke,إلغاء السر
admin.oidc.secret.revokeConfirm,هل تريد إبطال سر العميل هذا؟ لن يتمكن العميل من المصادقة حتى يصدر سر جديد.
admin.oidc.secret.revoked,تم إلغاء سر العميل.
admin.oidc.secret.rotate,تدوير السر
admin.oidc.secret.rotateConfirm,هل تريد تدوير سر العميل هذا؟ سيتوقف السر الحالي عن العمل فوراً.
admin.oidc.secret.rotated,تم تدوير سر العميل.
admin.oidc.secret.rotatedTitle,سر العميل بعد التدوير
admin.oidc.secret.title,سر العميل
admin.oidc.status,الحالة
admin.oidc.updated,آخر تحديث
admin.organizations.assuranceRequired,سجّل الدخول مرة أخرى بطريقة مصادقة أقوى لتغيير إعداد المؤسسة هذا.
admin.organizations.assuranceRequiredTitle,مطلوب تسجيل دخول أقوى
admin.organizations.branding.background,لون الخلفية
admin.organizations.branding.dark,سمة داكنة
admin.organizations.branding.description,الألوان والشعارات والروابط القانونية المعروضة في شاشات تسجيل الدخول والحساب المستضافة.
admin.organizations.branding.font,لون النص
admin.organizations.branding.iconUrl,عنوان URL للأيقونة
admin.organizations.branding.light,سمة فاتحة
admin.organizations.branding.logoUrl,عنوان URL للشعار
admin.organizations.branding.preview,معاينة
admin.organizations.branding.primary,اللون الأساسي
admin.organizations.branding.privacyUrl,عنوان URL لسياسة الخصوصية
admin.organizations.branding.saved,تم حفظ الهوية البصرية.
admin.organizations.branding.termsUrl,عنوان URL لشروط الخدمة
admin.organizations.branding.themeMode,السمة الافتراضية
admin.organizations.branding.title,الهوية البصرية
admin.organizations.branding.warn,لون التحذير
admin.organizations.branding.watermark,إخفاء العلامة المائية لـ Authworks
admin.organizations.detail.created,تاريخ الإنشاء
admin.organizations.detail.realm,النطاق
admin.organizations.detail.settingsDescription,تحكّم في اسم المؤسسة وحالة دورة حياتها.
admin.organizations.detail.settingsTitle,إعدادات المؤسسة
admin.organizations.detail.updated,آخر تحديث
admin.organizations.detailTitle,تفاصيل المنظمة
admin.organizations.domains.claim,المطالبة بالنطاق
admin.organizations.domains.claimed,تمت المطالبة بـ {domain} وهو في انتظار التحقق.
admin.organizations.domains.description,تتيح النطاقات الموثّقة للأشخاص العثور على هذه المؤسسة من عنوان بريدهم الإلكتروني.
admin.organizations.domains.discovery,معاينة الاكتشاف
admin.organizations.domains.discoveryDescription,تحقّق من المؤسسة التي يُحل إليها النطاق حالياً أثناء تسجيل الدخول.
admin.organizations.domains.discoveryFound,يُحل {domain} إلى {organization}.
admin.organizations.domains.discoveryMissing,لا يُحل {domain} إلى أي مؤسسة.
admin.organizations.domains.domain,النطاق
admin.organizations.domains.empty,لم تطالب هذه المؤسسة بأي نطاق بعد.
admin.organizations.domains.invalid,أدخل اسم نطاق صالحاً.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,المجال الأساسي
admin.organizations.domains.remove,إزالة النطاق
admin.organizations.domains.removeConfirm,هل تريد إزالة النطاق {domain}؟ سيتوقف اكتشاف المؤسسة له فوراً.
admin.organizations.domains.removed,تمت إزالة النطاق.
admin.organizations.domains.title,النطاقات والاكتشاف
admin.organizations.domains.unverified,في انتظار التحقق
admin.organizations.domains.verificationRecord,أضف سجل DNS TXT هذا، ثم تحقّق.
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,التحقق من النطاق
admin.organizations.domains.verifyDone,تم التحقق من النطاق.
admin.organizations.invitations.create,دعوة شخص
admin.organizations.invitations.description,ادعُ الأشخاص عبر البريد الإلكتروني وتتبّع الدعوات التي ما زالت معلّقة.
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,أدخل عنوان بريد إلكتروني صالحاً.
admin.organizations.invitations.empty,لم تُرسل أي دعوة لهذه المؤسسة.
admin.organizations.invitations.expires,ينتهي في
admin.organizations.invitations.revoke,إبطال الدعوة
admin.organizations.invitations.revokeConfirm,هل تريد إبطال الدعوة لـ {email}؟ سيتوقف رابط الدعوة عن العمل فوراً.
admin.organizations.invitations.revoked,تم إبطال الدعوة.
admin.organizations.invitations.rolesInvalid,اختر ما بين دور واحد وأربعة أدوار.
admin.organizations.invitations.sent,تم إنشاء الدعوة.
admin.organizations.invitations.statusValue.accepted,مقبولة
admin.organizations.invitations.statusValue.declined,مرفوضة
admin.organizations.invitations.statusValue.expired,منتهية الصلاحية
admin.organizations.invitations.statusValue.pending,قيد الانتظار
admin.organizations.invitations.statusValue.revoked,مُبطَلة
admin.organizations.invitations.title,الدعوات
admin.organizations.invitations.tokenDismiss,لقد حفظت هذا الرابط
admin.organizations.invitations.tokenOnce,يُعرض رابط الدعوة هذا مرة واحدة. شاركه مع الشخص الذي دعوته.
admin.organizations.invitations.tokenTitle,رابط الدعوة
admin.organizations.lifecycle.activate,إعادة تفعيل المؤسسة
admin.organizations.lifecycle.activateConfirm,هل تريد إعادة تنشيط هذه المؤسسة؟ يفقد الأعضاء الوصول طالما أنها غير نشطة.
admin.organizations.lifecycle.changed,تم تغيير حالة دورة حياة المؤسسة.
admin.organizations.lifecycle.deactivate,إلغاء تفعيل المؤسسة
admin.organizations.lifecycle.deactivateConfirm,هل تريد إلغاء تنشيط هذه المؤسسة؟ يفقد الأعضاء الوصول طالما أنها غير نشطة.
admin.organizations.lifecycle.remove,إزالة المؤسسة
admin.organizations.lifecycle.removeConfirm,هل تريد إزالة هذه المؤسسة؟ يفقد الأعضاء الوصول طالما أنها غير نشطة.
admin.organizations.list.create,إنشاء مؤسسة
admin.organizations.list.description,تجمع المؤسسات الأشخاص والنطاقات والهوية البصرية لهذا النطاق.
admin.organizations.list.empty,لا توجد مؤسسات في هذا النطاق بعد.
admin.organizations.list.name,اسم المؤسسة
admin.organizations.list.nameRequired,أدخل اسم المنظمة.
admin.organizations.list.search,البحث في المؤسسات
admin.organizations.list.title,المؤسسات
admin.organizations.memberships.add,إضافة عضو
admin.organizations.memberships.added,تمت إضافة العضو.
admin.organizations.memberships.description,الأشخاص في هذه المؤسسة والأدوار الثابتة المسندة إليهم.
admin.organizations.memberships.empty,لا يوجد أعضاء في هذه المؤسسة بعد.
admin.organizations.memberships.invalid,أدخل معرّف مستخدم واختر ما بين دور واحد وأربعة أدوار.
admin.organizations.memberships.remove,إزالة العضو
admin.organizations.memberships.removeConfirm,هل تريد إزالة {userId} من هذه المؤسسة؟ سينتهي وصوله إلى المؤسسة فوراً.
admin.organizations.memberships.removed,تمت إزالة العضو.
admin.organizations.memberships.roles,الأدوار
admin.organizations.memberships.rolesFixed,الأدوار ثابتة بواسطة Authworks ولا يمكن إعادة تسميتها.
admin.organizations.memberships.title,الأعضاء والأدوار
admin.organizations.memberships.updated,تم تحديث أدوار العضو.
admin.organizations.memberships.user,المستخدم
admin.organizations.memberships.userId,معرّف المستخدم
admin.organizations.pageNext,الصفحة التالية
admin.organizations.pagePrevious,الصفحة السابقة
admin.organizations.permissionDenied,ليس لديك إذن لعرض هذه المؤسسة أو تغييرها.
admin.organizations.permissionDeniedTitle,الوصول غير متاح
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.description,اختر طرق تسجيل الدخول التي يمكن للأشخاص استخدامها وموفري الهوية المكوّنين الذين سيظهرون.
admin.organizations.policy.domainDiscovery,اكتشاف المؤسسة من نطاق البريد الإلكتروني
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.emailOtp,رمز لمرة واحدة عبر البريد الإلكتروني
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.externalIdentity,مزوّدو الهوية الخارجيون
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.inherited,موروث من النطاق
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,كلمة المرور
admin.organizations.policy.passwordRecovery,استعادة كلمة المرور
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.registration,التسجيل الذاتي
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.saved,تم حفظ سياسة تسجيل الدخول.
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.title,سياسة تسجيل الدخول
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
admin.organizations.providers.allowAccountCreation,إنشاء حسابات للأشخاص الجدد تلقائياً
admin.organizations.providers.clientId,معرّف العميل
admin.organizations.providers.clientSecret,سر العميل
admin.organizations.providers.create,إضافة مزوّد
admin.organizations.providers.created,تمت تهيئة المزوّد.
admin.organizations.providers.description,موفرو Google وGitHub وMicrosoft المكوّنون لهذه المؤسسة.
admin.organizations.providers.disable,تعطيل المزوّد
admin.organizations.providers.disableConfirm,هل تريد تعطيل {displayName}؟ لن يتمكن الأشخاص من تسجيل الدخول باستخدام هذا المزوّد بعد الآن.
admin.organizations.providers.disabled,تم تعطيل المزوّد.
admin.organizations.providers.displayName,اسم العرض
admin.organizations.providers.empty,لم يتم تهيئة أي مزوّد هوية خارجي بعد.
admin.organizations.providers.invalid,أدخل اسم عرض، ومعرّف عميل، وسر عميل، ومعرّف URI مطلقاً لإعادة التوجيه.
admin.organizations.providers.redirectUri,عنوان URI لإعادة التوجيه
admin.organizations.providers.rotateSecret,استبدال سر العميل
admin.organizations.providers.secretRotated,تم استبدال سر العميل.
admin.organizations.providers.secretWriteOnly,لا يتم عرض سر العميل المخزن أبداً. أدخل قيمة جديدة لاستبداله.
admin.organizations.providers.title,مزوّدو الهوية
admin.organizations.providers.type,المزوّد
admin.organizations.providers.updated,تم تحديث المزوّد.
admin.organizations.renamed,تمت إعادة تسمية المؤسسة.
admin.organizations.status,الحالة
admin.organizations.statusValue.active,نشط
admin.organizations.statusValue.inactive,غير نشط
admin.organizations.statusValue.removed,مُزالة
admin.overview.description,هوية النطاق الذي تديره ومجالاته ودورة حياته.
admin.overview.sessionTitle,جلسة المسؤول
admin.overview.title,نظرة عامة على النطاق
admin.projects.access.description,الأدوار التي يمتلكها هذا المسؤول فعلياً في المشروع الآن.
admin.projects.access.empty,لا توجد أدوار مشروع فعّالة في سياق المؤسسة الحالي.
admin.projects.access.grantedOrganization,مُمنَح عبر المؤسسة
admin.projects.access.permissionDescription,تُحدَّد الأدوار الثابتة وأذوناتها بواسطة Authworks ولا يمكن تعديلها.
admin.projects.access.permissionTitle,الأدوار والأذونات الثابتة
admin.projects.access.roleKeys,أدوار المشروع الفعلية
admin.projects.access.title,الوصول الفعلي
admin.projects.applications.create,إضافة تطبيق
admin.projects.applications.description,التطبيقات التي تصادق على هذا المشروع.
admin.projects.applications.empty,لا توجد تطبيقات في هذا المشروع بعد.
admin.projects.applications.invalid,أدخل اسم التطبيق واختر نوعاً.
admin.projects.applications.name,اسم التطبيق
admin.projects.applications.removeConfirm,هل تريد إزالة هذا التطبيق؟ لا يمكن التراجع عن هذا الإجراء.
admin.projects.applications.title,التطبيقات
admin.projects.applications.type,نوع التطبيق
admin.projects.crossTenant,ينتمي هذا المورد إلى نطاق آخر وغير متاح هنا.
admin.projects.deleteConfirm,هل تريد حذف هذا المشروع؟ ستُحذف التطبيقات والأدوار والمنح معه.
admin.projects.detail.authorizationRequired,التفويض مطلوب
admin.projects.detail.created,تاريخ الإنشاء
admin.projects.detail.identifier,معرّف المشروع
admin.projects.detail.organization,المؤسسة
admin.projects.detail.projectAccessRequired,الوصول إلى المشروع مطلوب
admin.projects.detail.settingsDescription,تحكّم في اسم المشروع وكيفية فرض الوصول.
admin.projects.detail.settingsTitle,إعدادات المشروع
admin.projects.detail.updated,آخر تحديث
admin.projects.detailTitle,تفاصيل المشروع
admin.projects.grants.create,منح وصول المؤسسة
admin.projects.grants.description,امنح مؤسسة أخرى حق الوصول إلى هذا المشروع واختر الأدوار التي تحصل عليها.
admin.projects.grants.empty,لم يُمنح أي مؤسسة حق الوصول إلى هذا المشروع.
admin.projects.grants.grantedOrganization,المؤسسة الممنوحة
admin.projects.grants.invalid,اختر منظمة ودورًا واحدًا على الأقل.
admin.projects.grants.revokeConfirm,هل تريد إبطال منح الوصول لهذه المؤسسة؟ سيخسر الأعضاء الوصول إلى المشروع.
admin.projects.grants.roleKeys,الأدوار الممنوحة
admin.projects.grants.title,منح المؤسسة
admin.projects.lifecycle.activate,تفعيل
admin.projects.lifecycle.deactivate,إلغاء التفعيل
admin.projects.lifecycle.remove,إزالة
admin.projects.lifecycle.removeConfirm,هل تريد إزالة هذا المشروع؟
admin.projects.list.create,إنشاء مشروع
admin.projects.list.description,تجمع المشاريع تطبيقات المؤسسة وأدوارها ومنحها.
admin.projects.list.empty,لا توجد مشاريع في هذا النطاق بعد.
admin.projects.list.invalid,أدخل اسم المشروع واختر منظمة.
admin.projects.list.name,اسم المشروع
admin.projects.list.search,البحث في المشاريع
admin.projects.list.title,المشاريع
admin.projects.missingId,يجب اختيار مشروع لهذه الوجهة.
admin.projects.permissionDenied,ليس لديك إذن لعرض معلومات هذا المشروع أو تغييرها.
admin.projects.roles.create,إنشاء دور
admin.projects.roles.deleteConfirm,هل تريد حذف دور المشروع هذا؟ ستفقد المنح التي تشير إليه هذا الدور.
admin.projects.roles.description,الأدوار التي يمكن لهذا المشروع إسنادها إلى المؤسسات وأعضائها.
admin.projects.roles.displayName,اسم العرض
admin.projects.roles.empty,لا يحدّد هذا المشروع أي أدوار بعد.
admin.projects.roles.group,المجموعة
admin.projects.roles.invalid,أدخل مفتاح الدور واسم العرض.
admin.projects.roles.key,مفتاح الدور
admin.projects.roles.title,أدوار المشروع
admin.projects.saved,تم حفظ {name}.
admin.projects.status,الحالة
admin.projects.statusValue.active,نشط
admin.projects.statusValue.inactive,غير نشط
admin.projects.statusValue.removed,مُزالة
admin.realm.confirmLabel,اكتب {name} للتأكيد
admin.realm.confirmMismatch,اسم النطاق غير مطابق.
admin.realm.created,تاريخ الإنشاء
admin.realm.dangerZone,منطقة الخطر
admin.realm.description,إعدادات الهوية وتسجيل الدخول للنطاق الذي تديره.
admin.realm.disable,تعطيل النطاق
admin.realm.disableConfirm,تعطيل هذا النطاق يوقف تسجيل الدخول لجميع تطبيقاته. هل تريد المتابعة؟
admin.realm.disableWarning,يؤدي تعطيل هذا النطاق إلى إيقاف تسجيل الدخول وإصدار الرموز فورًا لجميع تطبيقاته.
admin.realm.disabled,تم تعطيل النطاق.
admin.realm.domainRequired,أدخل مجالًا واحدًا على الأقل للنطاق.
admin.realm.domains,المجالات
admin.realm.domainsHint,افصل بين المجالات بفواصل. المجال الأول هو المجال الأساسي.
admin.realm.enable,تفعيل النطاق
admin.realm.enableDescription,هذا النطاق معطل. فعّله لاستعادة تسجيل الدخول وإصدار الرموز.
admin.realm.enabled,تم تفعيل النطاق.
admin.realm.identifier,معرّف النطاق
admin.realm.invalid,أدخل اسم النطاق ومجالًا واحدًا على الأقل.
admin.realm.lifecycleTitle,دورة حياة النطاق
admin.realm.name,اسم النطاق
admin.realm.nameRequired,أدخل اسمًا للنطاق.
admin.realm.permissionDenied,ليس لديك إذن لتغيير هذا النطاق.
admin.realm.primaryDomain,المجال الأساسي
admin.realm.save,حفظ الإعدادات
admin.realm.saved,تم حفظ إعدادات النطاق.
admin.realm.settingsDescription,غيّر اسم النطاق والمجالات التي تشير إليه.
admin.realm.settingsTitle,الإعدادات العامة
admin.realm.status,الحالة
admin.realm.statusActive,نشط
admin.realm.statusDisabled,معطل
admin.realm.title,إعدادات النطاق
admin.realm.updated,آخر تحديث
admin.session.expired,انتهت صلاحية جلسة المسؤول
admin.signIn.activeTitle,جلسة المسؤول نشطة
admin.signIn.credential,بيانات اعتماد المسؤول الأولي
admin.signIn.credentialInvalid,أدخل بيانات اعتماد المسؤول الأولي كاملة.
admin.signIn.credentialNotStored,يتم استبدال بيانات الاعتماد بجلسة متصفح قصيرة ولا يتم تخزينها أبدًا في هذا المتصفح.
admin.signIn.description,استبدل بيانات الاعتماد الأولية الصادرة عن المشغّل بجلسة مسؤول قصيرة في المتصفح.
admin.signIn.expiresAt,تنتهي هذه الجلسة في {date}.
admin.signIn.signOutConfirm,هل تريد إنهاء جلسة المسؤول هذه؟ سيتعين عليك تسجيل الدخول مرة أخرى للمتابعة.
admin.signIn.signedOutDetail,تم إنهاء جلسة المسؤول على هذا الجهاز.
admin.signIn.signedOutTitle,تم تسجيل الخروج
admin.signIn.subject,الموضوع
admin.signIn.subjectType,نوع الموضوع
admin.signIn.title,تسجيل دخول المسؤول
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.backToDirectory,العودة إلى المستخدمين
admin.users.count,{count} مستخدماً
admin.users.create,إنشاء مستخدم
admin.users.createDescription,أضف مستخدماً بشرياً إلى النطاق الحالي.
admin.users.createSubmit,إنشاء
admin.users.created,تم إنشاء {userName}.
admin.users.createdAt,تاريخ الإنشاء
admin.users.dangerZone,منطقة الخطر
admin.users.delete,حذف المستخدم
admin.users.deleteConfirm,حذف {userName} نهائياً؟
admin.users.deleteWarning,يؤدي حذف هذا المستخدم إلى إبطال جلساته ووصوله فوراً.
admin.users.deleted,تم حذف {userName}.
admin.users.description,الهويات البشرية في النطاق الحالي.
admin.users.detailTitle,تفاصيل المستخدم
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,لا يوجد مستخدمون يطابقون عامل التصفية الحالي.
admin.users.firstName,First name
admin.users.identifier,معرّف المستخدم
admin.users.invalid,أدخل عنوان بريد إلكتروني واسم مستخدم صالحين.
admin.users.lastName,Last name
admin.users.lifecycle.active,نشط
admin.users.lifecycle.deleted,محذوف
admin.users.lifecycle.inactive,غير نشط
admin.users.lifecycle.initial,مبدئي
admin.users.lifecycle.locked,مقفل
admin.users.lifecycle.suspended,موقوف
admin.users.lifecycleChanged,حالة المستخدم الآن {state}.
admin.users.lifecycleConfirm,تعيين {userName} إلى {state}؟
admin.users.lifecycleDescription,حدّد ما إذا كان بإمكان هذا المستخدم تسجيل الدخول.
admin.users.lifecycleTitle,دورة الحياة
admin.users.markUnverified,وضع علامة غير موثّق
admin.users.markVerified,وضع علامة موثّق
admin.users.missingId,تعذّر تحديد هذا المستخدم من العنوان.
admin.users.nickName,Nickname
admin.users.pictureAlt,User profile picture
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,حفظ الملف الشخصي
admin.users.profileSaved,تم حفظ الملف الشخصي للمستخدم.
admin.users.profileTitle,الملف الشخصي
admin.users.search,البحث في المستخدمين
admin.users.searchPlaceholder,تصفية حسب اسم المستخدم أو البريد الإلكتروني أو المعرّف
admin.users.sessions.created,تاريخ الإنشاء
admin.users.sessions.description,افحص الجلسات النشطة لهذا المستخدم وألغِ الوصول من أي جهاز.
admin.users.sessions.empty,لا توجد جلسات نشطة لهذا المستخدم.
admin.users.sessions.expires,تنتهي في
admin.users.sessions.ipAddress,عنوان IP
admin.users.sessions.lastUsed,آخر استخدام
admin.users.sessions.method,طريقة تسجيل الدخول
admin.users.sessions.revokeConfirm,هل تريد إلغاء هذه الجلسة فورًا؟ سيتم تسجيل خروج الجهاز على الفور.
admin.users.sessions.revoked,تم إلغاء الجلسة.
admin.users.sessions.title,الجلسات والأجهزة
admin.users.state,الحالة
admin.users.title,المستخدمون
admin.users.unverified,غير موثّق
admin.users.updated,آخر تحديث
admin.users.userName,Username
admin.users.verification,التحقق
admin.users.verificationChanged,حالة التحقق الآن {state}.
admin.users.verificationDescription,تحكّم في ما إذا كان عنوان البريد الإلكتروني لهذا المستخدم يُعد موثّقاً.
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,خدمات هوية آمنة
common.back,رجوع
common.cancel,إلغاء
common.close,إغلاق
common.continue,متابعة
common.decline,Decline
common.disable,إيقاف
common.disabled,معطل
common.enable,تشغيل
common.enabled,مفعل
common.error,حدث خطأ ما.
common.language,اللغة
common.loading,جارٍ التحميل
common.next,التالي
common.pagination,ترقيم الصفحات
common.previous,السابق
common.retry,إعادة المحاولة
common.revoke,إبطال
common.save,حفظ
common.signIn,تسجيل الدخول
common.signInWithProvider,تسجيل الدخول باستخدام {provider}
common.signOut,تسجيل الخروج
common.theme.dark,داكن
common.theme.light,فاتح
common.theme.system,النظام
common.urlPlaceholder,https://
demo.account.description,خريطة بدون اتصال بالشبكة لتجارب إدارة الملف الشخصي والمنظمة والأمان والوصول إلى التطبيقات التي يدعمها Authworks. كل وجهة لها عقد صريح لحالة البيانات التجريبية.
demo.account.eyebrow,الهوية بالخدمة الذاتية
demo.account.group.access.description,التطبيقات والأذونات الممنوحة من قبل هذا الحساب.
demo.account.group.access.title,الوصول
demo.account.group.identity.description,تفاصيل الملف الشخصي وتسجيل الدخول التي يديرها المستخدمون بأنفسهم.
demo.account.group.identity.title,المعلومات الشخصية
demo.account.group.organizations.description,العضوية وسياق المنظمة والدعوات.
demo.account.group.organizations.title,المنظمات
demo.account.group.security.description,الجلسات وعوامل المصادقة والهويات المتصلة.
demo.account.group.security.title,الأمان
demo.account.scenario.consents.description,مراجعة وإلغاء الأذونات الممنوحة مسبقاً للتطبيقات.
demo.account.scenario.consents.title,موافقات التطبيقات
demo.account.scenario.delete.description,مراجعة التأثير وتأكيد الحذف الدائم للحساب.
demo.account.scenario.delete.title,حذف الحساب
demo.account.scenario.email.description,مراجعة العنوان المؤكد المستخدم لتسجيل الدخول والتواصل بشأن الحساب.
demo.account.scenario.email.title,عنوان البريد الإلكتروني
demo.account.scenario.factors.description,إدارة عوامل تطبيق المصادقة والبريد الإلكتروني ومفتاح المرور.
demo.account.scenario.factors.title,المصادقة متعددة العوامل
demo.account.scenario.identities.description,مراجعة وإلغاء ربط حسابات Google وGitHub وMicrosoft.
demo.account.scenario.identities.title,الهويات المرتبطة
demo.account.scenario.invitation.description,فحص الدعوة قبل الانضمام إلى المنظمة.
demo.account.scenario.invitation.title,قبول الدعوة
demo.account.scenario.invitations.description,مراجعة الدعوات الموجهة إلى الحساب المسجل الدخول به.
demo.account.scenario.invitations.title,دعواتي
demo.account.scenario.organizations.description,عرض العضويات وتبديل المنظمة النشطة.
demo.account.scenario.organizations.title,منظماتي
demo.account.scenario.passkeys.description,تسجيل بيانات الاعتماد بدون كلمة مرور وتسميتها وإزالتها.
demo.account.scenario.passkeys.title,مفاتيح المرور
demo.account.scenario.password.description,تغيير كلمة المرور الحالية ومراجعة حالة أمانها.
demo.account.scenario.password.title,كلمة المرور
demo.account.scenario.profile.description,مراجعة وتحديث الأسماء واسم المستخدم واللغة المفضلة.
demo.account.scenario.profile.title,الملف الشخصي
demo.account.scenario.recovery_codes.description,إنشاء رموز بديلة وعرضها لمرة واحدة.
demo.account.scenario.recovery_codes.title,رموز الاسترداد
demo.account.scenario.sessions.description,مراجعة الجلسات النشطة وإلغاء الأجهزة التي لم تعد قيد الاستخدام.
demo.account.scenario.sessions.title,الجلسات والأجهزة
demo.account.title,عرض تجريبي للحساب
demo.admin.description,تنقل في النطاق الحالي باستخدام بنية معلومات تتمحور حول الأشخاص والمنظمات والتطبيقات وبيانات الاعتماد ونشاط التدقيق. العروض التجريبية المتاحة والوجهات المخططة المستقلة مفصولة بوضوح.
demo.admin.directoryTitle,دليل الإدارة
