key,uk
admin.organizations.detail.settingsTitle,Налаштування організації
admin.organizations.detail.updated,Останнє оновлення
admin.organizations.detailTitle,Відомості про організацію
admin.organizations.domains.claim,Заявити домен
admin.organizations.domains.claimed,"{domain} заявлено, і він очікує на перевірку."
admin.organizations.domains.description,Підтверджені домени дозволяють людям знаходити цю організацію за адресою електронної пошти.
admin.organizations.domains.discovery,Попередній перегляд визначення
admin.organizations.domains.discoveryDescription,"Перевірте, до якої організації наразі розв'язується домен під час входу."
admin.organizations.domains.discoveryFound,{domain} розв'язується до {organization}.
admin.organizations.domains.discoveryMissing,{domain} не розв'язується до жодної організації.
admin.organizations.domains.domain,Домен
admin.organizations.domains.empty,Ця організація ще не заявила жодного домену.
admin.organizations.domains.invalid,Введіть дійсне доменне ім'я.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,Основний домен
admin.organizations.domains.remove,Видалити домен
admin.organizations.domains.removeConfirm,Видалити домен {domain}? Виявлення організації для нього одразу припиниться.
admin.organizations.domains.removed,Домен видалено.
admin.organizations.domains.title,Домени та визначення
admin.organizations.domains.unverified,Очікує на перевірку
admin.organizations.domains.verificationRecord,"Додайте цей DNS TXT-запис, а потім виконайте перевірку."
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,Перевірити домен
admin.organizations.domains.verifyDone,Домен підтверджено.
admin.organizations.invitations.create,Запросити людину
admin.organizations.invitations.description,"Запрошуйте людей електронною поштою та відстежуйте, які запрошення ще очікують."
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,Введіть дійсну адресу електронної пошти.
admin.organizations.invitations.empty,Для цієї організації не надіслано жодного запрошення.
admin.organizations.invitations.expires,Спливає
admin.organizations.invitations.revoke,Відкликати запрошення
admin.organizations.invitations.revokeConfirm,Відкликати запрошення для {email}? Посилання запрошення одразу припинить працювати.
admin.organizations.invitations.revoked,Запрошення відкликано.
admin.organizations.invitations.rolesInvalid,Виберіть від однієї до чотирьох ролей.
admin.organizations.invitations.sent,Запрошення створено.
admin.organizations.invitations.statusValue.accepted,Прийнято
admin.organizations.invitations.statusValue.declined,Відхилено
admin.organizations.invitations.statusValue.expired,Прострочені
admin.organizations.invitations.statusValue.pending,Очікує
admin.organizations.invitations.statusValue.revoked,Відкликані
admin.organizations.invitations.title,Запрошення
admin.organizations.invitations.tokenDismiss,Я зберіг це посилання
admin.organizations.invitations.tokenOnce,Це посилання запрошення показується один раз. Поділіться ним із запрошеною людиною.
admin.organizations.invitations.tokenTitle,Посилання запрошення
admin.organizations.lifecycle.activate,Повторно активувати організацію
admin.organizations.lifecycle.activateConfirm,"Реактивувати цю організацію? Учасники втрачають доступ, доки вона неактивна."
admin.organizations.lifecycle.changed,Статус життєвого циклу організації змінено.
admin.organizations.lifecycle.deactivate,Деактивувати організацію
admin.organizations.lifecycle.deactivateConfirm,"Деактивувати цю організацію? Учасники втрачають доступ, доки вона неактивна."
admin.organizations.lifecycle.remove,Видалити організацію
admin.organizations.lifecycle.removeConfirm,"Видалити цю організацію? Учасники втрачають доступ, доки вона неактивна."
admin.organizations.list.create,Створити організацію
admin.organizations.list.description,"Організації об'єднують людей, домени та оформлення цього realm."
admin.organizations.list.empty,У цьому realm ще немає організацій.
admin.organizations.list.name,Назва організації
admin.organizations.list.nameRequired,Введіть назву організації.
admin.organizations.list.search,Пошук організацій
admin.organizations.list.title,Організації
admin.organizations.memberships.add,Додати учасника
admin.organizations.memberships.added,Учасника додано.
admin.organizations.memberships.description,Люди в цій організації та призначені їм фіксовані ролі.
admin.organizations.memberships.empty,У цій організації ще немає учасників.
admin.organizations.memberships.invalid,Введіть ідентифікатор користувача та виберіть від однієї до чотирьох ролей.
admin.organizations.memberships.remove,Видалити учасника
admin.organizations.memberships.removeConfirm,Видалити {userId} з цієї організації? Доступ до організації буде негайно припинено.
admin.organizations.memberships.removed,Учасника видалено.
admin.organizations.memberships.roles,Ролі
admin.organizations.memberships.rolesFixed,Ролі зафіксовані Authworks і не можуть бути перейменовані.
admin.organizations.memberships.title,Учасники та ролі
admin.organizations.memberships.updated,Ролі учасника оновлено.
admin.organizations.memberships.user,Користувач
admin.organizations.memberships.userId,Ідентифікатор користувача
admin.organizations.pageNext,Наступна сторінка
admin.organizations.pagePrevious,Попередня сторінка
admin.organizations.permissionDenied,Ви не маєте дозволу переглядати або змінювати цю організацію.
admin.organizations.permissionDeniedTitle,Доступ недоступний
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.description,"Оберіть, які способи входу можуть використовувати люди та які налаштовані провайдери відображаються."
admin.organizations.policy.domainDiscovery,Визначати організацію за доменом електронної пошти
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.emailOtp,Одноразовий код електронною поштою
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.externalIdentity,Зовнішні провайдери ідентифікації
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.inherited,Успадковано від realm
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,Пароль
admin.organizations.policy.passwordRecovery,Відновлення пароля
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.registration,Самостійна реєстрація
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.saved,Політику входу збережено.
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.title,Політика входу
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
admin.organizations.providers.allowAccountCreation,Автоматично створювати облікові записи для нових людей
admin.organizations.providers.clientId,Ідентифікатор клієнта
admin.organizations.providers.clientSecret,Секрет клієнта
admin.organizations.providers.create,Додати провайдера
admin.organizations.providers.created,Провайдера налаштовано.
admin.organizations.providers.description,"Налаштовані провайдери Google, GitHub і Microsoft для цієї організації."
admin.organizations.providers.disable,Вимкнути провайдера
admin.organizations.providers.disableConfirm,Вимкнути {displayName}? Люди більше не зможуть входити через цього провайдера.
admin.organizations.providers.disabled,Провайдера вимкнено.
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,Зовнішнього провайдера ідентифікації ще не налаштовано.
admin.organizations.providers.invalid,"Введіть відображуване ім'я, ідентифікатор клієнта, секрет клієнта та абсолютний URI переспрямування."
admin.organizations.providers.redirectUri,URI перенаправлення
admin.organizations.providers.rotateSecret,Замінити секрет клієнта
admin.organizations.providers.secretRotated,Секрет клієнта замінено.
admin.organizations.providers.secretWriteOnly,"Збережений секрет клієнта ніколи не відображається. Введіть нове значення, щоб замінити його."
admin.organizations.providers.title,Провайдери ідентифікації
admin.organizations.providers.type,Провайдер
admin.organizations.providers.updated,Провайдера оновлено.
admin.organizations.renamed,Організацію перейменовано.
admin.organizations.status,Стан
admin.organizations.statusValue.active,Активна
admin.organizations.statusValue.inactive,Неактивний
admin.organizations.statusValue.removed,Видалена
admin.overview.description,"Ідентифікатор, домени та життєвий цикл області, якою ви керуєте."
admin.overview.sessionTitle,Сеанс адміністратора
admin.overview.title,Огляд області
admin.projects.access.description,"Ролі, якими цей адміністратор фактично володіє в проєкті просто зараз."
admin.projects.access.empty,У поточному контексті організації немає чинних ролей проєкту.
admin.projects.access.grantedOrganization,Надано через організацію
admin.projects.access.permissionDescription,Фіксовані ролі та їхні дозволи визначаються Authworks і не можуть бути змінені.
admin.projects.access.permissionTitle,Фіксовані ролі та дозволи
admin.projects.access.roleKeys,Чинні ролі проєкту
admin.projects.access.title,Чинний доступ
admin.projects.applications.create,Додати застосунок
admin.projects.applications.description,"Застосунки, які автентифікуються в цьому проєкті."
admin.projects.applications.empty,Цей проєкт ще не має застосунків.
admin.projects.applications.invalid,Введіть назву застосунку та виберіть тип.
admin.projects.applications.name,Назва застосунку
admin.projects.applications.removeConfirm,Видалити цей застосунок? Цю дію неможливо скасувати.
admin.projects.applications.title,Застосунки
admin.projects.applications.type,Тип застосунку
admin.projects.crossTenant,Цей ресурс належить до іншого realm і тут недоступний.
admin.projects.deleteConfirm,"Видалити цей проєкт? Застосунки, ролі та видані права буде видалено разом із ним."
admin.projects.deleteConfirmAccept,Видалити проєкт
admin.projects.deleteConfirmTitle,Видалити цей проєкт
admin.projects.detail.authorizationRequired,Потрібна авторизація
admin.projects.detail.created,Створено
admin.projects.detail.identifier,Ідентифікатор проєкту
admin.projects.detail.organization,Організація
admin.projects.detail.projectAccessRequired,Потрібен доступ до проєкту
admin.projects.detail.settingsDescription,"Керуйте назвою проєкту та тим, як застосовується доступ."
admin.projects.detail.settingsTitle,Налаштування проєкту
admin.projects.detail.updated,Останнє оновлення
admin.projects.detailTitle,Відомості про проєкт
admin.projects.grants.create,Надати доступ організації
admin.projects.grants.description,"Надайте іншій організації доступ до цього проєкту та оберіть, які ролі вона отримає."
admin.projects.grants.empty,Жодній організації не надано доступ до цього проєкту.
admin.projects.grants.grantedOrganization,Організація-одержувач
admin.projects.grants.invalid,Виберіть організацію та щонайменше одну роль.
admin.projects.grants.revokeConfirm,Відкликати цю видачу прав організації? Учасники втратять доступ до проєкту.
admin.projects.grants.roleKeys,Надані ролі
admin.projects.grants.title,Надання організації
admin.projects.lifecycle.activate,Активувати
admin.projects.lifecycle.deactivate,Деактивувати
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,Видалити цей проєкт?
admin.projects.lifecycle.removeConfirmAccept,Прибрати проєкт
admin.projects.lifecycle.removeConfirmTitle,Прибрати цей проєкт
admin.projects.list.create,Створити проєкт
admin.projects.list.description,"Проєкти об'єднують застосунки, ролі та надання організації."
admin.projects.list.empty,У цьому realm ще немає проєктів.
admin.projects.list.invalid,Введіть назву проєкту та виберіть організацію.
admin.projects.list.name,Назва проєкту
admin.projects.list.search,Пошук проєктів
admin.projects.list.title,Проєкти
admin.projects.missingId,Для цього розділу потрібно вибрати проєкт.
admin.projects.permissionDenied,Ви не маєте дозволу переглядати або змінювати ці відомості про проєкт.
admin.projects.roles.create,Створити роль
admin.projects.roles.deleteConfirm,"Видалити цю роль проєкту? Видані права, що посилаються на неї, втратять цю роль."
admin.projects.roles.description,"Ролі, які цей проєкт може призначати організаціям та їхнім учасникам."
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,Цей проєкт ще не визначає ролей.
admin.projects.roles.group,Група
admin.projects.roles.invalid,Введіть ключ ролі та відображувану назву.
admin.projects.roles.key,Ключ ролі
admin.projects.roles.title,Ролі проєкту
admin.projects.saved,{name} збережено.
admin.projects.status,Стан
admin.projects.statusValue.active,Активна
admin.projects.statusValue.inactive,Неактивний
admin.projects.statusValue.removed,Видалена
admin.realm.confirmLabel,Введіть {name} для підтвердження
admin.realm.confirmMismatch,Назва області не збігається.
admin.realm.created,Створено
admin.realm.dangerZone,Небезпечна зона
admin.realm.description,"Налаштування ідентифікації та входу для області, якою ви керуєте."
admin.realm.disable,Вимкнути область
admin.realm.disableConfirm,Вимкнення цієї області припинить вхід для всіх її застосунків. Продовжити?
admin.realm.disableWarning,Вимкнення цієї області негайно припиняє вхід і видачу токенів для всіх її застосунків.
admin.realm.disabled,Область вимкнено.
admin.realm.domainRequired,Вкажіть щонайменше один домен області.
admin.realm.domains,Домени
admin.realm.domainsHint,Розділяйте домени комами. Перший домен є основним.
admin.realm.enable,Увімкнути область
admin.realm.enableDescription,"Цю область вимкнено. Увімкніть її, щоб відновити вхід і видачу токенів."
admin.realm.enabled,Область увімкнено.
admin.realm.identifier,Ідентифікатор області
admin.realm.invalid,Вкажіть назву області та щонайменше один домен.
admin.realm.lifecycleTitle,Життєвий цикл області
admin.realm.name,Назва області
admin.realm.nameRequired,Вкажіть назву області.
admin.realm.permissionDenied,У вас немає дозволу змінювати цю область.
admin.realm.primaryDomain,Основний домен
admin.realm.save,Зберегти налаштування
admin.realm.saved,Налаштування області збережено.
admin.realm.settingsDescription,"Змініть назву області та домени, що вказують на неї."
admin.realm.settingsTitle,Загальні налаштування
admin.realm.status,Стан
admin.realm.statusActive,Активна
admin.realm.statusDisabled,Вимкнена
admin.realm.title,Налаштування області
admin.realm.updated,Останнє оновлення
admin.session.expired,Термін вашого сеансу адміністратора минув
admin.signIn.activeTitle,Сеанс адміністратора активний
admin.signIn.credential,Початкові облікові дані адміністратора
admin.signIn.credentialInvalid,Введіть повні початкові облікові дані адміністратора.
admin.signIn.credentialNotStored,Облікові дані обмінюються на короткий сеанс браузера і ніколи не зберігаються в цьому браузері.
admin.signIn.description,Обміняйте видані оператором початкові облікові дані на короткий сеанс адміністратора у браузері.
admin.signIn.expiresAt,Термін дії сеансу спливає {date}.
admin.signIn.signOutConfirm,"Завершити цей сеанс адміністратора? Щоб продовжити, потрібно буде увійти знову."
admin.signIn.signedOutDetail,Сеанс адміністратора завершено на цьому пристрої.
admin.signIn.signedOutTitle,Ви вийшли
admin.signIn.subject,Суб'єкт
admin.signIn.subjectType,Тип суб'єкта
admin.signIn.title,Вхід адміністратора
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.backToDirectory,Назад до користувачів
admin.users.count,Користувачів: {count}
admin.users.create,Створити користувача
admin.users.createDescription,Додайте користувача-людину до поточного realm.
admin.users.createSubmit,Створити
admin.users.created,{userName} створено.
admin.users.createdAt,Створено
admin.users.dangerZone,Небезпечна зона
admin.users.delete,Видалити користувача
admin.users.deleteConfirm,Остаточно видалити {userName}?
admin.users.deleteWarning,Видалення цього користувача негайно відкликає його сеанси та доступ.
admin.users.deleted,{userName} видалено.
admin.users.description,Людські ідентичності в поточному realm.
admin.users.detailTitle,Відомості про користувача
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,Жоден користувач не відповідає поточному фільтру.
admin.users.firstName,First name
admin.users.identifier,Ідентифікатор користувача
admin.users.invalid,Введіть дійсну адресу електронної пошти та ім'я користувача.
admin.users.lastName,Last name
admin.users.lifecycle.active,Активна
admin.users.lifecycle.deleted,Видалено
admin.users.lifecycle.inactive,Неактивний
admin.users.lifecycle.initial,Початковий
admin.users.lifecycle.locked,Заблоковано
admin.users.lifecycle.suspended,Призупинено
admin.users.lifecycleChanged,Статус користувача тепер {state}.
admin.users.lifecycleConfirm,Установити для {userName} значення {state}?
admin.users.lifecycleDescription,"Визначте, чи може цей користувач входити в систему."
admin.users.lifecycleTitle,Життєвий цикл
admin.users.markUnverified,Позначити як непідтверджений
admin.users.markVerified,Позначити як підтверджений
admin.users.missingId,Не вдалося визначити цього користувача за адресою.
admin.users.nickName,Nickname
admin.users.pictureAlt,User profile picture
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,Зберегти профіль
admin.users.profileSaved,Профіль користувача збережено.
admin.users.profileTitle,Профіль
admin.users.search,Пошук користувачів
admin.users.searchPlaceholder,"Фільтр за іменем користувача, електронною поштою або ідентифікатором"
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,Статус
admin.users.title,Користувачі
admin.users.unverified,Не підтверджено
admin.users.updated,Останнє оновлення
admin.users.userName,Username
admin.users.verification,Підтвердження
admin.users.verificationChanged,Статус підтвердження тепер {state}.
admin.users.verificationDescription,"Визначте, чи вважається адреса електронної пошти цього користувача підтвердженою."
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,Безпечні сервіси ідентифікації
common.back,Назад
common.cancel,Скасувати
common.close,Закрити
common.continue,Продовжити
common.decline,Decline
common.disable,Вимкнути
common.disabled,Вимкнено
common.enable,Увімкнути
common.enabled,Увімкнено
common.error,Щось пішло не так.
common.language,Мова
common.loading,Завантаження
common.next,Далі
common.pagination,Посторінкова навігація
common.previous,Назад
common.retry,Спробувати ще раз
common.revoke,Revoke
common.save,Зберегти
common.signIn,Увійти
common.signInWithProvider,Увійти за допомогою {provider}
common.signOut,Вийти
common.theme.dark,Темна
common.theme.light,Світла
common.theme.system,Система
common.urlPlaceholder,https://
demo.account.description,"Автономна карта інтерфейсів керування профілем, організацією, безпекою та доступом до додатків, які підтримує Authworks. Кожне призначення має чіткий контракт стану тестових даних."
demo.account.eyebrow,Самообслуговування ідентифікації
demo.account.group.access.description,"Додатки та дозволи, надані цим обліковим записом."
demo.account.group.access.title,Доступ
demo.account.group.identity.description,"Дані профілю та входу, якими користувачі керують самостійно."
demo.account.group.identity.title,Особисті дані
demo.account.group.organizations.description,"Членство, контекст організації та запрошення."
demo.account.group.organizations.title,Організації
demo.account.group.security.description,"Сеанси, фактори автентифікації та підключені ідентичності."
demo.account.group.security.title,Безпека
demo.account.scenario.consents.description,"Переглядайте та відкликайте дозволи, раніше надані додаткам."
demo.account.scenario.consents.title,Згоди додатків
demo.account.scenario.delete.description,Оцініть наслідки та підтвердьте остаточне видалення облікового запису.
demo.account.scenario.delete.title,Видалити обліковий запис
demo.account.scenario.email.description,"Переглядайте підтверджену адресу, що використовується для входу та зв'язку облікового запису."
demo.account.scenario.email.title,Адреса електронної пошти
demo.account.scenario.factors.description,"Керуйте факторами додатка автентифікатора, електронної пошти та ключів доступу."
demo.account.scenario.factors.title,Багатофакторна автентифікація
demo.account.scenario.identities.description,"Переглядайте та відв'язуйте облікові записи Google, GitHub та Microsoft."
demo.account.scenario.identities.title,Зв'язані ідентичності
demo.account.scenario.invitation.description,Перевірте запрошення перед приєднанням до організації.
demo.account.scenario.invitation.title,Прийняти запрошення
demo.account.scenario.invitations.description,"Переглядайте запрошення, надіслані до увійшовшого облікового запису."
demo.account.scenario.invitations.title,Мої запрошення
demo.account.scenario.organizations.description,Переглядайте членства та перемикайте активну організацію.
demo.account.scenario.organizations.title,Мої організації
demo.account.scenario.passkeys.description,"Реєструйте, називайте та видаляйте безпарольні облікові дані."
demo.account.scenario.passkeys.title,Ключі доступу
demo.account.scenario.password.description,Змініть поточний пароль та перевірте стан його безпеки.
demo.account.scenario.password.title,Пароль
demo.account.scenario.profile.description,"Переглядайте та оновлюйте імена, ім'я користувача та бажану мову."
demo.account.scenario.profile.title,Профіль
demo.account.scenario.recovery_codes.description,Згенеруйте запасні коди та відобразіть їх один раз.
demo.account.scenario.recovery_codes.title,Коди відновлення
demo.account.scenario.sessions.description,"Переглядайте активні сеанси та відкликайте пристрої, які більше не використовуються."
demo.account.scenario.sessions.title,Сеанси та пристрої
demo.account.title,Демонстрація облікового запису
demo.admin.description,"Переміщуйтеся поточним реалмом за допомогою інформаційної архітектури, зосередженої навколо людей, організацій, додатків, облікових даних та подій аудиту. Доступні демо та заплановані призначення без стану чітко розділені."
demo.admin.directoryTitle,Каталог адміністрування
demo.admin.eyebrow,Адміністрування реалму
demo.admin.group.authorization.description,"Додатки, проєктні ролі, гранти та оцінений доступ."
demo.admin.group.authorization.title,Проєкти та авторизація
demo.admin.group.machine_users.description,Нелюдські ідентичності та їхні облікові дані лише для запису.
demo.admin.group.machine_users.title,Сервісні користувачі
demo.admin.group.oidc.description,"Клієнти, точні налаштування перенаправлення, згода, області дії та ключі підпису."
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,Сеанси реалму та незмінна активність безпеки.
demo.admin.group.operations.title,Операції
demo.admin.group.organizations.description,"Налаштування організації, користувачі, запрошення та підтверджені домени."
demo.admin.group.organizations.title,Організації
demo.admin.group.realm.description,"Конфігурація ідентичності, життєвого циклу та входу в масштабах реалму."
demo.admin.group.realm.title,Реалм
demo.admin.group.users.description,"Облікові записи людей, облікові дані, сеанси та захищені дії підтримки."
demo.admin.group.users.title,Користувачі
demo.admin.realmFixtureName,Ідентичність клієнта Northwind
demo.admin.scenario.admin_sign_in.description,Обміняйте початкові облікові дані на короткий сеанс браузера адміністратора.
demo.admin.scenario.admin_sign_in.title,Вхід адміністратора
demo.admin.scenario.applications.description,Керуйте додатками проєкту та їхнім життєвим циклом.
demo.admin.scenario.applications.title,Додатки
demo.admin.scenario.audit_events.description,Переглядайте поточний потік подій безпеки на основі тестових даних.
demo.admin.scenario.audit_events.title,Події аудиту
demo.admin.scenario.branding.description,"Налаштуйте кольори, логотипи та юридичні посилання з урахуванням організації."
demo.admin.scenario.branding.title,Брендинг
demo.admin.scenario.domains.description,Перевіряйте домени та контролюйте виявлення організації.
demo.admin.scenario.domains.title,Домени та виявлення
demo.admin.scenario.effective_access.description,"Переглядайте доступні лише для читання дійсні ролі, дозволи та перевірки доступу."
demo.admin.scenario.effective_access.title,Фактичний доступ
demo.admin.scenario.impersonation.description,Запустіть обґрунтований сеанс підтримки з обмеженням за часом за наявності дозволу.
demo.admin.scenario.impersonation.title,Уособлення
demo.admin.scenario.invitations.description,Запрошуйте людей та відстежуйте очікувані або прострочені запрошення.
demo.admin.scenario.invitations.title,Запрошення
demo.admin.scenario.login_policy.description,"Встановіть політику входу та налаштуйте Google, GitHub або Microsoft."
demo.admin.scenario.login_policy.title,Вхід та провайдери ідентичності
demo.admin.scenario.machine_credentials.description,"Видавайте, ротуйте та відкликайте облікові дані клієнта, токени PAT та ключі API."
demo.admin.scenario.machine_credentials.title,Облікові дані та токени
demo.admin.scenario.machine_user_detail.description,"Переглядайте області дії та життєвий цикл, ротуйте секрет клієнта та керуйте обліковими даними."
demo.admin.scenario.machine_user_detail.title,Деталі сервісного користувача
demo.admin.scenario.machine_users.description,Створюйте та керуйте сервісними ідентичностями та їхнім життєвим циклом.
demo.admin.scenario.machine_users.title,Каталог сервісних користувачів
demo.admin.scenario.memberships.description,Призначайте фіксовані ролі організації учасникам.
demo.admin.scenario.memberships.title,Членства та ролі
demo.admin.scenario.oidc_client_detail.description,"Редагуйте точні перенаправлення та області дії, а також ротуйте або відкликайте секрет клієнта."
demo.admin.scenario.oidc_client_detail.title,Налаштування клієнта OIDC
demo.admin.scenario.oidc_clients.description,"Керуйте клієнтами, перенаправленнями, областями дії, довірою та одноразовими секретами."
demo.admin.scenario.oidc_clients.title,Клієнти OIDC
demo.admin.scenario.oidc_consents.description,"Переглядайте та відкликайте додатки, схвалені особою."
demo.admin.scenario.oidc_consents.title,Згоди додатків
demo.admin.scenario.organization_detail.description,"Переглядайте налаштування організації, життєвий цикл та поточні членства."
demo.admin.scenario.organization_detail.title,Деталі організації
demo.admin.scenario.organizations.description,"Переглядайте, шукайте та створюйте організації в поточному реалмі."
demo.admin.scenario.organizations.title,Каталог організацій
demo.admin.scenario.project_detail.description,Переглядайте та редагуйте налаштування і життєвий цикл проєкту.
demo.admin.scenario.project_detail.title,Налаштування проєкту
demo.admin.scenario.projects.description,"Переглядайте, шукайте та створюйте проєкти в поточному реалмі."
demo.admin.scenario.projects.title,Каталог проєктів
demo.admin.scenario.protocol_documents.description,Переглядайте доступні лише для читання кінцеві точки виявлення та JWKS.
demo.admin.scenario.protocol_documents.title,Документи протоколу
demo.admin.scenario.realm_overview.description,"Переглядайте ідентичність реалму, домени, стан життєвого циклу та поточний сеанс."
demo.admin.scenario.realm_overview.title,Огляд реалму
demo.admin.scenario.realm_settings.description,"Керуйте назвою поточного реалму, доменами, станом та життєвим циклом."
demo.admin.scenario.realm_settings.title,Загальні налаштування
demo.admin.scenario.roles_grants.description,Налаштуйте проєктні ролі та гранти доступу організації.
demo.admin.scenario.roles_grants.title,Ролі та гранти
demo.admin.scenario.sessions.description,Переглядайте сеанси реалму з контекстом суб'єкта та пристрою.
demo.admin.scenario.sessions.title,Сеанси
demo.admin.scenario.signing_keys.description,Переглядайте метадані ключів та виконуйте захищену ротацію.
demo.admin.scenario.signing_keys.title,Ключі підпису
demo.admin.scenario.user_authentication.description,"Переглядайте безпечні метадані факторів, ключів доступу та відновлення в деталях користувача."
demo.admin.scenario.user_authentication.title,Методи автентифікації
demo.admin.scenario.user_detail.description,"Переглядайте профіль, життєвий цикл, сеанси та безпечні метадані автентифікації."
demo.admin.scenario.user_detail.title,Деталі користувача
demo.admin.scenario.user_sessions.description,Перевіряйте та відкликайте активні сеанси браузера користувача.
demo.admin.scenario.user_sessions.title,Сеанси користувача
demo.admin.scenario.users.description,Переглядайте та шукайте користувачів-людей у поточному реалмі.
demo.admin.scenario.users.title,Каталог користувачів
demo.directory.available,Доступно
demo.directory.availableDemos,доступних демо
demo.directory.back,Назад до каталогу
demo.directory.fixtureStates,Стани тестових даних
demo.directory.openDemo,Відкрити демо
demo.directory.planned,Заплановано
demo.directory.plannedDestinations,запланованих призначень
demo.directory.previewFoundation,Базовий попередній перегляд
demo.fixture.accepted,прийнято
demo.fixture.accountError,Не вдалося завантажити детерміновані тестові дані облікового запису.
demo.fixture.active,активно
demo.fixture.assuranceRequired,потрібне підтвердження
demo.fixture.continuing,продовження
demo.fixture.crossTenant,міжорганізаційний
demo.fixture.declined,відхилено
demo.fixture.empty,порожньо
demo.fixture.ended,завершено
demo.fixture.error,помилка
demo.fixture.expired,минув термін
demo.fixture.expiring,закінчується термін
demo.fixture.fatal,критична помилка
demo.fixture.loading,завантаження
demo.fixture.nestedRejected,вкладена відмова
demo.fixture.oneTime,одноразовий
demo.fixture.passwordChangeExpired,пароль минув термін дії
demo.fixture.permissionDenied,у доступі відмовлено
demo.fixture.preview,Попередній перегляд даних без стану
demo.fixture.recoveryFatal,відновлення недоступне
demo.fixture.recoveryLoading,завантаження відновлення
demo.fixture.redacted,приховано
