key,zh
admin.projects.grants.empty,尚未向任何组织授予此项目的访问权限。
admin.projects.grants.grantedOrganization,获授权组织
admin.projects.grants.revokeConfirm,撤销此组织授权？成员将失去项目访问权限。
admin.projects.grants.roleKeys,已授予的角色
admin.projects.grants.title,组织授权
admin.projects.lifecycle.activate,启用
admin.projects.lifecycle.deactivate,停用
admin.projects.lifecycle.remove,Remove
admin.projects.lifecycle.removeConfirm,移除此项目？
admin.projects.list.create,创建项目
admin.projects.list.description,项目将一个组织的应用、角色和授权归为一组。
admin.projects.list.empty,此领域中尚不存在任何项目。
admin.projects.list.invalid,请输入项目名称并选择组织。
admin.projects.list.name,项目名称
admin.projects.list.search,搜索项目
admin.projects.list.title,项目
admin.projects.missingId,此目的地必须选择一个项目。
admin.projects.pageNext,下一页
admin.projects.pagePrevious,上一页
admin.projects.permissionDenied,您没有权限查看或更改此项目信息。
admin.projects.roles.create,创建角色
admin.projects.roles.deleteConfirm,删除此项目角色？引用它的授权将失去该角色。
admin.projects.roles.description,此项目可分配给组织及其成员的角色。
admin.projects.roles.displayName,Display name
admin.projects.roles.empty,此项目尚未定义任何角色。
admin.projects.roles.group,分组
admin.projects.roles.key,角色键
admin.projects.roles.title,项目角色
admin.projects.saved,{name} 已保存。
admin.projects.status,状态
admin.realm.confirmLabel,输入 {name} 以确认
admin.realm.confirmMismatch,领域名称不匹配。
admin.realm.created,创建时间
admin.realm.dangerZone,危险区域
admin.realm.description,您正在管理的领域的身份与登录配置。
admin.realm.disable,停用领域
admin.realm.disableConfirm,停用此领域会停止其所有应用的登录。是否继续？
admin.realm.disableWarning,停用此领域会立即停止其中所有应用的登录和令牌颁发。
admin.realm.disabled,该领域已停用。
admin.realm.domainRequired,请至少输入一个领域域名。
admin.realm.domains,域名
admin.realm.domainsHint,使用逗号分隔域名。第一个域名为主域名。
admin.realm.enable,启用领域
admin.realm.enableDescription,此领域已停用。启用后可恢复登录和令牌颁发。
admin.realm.enabled,该领域已启用。
admin.realm.identifier,领域标识符
admin.realm.invalid,请输入领域名称和至少一个域名。
admin.realm.lifecycleTitle,领域生命周期
admin.realm.name,领域名称
admin.realm.nameRequired,请输入领域名称。
admin.realm.permissionDenied,您没有更改此领域的权限。
admin.realm.primaryDomain,主域名
admin.realm.save,保存设置
admin.realm.saved,领域设置已保存。
admin.realm.settingsDescription,更改领域名称以及解析到此领域的域名。
admin.realm.settingsTitle,常规设置
admin.realm.status,状态
admin.realm.statusActive,启用中
admin.realm.statusDisabled,已停用
admin.realm.title,领域设置
admin.realm.updated,最近更新
admin.session.expired,您的管理员会话已过期
admin.signIn.activeTitle,管理员会话已激活
admin.signIn.credential,引导管理员凭据
admin.signIn.credentialInvalid,请输入完整的引导管理员凭据。
admin.signIn.credentialNotStored,该凭据将被换取为一个短期浏览器会话，并且不会存储在此浏览器中。
admin.signIn.description,使用运维方签发的引导凭据换取一个短期的管理员浏览器会话。
admin.signIn.expiresAt,此会话将于 {date} 过期。
admin.signIn.signOutConfirm,结束此管理员会话？您需要重新登录才能继续。
admin.signIn.signedOutDetail,已在此设备上结束管理员会话。
admin.signIn.signedOutTitle,已退出登录
admin.signIn.subject,主体
admin.signIn.subjectType,主体类型
admin.signIn.title,管理员登录
admin.users.authentication.description,"Review safe sign-in metadata. Stored credentials, private keys, and recovery-code values are never shown."
admin.users.authentication.empty,No authentication methods are configured.
admin.users.authentication.generated,Generated {date}
admin.users.authentication.neverUsed,Never used
admin.users.authentication.passkeyMetadata,{deviceType} · created {created} · last used {lastUsed}
admin.users.authentication.pending,Pending confirmation
admin.users.authentication.recoveryCodes,Recovery codes
admin.users.authentication.recoveryCount,{count} codes remaining
admin.users.authentication.title,Authentication methods
admin.users.authentication.totpMetadata,{label} · confirmed {confirmed}
admin.users.count,{count} 个用户
admin.users.create,创建用户
admin.users.createDescription,向当前领域添加一个真人用户。
admin.users.createSubmit,创建
admin.users.created,{userName} 已创建。
admin.users.createdAt,创建时间
admin.users.dangerZone,危险区域
admin.users.delete,删除用户
admin.users.deleteConfirm,永久删除 {userName}？
admin.users.deleteWarning,删除该用户会立即撤销其会话和访问权限。
admin.users.deleted,{userName} 已删除。
admin.users.description,当前领域中的真人身份。
admin.users.detailTitle,用户详情
admin.users.displayName,Display name
admin.users.displayNameRequired,Enter a display name.
admin.users.email,Email address
admin.users.empty,没有用户符合当前筛选条件。
admin.users.firstName,First name
admin.users.invalid,请输入有效的电子邮件地址和用户名。
admin.users.lastName,Last name
admin.users.lifecycle.active,启用中
admin.users.lifecycle.deleted,已删除
admin.users.lifecycle.inactive,未激活
admin.users.lifecycle.initial,初始
admin.users.lifecycle.locked,已锁定
admin.users.lifecycle.suspended,已暂停
admin.users.lifecycleChanged,用户状态现在为 {state}。
admin.users.lifecycleConfirm,将 {userName} 设置为 {state}？
admin.users.lifecycleDescription,设置该用户是否可以登录。
admin.users.lifecycleTitle,生命周期
admin.users.markUnverified,标记为未验证
admin.users.markVerified,标记为已验证
admin.users.missingId,无法根据该地址解析此用户。
admin.users.nickName,Nickname
admin.users.preferredLanguage,Preferred language
admin.users.profileSave,保存个人资料
admin.users.profileSaved,用户资料已保存。
admin.users.profileTitle,个人资料
admin.users.search,搜索用户
admin.users.searchPlaceholder,按用户名、电子邮件或标识符筛选
admin.users.sessions.created,Created
admin.users.sessions.description,Inspect this user's active sessions and revoke access from a device.
admin.users.sessions.empty,This user has no active sessions.
admin.users.sessions.expires,Expires
admin.users.sessions.ipAddress,IP address
admin.users.sessions.lastUsed,Last used
admin.users.sessions.method,Sign-in method
admin.users.sessions.revokeConfirm,Revoke this session immediately?
admin.users.sessions.revoked,The session was revoked.
admin.users.sessions.title,Sessions and devices
admin.users.state,状态
admin.users.title,用户
admin.users.unverified,未验证
admin.users.updated,最后更新
admin.users.userName,Username
admin.users.verification,验证
admin.users.verificationChanged,验证状态现在为 {state}。
admin.users.verificationDescription,控制该用户的电子邮件地址是否算作已验证。
admin.users.verificationTitle,Email verification
admin.users.verified,Verified
app.name,Authworks
app.tagline,安全的身份服务
common.back,返回
common.cancel,取消
common.close,关闭
common.continue,继续
common.decline,Decline
common.disable,关闭
common.disabled,已禁用
common.enable,开启
common.enabled,已启用
common.error,出错了。
common.language,语言
common.loading,加载中
common.retry,重试
common.revoke,Revoke
common.save,保存
common.signIn,登录
common.signInWithProvider,使用 {provider} 登录
common.signOut,退出登录
common.theme.dark,深色
common.theme.light,浅色
common.theme.system,系统
common.urlPlaceholder,https://
demo.account.description,Authworks支持的个人资料、组织、安全性和应用程序访问管理体验的无网络地图。每个目标都有明确的测试数据状态契约。
demo.account.eyebrow,自助服务身份
demo.account.group.access.description,此账户授予的应用程序和权限。
demo.account.group.access.title,访问权限
demo.account.group.identity.description,用户自行管理的个人资料和登录详细信息。
demo.account.group.identity.title,个人信息
demo.account.group.organizations.description,成员资格、组织环境和邀请。
demo.account.group.organizations.title,组织
demo.account.group.security.description,会话、身份验证因素和关联身份。
demo.account.group.security.title,安全
demo.account.scenario.consents.description,查看并撤销之前授予应用程序的权限。
demo.account.scenario.consents.title,应用程序同意
demo.account.scenario.delete.description,查看影响并确认永久删除账户。
demo.account.scenario.delete.title,删除账户
demo.account.scenario.email.description,查看用于登录和账户通信的已验证地址。
demo.account.scenario.email.title,电子邮件地址
demo.account.scenario.factors.description,管理身份验证器、电子邮件和通行密钥因素。
demo.account.scenario.factors.title,多因素身份验证
demo.account.scenario.identities.description,查看并取消关联 Google、GitHub 和 Microsoft 账户。
demo.account.scenario.identities.title,关联身份
demo.account.scenario.invitation.description,在加入组织之前检查邀请。
demo.account.scenario.invitation.title,接受邀请
demo.account.scenario.invitations.description,查看发送给已登录账户的邀请。
demo.account.scenario.invitations.title,我的邀请
demo.account.scenario.organizations.description,查看成员资格并切换活动组织。
demo.account.scenario.organizations.title,我的组织
demo.account.scenario.passkeys.description,注册、命名和删除无密码凭据。
demo.account.scenario.passkeys.title,通行密钥
demo.account.scenario.password.description,更改当前密码并查看其安全状态。
demo.account.scenario.password.title,密码
demo.account.scenario.profile.description,查看和更新姓名、用户名和首选语言。
demo.account.scenario.profile.title,个人资料
demo.account.scenario.recovery_codes.description,生成备用代码并显示一次。
demo.account.scenario.recovery_codes.title,恢复代码
demo.account.scenario.sessions.description,查看活动会话并撤销不再使用的设备。
demo.account.scenario.sessions.title,会话和设备
demo.account.title,账户演示
demo.admin.description,使用围绕人员、组织、应用程序、凭据和审计活动构建的信息架构浏览当前领域。可用演示和计划中的无状态目标明确区分。
demo.admin.directoryTitle,管理目录
demo.admin.eyebrow,领域管理
demo.admin.group.authorization.description,应用程序、项目角色、授权和评估的访问权限。
demo.admin.group.authorization.title,项目和授权
demo.admin.group.machine_users.description,非人类身份及其只写凭据。
demo.admin.group.machine_users.title,机器用户
demo.admin.group.oidc.description,客户端、精确重定向设置、同意、范围和签名密钥。
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,领域会话和不可变的安全性活动。
demo.admin.group.operations.title,操作
demo.admin.group.organizations.description,组织设置、人员、邀请和已验证域名。
demo.admin.group.organizations.title,组织
demo.admin.group.realm.description,领域范围的身份、生命周期和登录配置。
demo.admin.group.realm.title,领域
demo.admin.group.users.description,人类身份、凭据、会话和受保护的支持操作。
demo.admin.group.users.title,用户
demo.admin.realmFixtureName,Northwind 客户身份
demo.admin.scenario.admin_sign_in.description,将引导凭据交换为短时间的管理员浏览器会话。
demo.admin.scenario.admin_sign_in.title,管理员登录
demo.admin.scenario.applications.description,管理项目应用程序及其生命周期。
demo.admin.scenario.applications.title,应用程序
demo.admin.scenario.audit_events.description,浏览当前由测试数据支持的安全性事件流。
demo.admin.scenario.audit_events.title,审计事件
demo.admin.scenario.branding.description,配置适应组织的颜色、徽标和法律链接。
demo.admin.scenario.branding.title,品牌化
demo.admin.scenario.domains.description,验证域名并控制组织发现。
demo.admin.scenario.domains.title,域名和发现
demo.admin.scenario.effective_access.description,检查只读的有效角色、权限和访问检查。
demo.admin.scenario.effective_access.title,有效访问权限
demo.admin.scenario.impersonation.description,在获得许可时启动有理由的、限时的支持会话。
demo.admin.scenario.impersonation.title,模拟用户
demo.admin.scenario.invitations.description,邀请人员并跟踪待处理或已过期的邀请。
demo.admin.scenario.invitations.title,邀请
demo.admin.scenario.login_policy.description,设置登录策略并配置 Google、GitHub 或 Microsoft。
demo.admin.scenario.login_policy.title,登录和身份提供商
demo.admin.scenario.machine_credentials.description,颁发、轮换和撤销客户端凭据、PAT 和 API 密钥。
demo.admin.scenario.machine_credentials.title,凭据和令牌
demo.admin.scenario.machine_user_detail.description,查看范围和生命周期，轮换客户端密码并管理凭据。
demo.admin.scenario.machine_user_detail.title,机器用户详情
demo.admin.scenario.machine_users.description,创建和管理服务身份及其生命周期。
demo.admin.scenario.machine_users.title,机器用户目录
demo.admin.scenario.memberships.description,为成员分配固定的组织角色。
demo.admin.scenario.memberships.title,成员资格和角色
demo.admin.scenario.oidc_client_detail.description,编辑精确的重定向和范围，并轮换或撤销客户端密码。
demo.admin.scenario.oidc_client_detail.title,OIDC 客户端设置
demo.admin.scenario.oidc_clients.description,管理客户端、重定向、范围、信任和一次性密码。
demo.admin.scenario.oidc_clients.title,OIDC 客户端
demo.admin.scenario.oidc_consents.description,查看并撤销个人已批准的应用程序。
demo.admin.scenario.oidc_consents.title,应用程序同意
demo.admin.scenario.organization_detail.description,查看组织设置、生命周期和当前成员资格。
demo.admin.scenario.organization_detail.title,组织详情
demo.admin.scenario.organizations.description,在当前领域中浏览、搜索和创建组织。
demo.admin.scenario.organizations.title,组织目录
demo.admin.scenario.project_detail.description,查看和编辑项目的设置和生命周期。
demo.admin.scenario.project_detail.title,项目设置
demo.admin.scenario.projects.description,在当前领域中浏览、搜索和创建项目。
demo.admin.scenario.projects.title,项目目录
demo.admin.scenario.protocol_documents.description,检查只读的发现和 JWKS 端点。
demo.admin.scenario.protocol_documents.title,协议文档
demo.admin.scenario.realm_overview.description,查看领域身份、域名、生命周期状态和当前会话。
demo.admin.scenario.realm_overview.title,领域概览
demo.admin.scenario.realm_settings.description,管理当前领域名称、域名、状态和生命周期。
demo.admin.scenario.realm_settings.title,常规设置
demo.admin.scenario.roles_grants.description,配置项目角色和组织访问授权。
demo.admin.scenario.roles_grants.title,角色和授权
demo.admin.scenario.sessions.description,查看带有主体和设备上下文的领域会话。
demo.admin.scenario.sessions.title,会话
demo.admin.scenario.signing_keys.description,查看密钥元数据并执行受保护的轮换。
demo.admin.scenario.signing_keys.title,签名密钥
demo.admin.scenario.user_authentication.description,在用户详情中查看安全的因素、通行密钥和恢复元数据。
demo.admin.scenario.user_authentication.title,身份验证方法
demo.admin.scenario.user_detail.description,查看个人资料、生命周期、会话和安全的身份验证元数据。
demo.admin.scenario.user_detail.title,用户详情
demo.admin.scenario.user_sessions.description,检查并撤销用户的活动浏览器会话。
demo.admin.scenario.user_sessions.title,用户会话
demo.admin.scenario.users.description,在当前领域中浏览和搜索人类用户。
demo.admin.scenario.users.title,用户目录
demo.directory.available,可用
demo.directory.availableDemos,个可用演示
demo.directory.back,返回目录
demo.directory.fixtureStates,测试数据状态
demo.directory.openDemo,打开演示
demo.directory.planned,计划中
demo.directory.plannedDestinations,个计划目标
demo.directory.previewFoundation,基础预览
demo.fixture.accepted,已接受
demo.fixture.accountError,无法加载账户的确定性测试数据。
demo.fixture.active,活跃
demo.fixture.assuranceRequired,需要保证
demo.fixture.crossTenant,跨租户
demo.fixture.declined,已拒绝
demo.fixture.empty,空
demo.fixture.ended,已结束
demo.fixture.error,错误
demo.fixture.expired,已过期
demo.fixture.expiring,即将过期
demo.fixture.loading,加载中
demo.fixture.nestedRejected,嵌套已拒绝
demo.fixture.oneTime,一次性
demo.fixture.permissionDenied,权限不足
demo.fixture.preview,无状态测试数据预览
demo.fixture.redacted,已脱敏
demo.fixture.replayed,已重放
demo.fixture.state,测试数据状态
demo.fixture.success,成功
demo.hub.accountDescription,探索自助服务个人资料、组织和安全目标。
demo.hub.accountOpen,打开账户
demo.hub.adminDescription,管理身份资源和组织设置。
demo.hub.adminOpen,打开管理
demo.hub.description,探索登录、账户、管理和事务性邮件演示。
demo.hub.loginDescription,探索为用户提供的身份验证体验。
demo.hub.loginOpen,打开登录
demo.login.description,探索确定性的登录、恢复和交互测试数据。现有流程保持交互式，而计划中的目标公开其无状态方案契约。
demo.login.eyebrow,托管身份验证
demo.login.group.chooser.description,从发现的登录策略和本地记住的账户派生的入口点。
demo.login.group.chooser.title,开始登录
demo.login.group.chrome.description,每个托管交互屏幕使用的跨流程回退。
demo.login.group.chrome.title,共享状态
demo.login.group.interaction.description,托管 OIDC 请求的交互结果和退出。
demo.login.group.interaction.title,交互与注销
demo.login.group.mfa.description,第二因素质询、身份验证器注册和恢复代码。
demo.login.group.mfa.title,多因素身份验证
demo.login.group.password_email.description,使用确定性本地测试数据的密码和电子邮件代码身份验证。
demo.login.group.password_email.title,密码和电子邮件验证码
demo.login.group.passwordless.description,通行密钥和已配置的外部身份提供商。
demo.login.group.passwordless.title,无密码和外部认证
demo.login.group.recovery.description,请求并完成密码恢复，而无需泄露账户信息。
demo.login.group.recovery.title,恢复
demo.login.group.registration.description,注册和服务器发出的电子邮件确认。
demo.login.group.registration.title,注册和验证
demo.login.scenario.chooser.description,选择允许的主要身份验证方式。
demo.login.scenario.chooser.title,方式选择器
demo.login.scenario.chooser_recent_accounts.description,使用在此设备上记住的账户继续。
demo.login.scenario.chooser_recent_accounts.title,最近使用的账户
demo.login.scenario.email_otp.description,请求通过电子邮件发送的一次性验证码。
demo.login.scenario.email_otp.title,请求电子邮件验证码
demo.login.scenario.email_otp_code.description,输入六位数的电子邮件验证码。
demo.login.scenario.email_otp_code.title,验证电子邮件验证码
demo.login.scenario.idp.description,通过配置的外部身份提供商继续。
demo.login.scenario.idp.title,外部身份
demo.login.scenario.idp_failure.description,从外部提供商启动故障中恢复。
demo.login.scenario.idp_failure.title,提供商故障
demo.login.scenario.loading.description,在解析领域发现时显示进度。
demo.login.scenario.loading.title,加载中
demo.login.scenario.logout.description,确认当前浏览器会话的退出。
demo.login.scenario.logout.title,注销
demo.login.scenario.logout_done.description,确认已完成的注销和经过验证的返回路径。
demo.login.scenario.logout_done.title,已退出
demo.login.scenario.mfa.description,选择可用的第二个因素。
demo.login.scenario.mfa.title,选择因素
demo.login.scenario.mfa_email_otp.description,验证电子邮件第二因素。
demo.login.scenario.mfa_email_otp.title,电子邮件验证码
demo.login.scenario.mfa_passkey.description,验证通行密钥作为第二因素。
demo.login.scenario.mfa_passkey.title,通行密钥因素
demo.login.scenario.mfa_recovery_code.description,在其他因素不可用时使用单个恢复代码。
demo.login.scenario.mfa_recovery_code.title,恢复代码
demo.login.scenario.mfa_totp.description,验证基于时间的一次性身份验证器代码。
demo.login.scenario.mfa_totp.title,身份验证器代码
demo.login.scenario.mfa_totp_enroll.description,连接并确认新的身份验证器。
demo.login.scenario.mfa_totp_enroll.title,注册身份验证器
demo.login.scenario.passkey.description,使用设备绑定的通行密钥进行身份验证。
demo.login.scenario.passkey.title,通行密钥
demo.login.scenario.passkey_unsupported.description,说明浏览器或设备的不兼容性。
demo.login.scenario.passkey_unsupported.title,通行密钥不可用
demo.login.scenario.password.description,使用电子邮件地址或用户名和密码登录。
demo.login.scenario.password.title,密码
demo.login.scenario.password_change_required.description,在继续之前设置新密码。
demo.login.scenario.password_change_required.title,需要更改密码
demo.login.scenario.password_error.description,显示安全的无效凭据响应。
demo.login.scenario.password_error.title,无效的凭据
demo.login.scenario.password_forgot.description,请求密码恢复说明。
demo.login.scenario.password_forgot.title,请求恢复
demo.login.scenario.password_forgot_sent.description,显示非泄露性的电子邮件确认。
demo.login.scenario.password_forgot_sent.title,已请求恢复
demo.login.scenario.password_reset.description,从恢复链接中选择新密码。
demo.login.scenario.password_reset.title,重置密码
demo.login.scenario.password_reset_complete.description,重置成功后返回登录。
demo.login.scenario.password_reset_complete.title,重置完成
demo.login.scenario.register.description,在活动登录策略下创建人类账户。
demo.login.scenario.register.title,注册
demo.login.scenario.register_done.description,显示非泄露性的验证通知。
demo.login.scenario.register_done.title,确认已发送
demo.login.scenario.signed_in.description,显示恢复的交互确认。
demo.login.scenario.signed_in.title,交互完成
demo.login.scenario.unsupported.description,说明不受支持或已过期的交互。
demo.login.scenario.unsupported.title,不可用的请求
demo.login.scenario.verify_email.description,通过服务器发出的链接确认地址。
demo.login.scenario.verify_email.title,电子邮件验证
demo.login.title,登录演示
demo.nav.account,账户
demo.nav.admin,管理
demo.nav.compact,紧凑
demo.nav.emails,电子邮件
demo.nav.hub,首页
demo.nav.label,演示
demo.nav.login,登录
demo.placeholder.emptyDescription,此目标已为预期的空状态做好准备。
demo.placeholder.emptyTitle,无测试数据记录
demo.placeholder.errorDescription,此处可以在没有网络请求的情况下呈现确定性错误。
demo.placeholder.errorTitle,测试数据错误
demo.placeholder.loading,正在加载测试数据
demo.placeholder.notFoundDescription,请从目录中选择受支持的目标。
demo.placeholder.notFoundTitle,未找到演示目标
demo.placeholder.readyDescription,路由、受支持的状态和演示适配器边界已定义。此增量中有意未实现功能页面。
demo.placeholder.readyTitle,测试数据契约就绪
email.directory.description,检查每个事务性电子邮件渲染器契约的确定性 HTML 和纯文本输出。
email.directory.eyebrow,事务性消息
email.directory.open,打开预览
email.directory.title,电子邮件预览
email.hub.description,查看隔离的 HTML 和纯文本事务性消息测试数据。
email.hub.open,打开电子邮件预览
email.preview.back,所有电子邮件预览
email.preview.html,HTML 预览
email.preview.impersonationEnded,模拟身份已结束
email.preview.impersonationStarted,模拟身份已开始
email.preview.invitation,组织邀请
email.preview.isolated,在禁用网络访问的隔离框架中呈现。
email.preview.notFound,找不到电子邮件预览
email.preview.otp,一次性密码
email.preview.recipient,测试收件人
email.preview.recovery,密码恢复
email.preview.securityFailed,登录验证失败
email.preview.securityRequested,已请求登录验证
email.preview.securityVerified,登录验证已完成
email.preview.subject,主题
email.preview.text,文本替代内容
email.preview.verification,电子邮件验证
login.chooser.accountOrMethodTitle,选择账户或方式
login.chooser.description,选择登录 {organization} 的方式
login.chooser.lastUsed,最近使用
login.chooser.methodTitle,选择方式
login.chooser.orChooseMethod,或选择一种方式
login.chooser.emailOtpDetail,通过电子邮件接收一次性代码
login.chooser.emailOtpLabel,电子邮件代码
login.chooser.passkeyDetail,使用设备屏幕锁或安全密钥
login.chooser.passkeyLabel,通行密钥
login.chooser.passwordDetail,使用帐户密码
login.chooser.passwordLabel,密码
login.chooser.providerDetail,使用现有的 {provider} 帐户登录
login.chooser.providerLabel,使用 {provider} 继续
login.chooser.register,创建帐户
login.chooser.title,登录
login.chooser.useRecent,使用最近的帐户
login.common.back,返回登录选项
login.common.legal,继续即表示您确认接受 {terms} 和 {privacy}。
login.common.privacy,隐私政策
login.common.terms,服务条款
login.common.working,处理中…
login.emailOtp.codeDescription,输入我们发送到 {email} 的六位数代码。
login.emailOtp.codeTitle,输入电子邮件代码
login.emailOtp.description,我们会通过电子邮件发送一次性代码，无需输入密码。
login.emailOtp.resend,发送新代码
login.emailOtp.send,发送代码
login.emailOtp.title,使用电子邮件代码登录
login.emailOtp.verify,验证代码
login.error.codeRequired,请输入六位数验证码。
login.error.credentialsRequired,请输入用户名和密码。
login.error.emailRequired,请输入有效的电子邮件地址。
login.error.enrollmentMissing,请先开始设置验证器，再确认代码。
login.error.nameRequired,请输入要在帐户中显示的姓名。
login.error.passwordMismatch,两次密码不一致。
login.error.passwordTooShort,密码必须至少包含8个字符。
login.error.recoveryCodeRequired,请输入您保存的恢复代码之一。
login.error.tokenMissing,请打开电子邮件中的完整链接以继续。
login.logout.description,您可以在此设备上结束此会话。
login.logout.doneDescription,您已退出 {organization}。
login.logout.doneTitle,已退出登录
login.logout.submit,退出登录
login.logout.title,退出 {organization}
login.mfa.description,选择确认身份的方式。
login.mfa.emailOtp,电子邮件代码
login.mfa.emailOtpDescription,输入我们发送到您电子邮件地址的六位数代码。
login.mfa.passkey,通行密钥
login.mfa.recoveryCode,恢复代码
login.mfa.recoveryCodeDescription,使用您设置验证时保存的一次性代码之一。
login.mfa.recoveryCodeLabel,恢复代码
login.mfa.title,两步验证
login.mfa.totp,验证器应用
login.mfa.totpDescription,输入验证器应用中的六位数代码。
login.mfa.verificationCode,验证码
login.mfa.verify,验证
login.passkey.description,使用设备屏幕锁、指纹或安全密钥确认身份。
login.passkey.submit,使用通行密钥继续
login.passkey.title,使用通行密钥登录
login.passkey.unsupported,此浏览器或设备无法使用通行密钥。请选择其他登录方式。
login.password.changeDescription,继续前请选择新密码。
login.password.changeTitle,更新密码
login.password.confirm,确认密码
login.password.current,当前密码
login.password.description,请输入 {organization} 帐户的凭据。
login.password.forgot,忘记密码？
login.password.hide,隐藏密码
login.password.identifier,用户名或电子邮件
login.password.label,密码
login.password.new,新密码
login.password.show,显示密码
login.password.submit,登录
login.password.title,输入密码
login.provider.description,您将前往 {provider}，完成后返回此处。
login.provider.submit,使用 {provider} 继续
login.provider.title,使用 {provider} 继续
login.recent.description,使用您在此设备上使用过的帐户继续。
login.recent.heading,最近使用的账户
login.recent.useAnother,使用其他方式或账户
login.recent.other,使用其他帐户
login.recent.title,选择帐户
login.recovery.completeDescription,使用新密码登录。
login.recovery.completeTitle,密码已更新
login.recovery.description,请输入您的电子邮件地址；如果帐户存在，我们会发送恢复说明。
login.recovery.resetDescription,为您的帐户选择新密码。
login.recovery.resetSubmit,更新密码
login.recovery.resetTitle,设置新密码
login.recovery.sentDescription,如果该地址匹配某个帐户，恢复说明正在发送中。链接很快会过期。
login.recovery.sentTitle,检查电子邮件
login.recovery.submit,发送恢复说明
login.recovery.title,重置密码
login.register.description,为 {organization} 创建帐户
login.register.displayName,姓名
login.register.doneDescription,使用我们发送到 {email} 的链接确认您的电子邮件地址。
login.register.doneTitle,确认电子邮件地址
login.register.email,电子邮件地址
login.register.signIn,已有帐户？
login.register.submit,创建帐户
login.register.title,创建您的帐户
login.register.userName,用户名
login.signedIn.description,您已登录 {organization}。
login.signedIn.title,已登录
login.status.loading,正在准备登录
login.status.unavailableDescription,无法完成此登录请求。请返回应用程序并重试。
login.status.unavailableTitle,登录不可用
login.totpEnroll.description,将此设置密钥添加到身份验证器应用程序中，然后输入其生成的代码。此密钥仅在此时显示。
login.totpEnroll.start,显示设置密钥
login.totpEnroll.submit,完成设置
login.totpEnroll.title,设置验证器应用
login.verify.description,确认您帐户的电子邮件地址。
login.verify.submit,确认电子邮件地址
login.verify.title,验证电子邮件地址
login.verify.verifiedDescription,{email} 已确认。您现在可以登录。
login.verify.verifiedTitle,电子邮件地址已确认
demo.fixture.continuing,继续中
demo.fixture.fatal,严重错误
demo.fixture.passwordChangeExpired,密码已过期
demo.fixture.recoveryFatal,恢复功能不可用
demo.fixture.recoveryLoading,正在加载恢复功能
demo.fixture.resetInvalid,重置链接无效
demo.fixture.resetLoading,正在加载重置链接
login.emailOtp.codeHelp,请输入6位数字。
login.emailOtp.back,返回方式选择
login.emailOtp.changeEmail,更改电子邮件
login.emailOtp.resendCountdown,{seconds}秒后可以发送新代码。
login.emailOtp.resent,新代码已发送。
login.emailOtp.remember,记住此电子邮件
login.emailOtp.sending,正在发送...
login.emailOtp.verifying,正在验证...
login.error.credentialsInvalid,用户名或密码不正确。
login.error.emailRecoveryRequired,请输入账户的电子邮件地址。
login.error.identifierRequired,请输入用户名或电子邮件地址。
login.error.newPasswordRequired,请输入新密码。
login.error.passwordRequired,请输入密码。
login.mfa.backToChoices,返回两步验证选项
login.mfa.backToMethods,返回方式选择
login.mfa.continue,继续登录
login.mfa.emailOtpCodeTitle,电子邮件验证码
login.mfa.emailOtpDetail,通过电子邮件接收一次性验证码。
login.mfa.emailOtpEnroll,设置电子邮件验证码
login.mfa.emailOtpEnrollDescription,验证码将发送到您账户的电子邮件地址。
login.mfa.emailOtpEnrollNotice,"设置电子邮件验证码，将账户邮箱用作第二因素。"
login.mfa.emailOtpEnrollSent,电子邮件验证码已设置。请输入发送到您地址的代码。
login.mfa.emailOtpEnrollTitle,设置电子邮件验证码
login.mfa.emailOtpSend,发送代码
login.mfa.emailOtpSendDescription,向您账户的电子邮件地址发送六位验证码。
login.mfa.emailOtpSent,验证码已发送到您的电子邮件地址。
login.mfa.emailOtpResent,新的验证码已发送到您的电子邮件地址。
login.mfa.emailOtpUnavailableDescription,此登录流程不支持通过电子邮件验证第二因素。
login.mfa.emailOtpUnavailableNotice,此 Authworks 登录请求未配置电子邮件 MFA 传输。
login.mfa.emailOtpUnavailableTitle,电子邮件代码不可用
login.mfa.enterRecoveryCode,请输入保存的恢复代码。
login.mfa.enterSixDigits,请输入6位数字。
login.mfa.enrollDescription,选择一种方式为您的账户设置两步验证。
login.mfa.enrollTitle,设置两步验证
login.mfa.factorUnavailable,当前登录契约中不提供此因素。
login.mfa.loadingOptions,正在加载两步验证选项...
login.mfa.loadingOptionsDescription,正在获取可用的第二因素选项。
login.mfa.optionalDescription,设置两步验证以提高安全性，或暂时跳过。
login.mfa.optionalTitle,可选两步验证
login.mfa.optionsUnavailableDescription,无法加载可用的第二因素选项。
login.mfa.optionsUnavailableTitle,两步验证不可用
login.mfa.passkeyDescription,"使用通行密钥、设备屏幕锁或生物识别进行确认。"
login.mfa.passkeyDetail,使用通行密钥或设备生物识别验证。
login.mfa.passkeyEnrollmentUnavailableDescription,托管登录契约不提供通行密钥注册。
login.mfa.passkeyEnrollmentUnavailableNotice,请在已验证的账户安全页面完成通行密钥设置，然后返回登录。
login.mfa.passkeyEnrollmentUnavailableTitle,通行密钥设置不可用
login.mfa.passkeyUnavailableDescription,此登录流程不支持使用通行密钥验证第二因素。
login.mfa.passkeyUnavailableNotice,此 Authworks 请求未配置通行密钥 MFA 传输。
